baseline_config,segment,start_day,end_day,mean_H_minus_Jw_Spattern,H_ahead_fraction,Jw_ahead_fraction,near_equal_fraction,dominant_segment_relation
C0_full_stage,pre_early_25_29,25,29,0.02174831613933064,1.0,0.0,0.0,H_ahead
C0_full_stage,early_30_39,30,39,-0.029863000510403682,0.0,0.5,0.5,near_equal
C0_full_stage,core_40_45,40,45,0.06207589605573575,1.0,0.0,0.0,H_ahead
C0_full_stage,late_46_53,46,53,-0.2082248323298584,0.0,1.0,0.0,Jw_ahead
C0_full_stage,search_35_53,35,53,-0.07137790786292975,0.3157894736842105,0.47368421052631576,0.21052631578947367,mixed
C0_full_stage,broad_30_53,30,53,-0.06633222030868706,0.25,0.5416666666666666,0.20833333333333334,mixed
C1_buffered_stage,pre_early_25_29,25,29,0.01994319667880226,0.8,0.0,0.2,H_ahead
C1_buffered_stage,early_30_39,30,39,-0.0477723763621999,0.0,1.0,0.0,Jw_ahead
C1_buffered_stage,core_40_45,40,45,0.06508735654713549,1.0,0.0,0.0,H_ahead
C1_buffered_stage,late_46_53,46,53,-0.14670688682989752,0.0,0.875,0.125,Jw_ahead
C1_buffered_stage,search_35_53,35,53,-0.04911407804609245,0.3157894736842105,0.631578947368421,0.05263157894736842,mixed
C1_buffered_stage,broad_30_53,30,53,-0.05253561329076526,0.25,0.7083333333333334,0.041666666666666664,Jw_ahead
C2_immediate_pre,pre_early_25_29,25,29,0.04766485417026704,1.0,0.0,0.0,H_ahead
C2_immediate_pre,early_30_39,30,39,-0.03843078930082981,0.0,0.9,0.1,Jw_ahead
C2_immediate_pre,core_40_45,40,45,0.034513569913236626,0.6666666666666666,0.0,0.3333333333333333,mixed
C2_immediate_pre,late_46_53,46,53,-0.1513905669917467,0.0,1.0,0.0,Jw_ahead
C2_immediate_pre,search_35_53,35,53,-0.06052772308481663,0.21052631578947367,0.6842105263157895,0.10526315789473684,mixed
C2_immediate_pre,broad_30_53,30,53,-0.05784795872761883,0.16666666666666666,0.7083333333333334,0.125,Jw_ahead
