window_id,target_name,contrast,object,day,profile_coord_index,difference_value_standardized
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,0,-0.0025214694868094913
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,1,-0.0032536942219665447
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,2,-0.0041450625091967955
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,3,-0.0062977981259886694
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,4,-0.007443264286590398
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,5,-0.008364967746812675
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,6,-0.00961458419130391
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,7,-0.010605093619755304
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,8,-0.01038567334255355
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,9,-0.00967010030235034
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,88,10,-0.010352592539570937
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,0,-0.004662401113350497
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,1,-0.005627096193275588
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,2,-0.006858777903303031
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,3,-0.009489226546133342
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,4,-0.011313784509515212
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,5,-0.01244740468875426
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,6,-0.012731489200749974
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,7,-0.012094537047274971
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,8,-0.01021293266348428
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,9,-0.007914591155035965
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,89,10,-0.007178632147247296
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,0,-0.007427883139114403
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,1,-0.008582196982045131
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,2,-0.009439847103127494
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,3,-0.011671771572028415
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,4,-0.013020299793827572
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,5,-0.013911003439725476
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,6,-0.014058185697729831
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,7,-0.01284139226056583
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,8,-0.01001126958422506
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,9,-0.006554067889300793
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,90,10,-0.004141967133848857
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,0,-0.009832805981404832
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,1,-0.011322434838243344
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,2,-0.011993069113459376
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,3,-0.013326197594367251
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,4,-0.013631659368507406
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,5,-0.013450480699592204
W113,W113_V_vs_Je_delta_peak,high_minus_low,H,91,6,-0.012571303777302508
