window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W113,0,P,117.0,,
W113,0,V,112.0,,
W113,0,H,115.0,,
W113,0,Je,113.0,,
W113,0,Jw,109.0,,
W113,1,P,112.0,,
W113,1,V,112.0,,
W113,1,H,115.0,,
W113,1,Je,112.0,,
W113,1,Jw,111.0,,
W113,2,P,114.0,,
W113,2,V,115.0,,
W113,2,H,113.0,,
W113,2,Je,108.0,,
W113,2,Jw,109.0,,
W113,3,P,112.0,,
W113,3,V,110.0,,
W113,3,H,113.0,,
W113,3,Je,112.0,,
W113,3,Jw,106.0,,
W113,4,P,114.0,,
W113,4,V,116.0,,
W113,4,H,116.0,,
W113,4,Je,111.0,,
W113,4,Jw,105.0,,
W113,5,P,111.0,,
W113,5,V,114.0,,
W113,5,H,112.0,,
W113,5,Je,107.0,,
W113,5,Jw,111.0,,
W113,6,P,114.0,,
W113,6,V,113.0,,
W113,6,H,115.0,,
W113,6,Je,114.0,,
W113,6,Jw,105.0,,
W113,7,P,113.0,,
W113,7,V,115.0,,
W113,7,H,116.0,,
W113,7,Je,107.0,,
W113,7,Jw,110.0,,
W113,8,P,112.0,,
W113,8,V,114.0,,
W113,8,H,110.0,,
W113,8,Je,107.0,,
W113,8,Jw,104.0,,
W113,9,P,112.0,,
W113,9,V,114.0,,
W113,9,H,114.0,,
W113,9,Je,112.0,,
W113,9,Jw,110.0,,
W113,10,P,111.0,,
W113,10,V,119.0,,
W113,10,H,115.0,,
W113,10,Je,113.0,,
W113,10,Jw,114.0,,
W113,11,P,116.0,,
W113,11,V,112.0,,
W113,11,H,113.0,,
W113,11,Je,112.0,,
W113,11,Jw,103.0,,
W113,12,P,113.0,,
W113,12,V,111.0,,
W113,12,H,113.0,,
W113,12,Je,114.0,,
W113,12,Jw,109.0,,
W113,13,P,108.0,,
W113,13,V,108.0,,
W113,13,H,110.0,,
W113,13,Je,108.0,,
W113,13,Jw,111.0,,
W113,14,P,111.0,,
W113,14,V,114.0,,
W113,14,H,115.0,,
W113,14,Je,107.0,,
W113,14,Jw,102.0,,
W113,15,P,115.0,,
