window_id,target_name,year,mean_count_high,mean_count_low,count_difference_high_minus_low,present_prob_high,present_prob_low,present_prob_difference,abs_count_difference,year_leverage_rank
W113,W113_V_vs_Je_delta_peak,1979,1.2634730538922156,0.6576576576576577,0.6058153962345579,0.7455089820359282,0.5075075075075075,0.2380014745284207,0.6058153962345579,4.0
W113,W113_V_vs_Je_delta_peak,1980,0.6796407185628742,1.2642642642642643,-0.5846235457013901,0.5239520958083832,0.7297297297297297,-0.20577763392134651,0.5846235457013901,5.0
W113,W113_V_vs_Je_delta_peak,1981,0.8622754491017964,1.2312312312312312,-0.3689557821294348,0.5808383233532934,0.7177177177177178,-0.1368793943644243,0.3689557821294348,15.0
W113,W113_V_vs_Je_delta_peak,1982,1.2305389221556886,0.7117117117117117,0.518827210443977,0.7215568862275449,0.5285285285285285,0.19302835769901638,0.518827210443977,7.0
W113,W113_V_vs_Je_delta_peak,1983,1.18562874251497,0.7327327327327328,0.4528960097822373,0.7215568862275449,0.5195195195195195,0.2020373667080254,0.4528960097822373,11.0
W113,W113_V_vs_Je_delta_peak,1984,0.9461077844311377,0.9819819819819819,-0.0358741975508442,0.6407185628742516,0.6066066066066066,0.03411195626764496,0.0358741975508442,41.0
W113,W113_V_vs_Je_delta_peak,1985,1.0059880239520957,0.9579579579579579,0.04803006599413784,0.6107784431137725,0.6306306306306306,-0.019852187516858133,0.04803006599413784,39.0
W113,W113_V_vs_Je_delta_peak,1986,0.8712574850299402,1.039039039039039,-0.16778155400909878,0.6167664670658682,0.6696696696696697,-0.052903202603801436,0.16778155400909878,26.0
W113,W113_V_vs_Je_delta_peak,1987,0.8502994011976048,1.1741741741741742,-0.3238747729765694,0.6077844311377245,0.7177177177177178,-0.10993328657999324,0.3238747729765694,19.0
W113,W113_V_vs_Je_delta_peak,1988,1.0658682634730539,1.075075075075075,-0.009206811602021192,0.6586826347305389,0.6756756756756757,-0.01699304094513676,0.009206811602021192,43.0
W113,W113_V_vs_Je_delta_peak,1989,0.7634730538922155,1.2492492492492493,-0.48577619535703376,0.5598802395209581,0.7447447447447447,-0.1848645052237866,0.48577619535703376,8.0
