mode,year,object,window,strength
anomaly,1990,H,H_E2,11.88692171631165
anomaly,1991,H,H_E2,16.61273790878928
anomaly,1992,H,H_E2,13.036242341702453
anomaly,1993,H,H_E2,10.624395780203956
anomaly,1994,H,H_E2,20.186809632441374
anomaly,1995,H,H_E2,20.55344254772068
anomaly,1996,H,H_E2,19.393567604768688
anomaly,1997,H,H_E2,21.589586319113362
anomaly,1998,H,H_E2,45.94729122936183
anomaly,1999,H,H_E2,25.278153558077605
anomaly,2000,H,H_E2,21.02594870854274
anomaly,2001,H,H_E2,7.332244813639819
anomaly,2002,H,H_E2,25.61856867724743
anomaly,2003,H,H_E2,15.007995291527632
anomaly,2004,H,H_E2,15.121529887660204
anomaly,2005,H,H_E2,19.97211504200911
anomaly,2006,H,H_E2,27.523268742715857
anomaly,2007,H,H_E2,19.782809856438238
anomaly,2008,H,H_E2,22.27389965131215
anomaly,2009,H,H_E2,27.964091783369533
anomaly,2010,H,H_E2,7.860558397856106
anomaly,2011,H,H_E2,13.463668997534896
anomaly,2012,H,H_E2,27.93583038361867
anomaly,2013,H,H_E2,17.62219459352681
anomaly,2014,H,H_E2,15.202385659331874
anomaly,2015,H,H_E2,7.751303186932982
anomaly,2016,H,H_E2,23.298671890104313
anomaly,2017,H,H_E2,19.597243589558737
anomaly,2018,H,H_E2,24.819913234062952
anomaly,2019,H,H_E2,18.447778835617314
anomaly,2020,H,H_E2,29.08112178491578
anomaly,2021,H,H_E2,17.815370491237704
anomaly,2022,H,H_E2,11.782498705913932
anomaly,2023,H,H_E2,10.416489921999867
anomaly,1979,P,E1,2.9163251372351513
anomaly,1980,P,E1,3.4628641462029917
anomaly,1981,P,E1,2.04460572434457
anomaly,1982,P,E1,2.0647518525770807
anomaly,1983,P,E1,3.5530274816422653
anomaly,1984,P,E1,2.3547526650991237
anomaly,1985,P,E1,2.893588205882326
anomaly,1986,P,E1,2.6229534988732377
anomaly,1987,P,E1,2.041886722189361
anomaly,1988,P,E1,2.5151787675848882
anomaly,1989,P,E1,2.3368184623348456
anomaly,1990,P,E1,3.9790286053862727
anomaly,1991,P,E1,2.5063417709287883
anomaly,1992,P,E1,1.7839367265441226
anomaly,1993,P,E1,2.047476996570601
anomaly,1994,P,E1,2.92211990033506
anomaly,1995,P,E1,3.666378976405739
anomaly,1996,P,E1,2.764213791167495
anomaly,1997,P,E1,3.8635732905947213
anomaly,1998,P,E1,2.9396751465462065
anomaly,1999,P,E1,3.6291330860065933
anomaly,2000,P,E1,1.9751793775680322
anomaly,2001,P,E1,2.242666895463715
anomaly,2002,P,E1,2.9080078843627564
anomaly,2003,P,E1,3.8483138118479743
anomaly,2004,P,E1,2.54730944491513
anomaly,2005,P,E1,2.2598285199216175
anomaly,2006,P,E1,1.61380268270247
anomaly,2007,P,E1,1.6912828244941456
anomaly,2008,P,E1,3.2238184398231
anomaly,2009,P,E1,5.066976379069589
anomaly,2010,P,E1,2.7520475831551634
anomaly,2011,P,E1,2.8054687789944444
anomaly,2012,P,E1,2.9121333099717654
anomaly,2013,P,E1,1.7321746414301986
anomaly,2014,P,E1,2.486781096075266
