mode,source_object,source_package_type,source_col,target_object,target_type,target_col,is_self_target,is_leaveout_for_source,n_years_valid,base_predictors,extended_predictors,base_r2,extended_r2,delta_r2,base_cv_rmse,extended_cv_rmse,delta_cv_rmse_positive_means_improvement,source_coef,source_coef_loo_sign_stability,permutation_p_delta_r2,decision
anomaly,P,pre_package,P_pre_package_strength,Je,individual_main,Je_Je46_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.09963424457634562,0.10071494616476095,0.0010807015884153337,1.0598696730431443,1.1362518334321148,-0.0763821603889705,0.0396425513228532,0.9777777777777777,0.7920792079207921,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,Jw,individual_main,Jw_Jw41_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.13193305486218776,0.13210652450713545,0.00017346964494768802,0.9958628076170416,1.0124485565013372,-0.016585748884295648,-0.015882557891999022,0.8222222222222222,0.9207920792079208,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,M,combined_available,M_combined_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.14735319265049884,0.1473604841075984,7.291457099545262e-06,1.0042600711716227,1.0360944474076779,-0.03183437623605512,-0.003256235934382152,0.6888888888888889,0.9801980198019802,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,joint_proxy,joint_proxy_available,joint45_strength_proxy,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.14735319265049884,0.1473604841075984,7.291457099545262e-06,1.0042600711716227,1.0360944474076779,-0.03183437623605512,-0.003256235934382152,0.6888888888888889,0.9603960396039604,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,M_minus_P,leave_one_object_out,M_minus_P_strength,False,True,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.19175487870982488,0.19244433754326096,0.0006894588334360741,0.9712602438863547,1.0070474366031392,-0.035787192716784544,-0.03166378823368807,0.9333333333333333,0.900990099009901,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,M_minus_V,leave_one_object_out,M_minus_V_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.1718009971615133,0.17288214605458951,0.0010811488930762003,0.9966353437954427,1.02803620029039,-0.03140085649494728,0.03965075454179348,0.9555555555555556,0.8217821782178217,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,M_minus_Je,leave_one_object_out,M_minus_Je_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.1131048055239876,0.11348498135639651,0.0003801758324089022,1.0243935937544804,1.0517706210665263,-0.027377027312045943,-0.023512616206664956,0.8666666666666667,0.8712871287128713,no_incremental_support
anomaly,P,pre_package,P_pre_package_strength,M_minus_Jw,leave_one_object_out,M_minus_Jw_strength,False,False,45,V_E2_strength;Je_E2_strength,V_E2_strength;Je_E2_strength;P_pre_package_strength,0.08463014504932953,0.0846363239347967,6.178885467167383e-06,1.0403975061787443,1.0769485701118662,-0.03655106393312191,0.002997531632174931,0.6444444444444445,1.0,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,P,individual_main,P_P45_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.026495088658562316,0.02931405528840736,0.0028189666298450433,1.0653491160376523,1.0869809762795464,-0.02163186024189412,-0.0584477476425626,0.9555555555555556,0.693069306930693,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,V,individual_main,V_V45_strength,True,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.051746350934040675,0.05845630758703979,0.006709956652999116,1.046836207580228,1.05998976641696,-0.013153558836731971,-0.09017427714452209,1.0,0.5841584158415841,self_target_only
anomaly,V,pre_package,V_pre_package_strength,Je,individual_main,Je_Je46_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.023892305428731664,0.0968460155032258,0.07295371007449414,1.0957314333086752,1.108861009086173,-0.013129575777497848,-0.297335321601286,1.0,0.10891089108910891,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,Jw,individual_main,Jw_Jw41_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.09204109902430302,0.09215007719233037,0.00010897816802735161,1.0216531736796486,1.048076071888188,-0.02642289820853949,0.01149191919977733,0.7111111111111111,0.9306930693069307,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,M,combined_available,M_combined_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.08051715584980557,0.10341431817072311,0.02289716232091754,1.0370936566183373,1.054879732182419,-0.017786075564081738,-0.16657646588297742,1.0,0.31683168316831684,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,joint_proxy,joint_proxy_available,joint45_strength_proxy,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.08051715584980557,0.10341431817072311,0.02289716232091754,1.0370936566183373,1.054879732182419,-0.017786075564081738,-0.16657646588297742,1.0,0.32673267326732675,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,M_minus_P,leave_one_object_out,M_minus_P_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.09537501395616266,0.12716503683544278,0.03179002287928012,1.0253086248080403,1.037566083986868,-0.01225745917882759,-0.19627646723816433,1.0,0.21782178217821782,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,M_minus_V,leave_one_object_out,M_minus_V_strength,False,True,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.08317469878282191,0.10985034692322682,0.026675648140404906,1.0385101758811248,1.0638906271191828,-0.02538045123805799,-0.17979611463774972,1.0,0.27722772277227725,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,M_minus_Je,leave_one_object_out,M_minus_Je_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.08226951590514953,0.08597198382315363,0.0037024679180041042,1.0392144157231924,1.064022482101689,-0.02480806637849664,-0.06698359684775236,0.9777777777777777,0.693069306930693,no_incremental_support
anomaly,V,pre_package,V_pre_package_strength,M_minus_Jw,leave_one_object_out,M_minus_Jw_strength,False,False,45,P_E2_strength;Je_E2_strength,P_E2_strength;Je_E2_strength;V_pre_package_strength,0.04768848409746784,0.0746921793942873,0.027003695296819452,1.0554118587529613,1.0675797422193525,-0.012167883466391194,-0.18089826924870003,1.0,0.26732673267326734,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,P,individual_main,P_P45_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.03334829714607801,0.07044185941674685,0.037093562270668845,1.0456663633823575,1.1055581274804394,-0.059891764098081834,-0.193530839107525,0.9777777777777777,0.25742574257425743,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,V,individual_main,V_V45_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.06349250008199003,0.1093808579083454,0.045888357826355364,1.0233407079549088,1.058031553512765,-0.034690845557856065,-0.21525446382581281,1.0,0.13861386138613863,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,Je,individual_main,Je_Je46_strength,True,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.09800972124040219,0.10311353620213759,0.005103814961735398,1.0730541602919221,1.0901927482827802,-0.0171385879908581,-0.07178742385426856,1.0,0.6336633663366337,self_target_only
anomaly,Je,pre_package,Je_pre_package_strength,Jw,individual_main,Jw_Jw41_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.04519411523251615,0.21533878454464872,0.17014466931213257,1.044194511553787,0.9724143488792728,0.07178016267451415,0.4144862059004164,1.0,0.009900990099009901,clear_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,M,combined_available,M_combined_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.12636273312901591,0.1269985628189263,0.0006358296899103832,1.0066844153168257,1.0587021460185928,-0.05201773070176707,-0.025337940381412852,0.9555555555555556,0.8811881188118812,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,joint_proxy,joint_proxy_available,joint45_strength_proxy,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.12636273312901591,0.1269985628189263,0.0006358296899103832,1.0066844153168257,1.0587021460185928,-0.05201773070176707,-0.025337940381412852,0.9555555555555556,0.8712871287128713,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_P,leave_one_object_out,M_minus_P_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.15414130243481783,0.15852417733874136,0.004382874903923528,0.9937006271411036,1.0247628705018248,-0.031062243360721165,0.06652432029276859,0.9777777777777777,0.6633663366336634,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_V,leave_one_object_out,M_minus_V_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.12881227598144185,0.1348220490217651,0.006009773040323241,1.011582855950139,1.0561120004556117,-0.04452914450547274,0.07789865224661426,0.9777777777777777,0.6435643564356436,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_Je,leave_one_object_out,M_minus_Je_strength,False,True,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.09788974771718673,0.09789742763883802,7.679921651293498e-06,1.0172569601005654,1.089937317957657,-0.0726803578570916,0.0027847056952190544,0.6,0.9603960396039604,no_incremental_support
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_Jw,leave_one_object_out,M_minus_Jw_strength,False,False,45,P_E2_strength;V_E2_strength,P_E2_strength;V_E2_strength;Je_pre_package_strength,0.0840739770929102,0.12170955614774581,0.03763557905483561,1.0307642818932288,1.0579811216845063,-0.027216839791277536,-0.19493966234227586,1.0,0.10891089108910891,no_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,P,individual_main,P_P45_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.033552489929211005,0.0580779977872391,0.024525507858028095,1.0917282922223501,1.099348007164519,-0.007619714942168843,-0.16809468639856567,1.0,0.31683168316831684,no_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,V,individual_main,V_V45_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.06360955093767917,0.06918059589868386,0.00557104496100469,1.0579605800813192,1.076793878122747,-0.01883329804142786,-0.08011490321817766,1.0,0.6435643564356436,no_incremental_support
anomaly,Jw,main_cluster_source,Jw_M_source_strength,Je,individual_main,Je_Je46_strength,False,False,45,P_E2_strength;V_E2_strength;Je_E2_strength,P_E2_strength;V_E2_strength;Je_E2_strength;Jw_M_source_strength,0.1057785890633608,0.11744334278715929,0.011664753723798493,1.1053932941260243,1.1187497056415616,-0.013356411515537348,-0.11592651164783936,1.0,0.44554455445544555,no_incremental_support
