mode,source_object,source_package_type,source_col,target_object,target_col,is_self_target,n_years,pearson_r,spearman_r,permutation_p
anomaly,Je,pre_package,Je_pre_package_strength,M,M_combined_strength,False,45,-0.05903421124335696,0.0662714097496706,0.7326732673267327
anomaly,Je,pre_package,Je_pre_package_strength,joint_proxy,joint45_strength_proxy,False,45,-0.05903421124335696,0.0662714097496706,0.6633663366336634
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_P,M_minus_P_strength,False,45,0.02791661954574724,0.10909090909090909,0.8118811881188119
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_V,M_minus_V_strength,False,45,0.042257084002505385,0.1212121212121212,0.7920792079207921
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_Je,M_minus_Je_strength,False,45,-0.02556300534625206,0.13926218708827404,0.900990099009901
anomaly,Je,pre_package,Je_pre_package_strength,M_minus_Jw,M_minus_Jw_strength,False,45,-0.22066270074285244,-0.13939393939393938,0.10891089108910891
anomaly,Jw,main_cluster_source,Jw_M_source_strength,P,P_P45_strength,False,45,-0.10462935454479413,-0.06086956521739129,0.46534653465346537
anomaly,Jw,main_cluster_source,Jw_M_source_strength,V,V_V45_strength,False,45,-0.021687328599673813,0.013965744400527008,0.9702970297029703
anomaly,Jw,main_cluster_source,Jw_M_source_strength,Je,Je_Je46_strength,False,45,-0.011018911731829058,0.00303030303030303,0.9603960396039604
anomaly,Jw,main_cluster_source,Jw_M_source_strength,Jw,Jw_Jw41_strength,True,45,0.9999999999999994,0.9999999999999999,0.009900990099009901
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M,M_combined_strength,False,45,0.3307503402017997,0.3534914361001317,0.0297029702970297
anomaly,Jw,main_cluster_source,Jw_M_source_strength,joint_proxy,joint45_strength_proxy,False,45,0.3307503402017997,0.3534914361001317,0.0297029702970297
anomaly,Jw,main_cluster_source,Jw_M_source_strength,M_minus_P,M_minus_P_strength,False,45,0.5049150937755652,0.46785243741765475,0.009900990099009901
