mode,year,H_E1_strength,H_E2_strength,H_H_E1_strength,H_H_E2_strength,P_E1_strength,P_E2_strength,P_P45_strength,V_E1_strength,V_E2_strength,V_V45_strength,Je_E1_strength,Je_E2_strength,Je_Je46_strength,Jw_E1_strength,Jw_E2_strength,Jw_Jw41_strength,H_pre_package_strength,P_pre_package_strength,V_pre_package_strength,Je_pre_package_strength,Jw_pre_package_strength,P_M_source_strength,V_M_source_strength,Je_M_source_strength,Jw_M_source_strength,M_combined_strength,joint45_strength_proxy,M_minus_P_strength,M_minus_V_strength,M_minus_Je_strength,M_minus_Jw_strength
anomaly,1979,11.049581082321724,11.115960398685548,10.550162002989449,11.313488834503412,2.9163251372351513,2.3054495855572004,5.581032461970783,1.320317466248343,0.78703453702032,2.206943421472792,8.278152392693062,9.907501292805414,9.804734648178298,4.52674748720402,9.58534984335251,18.24463746239225,-1.0444651204202011,-0.20220874771445432,-0.5567219180824123,0.633639867177287,0.34178803365116917,0.8381668375599682,0.8421295020202944,0.7060536730585155,2.4528479569197597,1.2097994923896345,1.2097994923896345,1.3336770439995231,1.332356155846081,1.3777147655000075,0.7954500042129261
anomaly,1980,17.437215335256273,8.517054959059426,17.279439603180336,8.511283798256732,3.4628641462029917,3.4164147445905226,7.203887575048206,0.999771793269421,1.1842221169498535,2.066865466802027,4.237425968613914,9.629380850911073,10.606338573344395,4.0204004077073225,4.690858022217203,1.9656979021694214,-0.8738562205067996,0.7277905660402137,-0.5003007788094282,0.09384765998692818,-0.2808390974307507,2.0748431235483533,0.6157014890160887,0.9041075548463686,-0.966145892352393,0.6571265687646044,0.6571265687646044,0.18455438383668807,0.6709349286807763,0.5747995734040163,1.1982173891369368
anomaly,1981,12.669980185634593,10.69814199657272,15.662857949808942,10.195122742250543,2.04460572434457,2.0886490220894656,4.707112721630136,1.5294819059841769,1.0443112345317276,2.2220850125048894,6.761664325852773,0.3741093144376888,4.738687839028724,0.353170727538519,-2.769513426852413,2.5759019400069216,-0.845299615772263,-0.837826218902382,-0.09343765069758161,-0.8198306625831572,-1.5353013848406438,0.17220731349194093,0.866605019093472,-0.5456246238798894,-0.8379874306510409,-0.08619993048637936,-0.08619993048637936,-0.17233567847915277,-0.40380158034632974,0.06694163397812398,0.16439590290184114
anomaly,1982,34.300858031695974,20.42202092952677,35.161801530475536,17.684924613412072,2.0647518525770807,3.6942418280822227,3.8281888306760083,0.9029956800898872,1.9549548896874758,1.441738375490878,11.233955942348139,2.547522168315942,5.632617270832105,1.9502618038845694,10.580532689883706,10.539466246310177,0.7231314808587053,0.049332485912594704,0.14694540006598478,0.025108914863018528,0.18573953931076503,-0.4975655604835033,-0.3947807492016837,-0.3247596948859544,0.8345648434579853,-0.09563529027828904,-0.09563529027828904,0.038341466456782415,0.004079862696175847,-0.019260488742400567,-0.40570200152371383
anomaly,1983,35.465640746734685,21.798374097258534,35.851643427430325,9.247901699937934,3.5530274816422653,2.3576949756009182,4.813906514476043,2.7229767223585424,1.1824156955916691,1.4327730520736082,11.382263998478495,2.5266930305829165,9.561645448568866,11.826139463947257,5.797316332613711,6.918409960110932,0.17984837244626595,0.20420766934846724,1.2622552334783756,0.04080359023494273,0.671240826383352,0.2535881774021188,-0.4092726824404558,0.6459931393062955,0.07405036863097664,0.1410897507247338,0.1410897507247338,0.10359027516560547,0.3245438951131303,-0.027211378802453445,0.16343621142265286
anomaly,1984,22.729988418529384,23.519876532482336,22.613774742178407,22.140249456725282,2.3547526650991237,3.7182323757455618,3.450959801933737,0.8665126671633228,1.3682222631547147,1.159643774033277,1.6353822086810097,5.778424961570482,1.8589811800413623,8.827096142932945,-0.16064861311750736,6.867025351379723,0.35202124887787195,0.23455008966242138,-0.45856378503353734,-0.740875665469233,-0.33801142161666003,-0.7850281875983502,-0.8507705602849889,-1.257119495994693,0.06325828598030211,-0.7074149894744326,-0.7074149894744326,-0.6815439234331265,-0.6596297992042471,-0.524180153967679,-0.9643060812926775
anomaly,1985,27.662786724997986,20.509863839819086,27.697313100380786,23.426173368216617,2.893588205882326,3.2171899619033715,4.167512144095621,1.4451282862117363,2.4510231218599787,1.7272717932193895,4.633244644504348,7.354021119981152,5.479650455229159,5.7751221315085335,4.883379840402564,7.078878789668089,0.7150476831118449,0.2812798340800816,1.182370613145581,-0.15874725169487452,-0.07334946806216504,-0.23898850600247307,0.06676771197141573,-0.3625535113379046,0.10775292887614235,-0.1067553441232049,-0.1067553441232049,-0.06267762349678217,-0.16459636282141174,-0.02148928838497166,-0.17825810178965398
anomaly,1986,8.364460669156191,12.264224780357495,7.799317673556464,17.864113865637417,2.6229534988732377,1.8354957572714998,4.915542917948883,1.015204199409203,0.9700146493470645,1.8027130068548045,5.906255855142295,3.8583182220234553,4.175041303162006,1.7441275223691688,2.600586319325048,1.637677215847699,-0.7422896995514926,-0.6325194789830664,-0.6919257116158783,-0.46406462905510515,-0.764047900172748,0.33103891773941246,0.18871412489728867,-0.6848858985318931,-1.0350386297950922,-0.300042871422571,-0.300042871422571,-0.5104034678098989,-0.4629618701958576,-0.17176186238613034,-0.0550442852983973
anomaly,1987,16.2624871258833,11.25308932713525,17.885635885255255,13.807733280455489,2.041886722189361,1.95158150845438,4.142115078028089,1.0070508056950587,1.1425809333420016,1.5596477095621486,5.430236993399831,1.3487634697143358,5.87435786041076,2.54277415297249,5.612925867444099,6.580448708552222,-0.47667687421419974,-0.9141549658679975,-0.5331709309925033,-0.8562347626131184,-0.32947549990188096,-0.2583420201186149,-0.2041870452090958,-0.2650323649058568,0.003069858131696246,-0.18112289302546783,-0.18112289302546783,-0.15538318399441878,-0.1734348422975918,-0.15315306906533815,-0.2425204767445225
anomaly,1988,18.086147103328855,9.771861180856066,22.164278037939432,13.830938184859836,2.5151787675848882,2.7645397965600953,3.2461089898354025,1.2687484946431486,1.1497367413198873,1.1909851258901307,4.386124140458058,8.591724961785436,4.8308767001518484,4.7387830696435405,2.635905759338071,8.069209525278138,-0.2440058571039374,-0.19007602594789022,-0.25830222055381225,-0.02530492618704644,-0.4440437966637455,-0.9411321672118319,-0.8001090551074426,-0.5228473379537347,0.31574772370106874,-0.48708520914298514,-0.48708520914298514,-0.3357362231200362,-0.3827439271548327,-0.47516449953940193,-0.7546961867576698
