window_id,mode,object_A,object_B,target_metric,corr_pc_with_order_influence,spearman_pc_with_order_influence,n_years,pc_order_relationship_status
W045,2,H,Jw,presence_effect_on_B_earlier,-0.5081162463980085,-0.5125992295017061,45,diagnostic_only_not_physical_type
W045,2,H,Jw,high_count_effect_on_A_earlier,0.5321565316151908,0.49011857707509876,45,diagnostic_only_not_physical_type
W045,2,H,Jw,high_count_effect_on_B_earlier,-0.5315136818887506,-0.4861660079051383,45,diagnostic_only_not_physical_type
W045,2,Je,Jw,presence_effect_on_A_earlier,0.2626663608715174,0.2106129979073325,45,diagnostic_only_not_physical_type
W045,2,Je,Jw,presence_effect_on_B_earlier,-0.2968598195632862,-0.24948120834378112,45,diagnostic_only_not_physical_type
W045,2,Je,Jw,high_count_effect_on_A_earlier,0.25371372192810604,0.2035573122529644,45,diagnostic_only_not_physical_type
W045,2,Je,Jw,high_count_effect_on_B_earlier,-0.28143236902184915,-0.24571805006587613,45,diagnostic_only_not_physical_type
W045,2,P,H,presence_effect_on_A_earlier,-0.3232582251286086,-0.36358246338772854,45,diagnostic_only_not_physical_type
W045,2,P,H,presence_effect_on_B_earlier,0.36527556446311443,0.40105401844532274,45,diagnostic_only_not_physical_type
W045,2,P,H,high_count_effect_on_A_earlier,-0.3603533714136317,-0.3752305665349143,45,diagnostic_only_not_physical_type
W045,2,P,H,high_count_effect_on_B_earlier,0.39886921350216065,0.39196310935441364,45,diagnostic_only_not_physical_type
W045,2,P,Je,presence_effect_on_A_earlier,0.2742805752727033,0.15257419554375418,45,diagnostic_only_not_physical_type
W045,2,P,Je,presence_effect_on_B_earlier,-0.2250095086890195,-0.14387351778656124,45,diagnostic_only_not_physical_type
W045,2,P,Je,high_count_effect_on_A_earlier,0.30644332964999293,0.21409749670619233,45,diagnostic_only_not_physical_type
W045,2,P,Je,high_count_effect_on_B_earlier,-0.24648815131692467,-0.16100131752305663,45,diagnostic_only_not_physical_type
W045,2,P,Jw,presence_effect_on_A_earlier,0.4156464009890814,0.3067953491568494,45,diagnostic_only_not_physical_type
W045,2,P,Jw,presence_effect_on_B_earlier,-0.44571676325019544,-0.3650438113198915,45,diagnostic_only_not_physical_type
W045,2,P,Jw,high_count_effect_on_A_earlier,0.4252773191715586,0.3328063241106719,45,diagnostic_only_not_physical_type
W045,2,P,Jw,high_count_effect_on_B_earlier,-0.4204209131104886,-0.34584980237154145,45,diagnostic_only_not_physical_type
W045,2,P,V,presence_effect_on_A_earlier,0.08649365173609977,-0.015546772068511197,45,diagnostic_only_not_physical_type
W045,2,P,V,presence_effect_on_B_earlier,-0.10281345746223848,0.0018445322793148877,45,diagnostic_only_not_physical_type
W045,2,P,V,high_count_effect_on_A_earlier,0.07700933488688105,-0.02898550724637681,45,diagnostic_only_not_physical_type
W045,2,P,V,high_count_effect_on_B_earlier,-0.04573969527524758,0.07364953886693017,45,diagnostic_only_not_physical_type
W045,2,V,H,presence_effect_on_A_earlier,-0.22746539939197405,-0.23610013175230563,45,diagnostic_only_not_physical_type
W045,2,V,H,presence_effect_on_B_earlier,0.4038658117402625,0.4656126482213438,45,diagnostic_only_not_physical_type
W045,2,V,H,high_count_effect_on_A_earlier,-0.26553225122300866,-0.27206851119894593,45,diagnostic_only_not_physical_type
W045,2,V,H,high_count_effect_on_B_earlier,0.42664697220743136,0.40382081686429505,45,diagnostic_only_not_physical_type
W045,2,V,Je,presence_effect_on_A_earlier,0.20782934865895208,0.20882740447957837,45,diagnostic_only_not_physical_type
W045,2,V,Je,presence_effect_on_B_earlier,-0.19987165939314677,-0.21146941610338985,45,diagnostic_only_not_physical_type
W045,2,V,Je,high_count_effect_on_A_earlier,0.29207949554171353,0.3181818181818181,45,diagnostic_only_not_physical_type
W045,2,V,Je,high_count_effect_on_B_earlier,-0.24186614018455202,-0.25783926218708825,45,diagnostic_only_not_physical_type
W045,2,V,Jw,presence_effect_on_A_earlier,0.4580348484386047,0.4148880105401844,45,diagnostic_only_not_physical_type
W045,2,V,Jw,presence_effect_on_B_earlier,-0.41898571864800865,-0.36534914361001314,45,diagnostic_only_not_physical_type
W045,2,V,Jw,high_count_effect_on_A_earlier,0.4422727659961596,0.4040843214756258,45,diagnostic_only_not_physical_type
W045,2,V,Jw,high_count_effect_on_B_earlier,-0.41895552326510294,-0.38129117259552037,45,diagnostic_only_not_physical_type
W045,3,H,Je,presence_effect_on_A_earlier,0.16737326207059003,0.11646903820816863,45,diagnostic_only_not_physical_type
W045,3,H,Je,presence_effect_on_B_earlier,-0.1015470636748965,-0.07101449275362318,45,diagnostic_only_not_physical_type
W045,3,H,Je,high_count_effect_on_A_earlier,0.11831234916443974,0.07035573122529644,45,diagnostic_only_not_physical_type
W045,3,H,Je,high_count_effect_on_B_earlier,-0.0758285225991846,-0.06139657444005269,45,diagnostic_only_not_physical_type
W045,3,H,Jw,presence_effect_on_A_earlier,0.09570516763079591,0.05599472990777338,45,diagnostic_only_not_physical_type
W045,3,H,Jw,presence_effect_on_B_earlier,-0.12749382768704548,-0.11502355156277841,45,diagnostic_only_not_physical_type
W045,3,H,Jw,high_count_effect_on_A_earlier,0.09497567819833756,0.06258234519104083,45,diagnostic_only_not_physical_type
W045,3,H,Jw,high_count_effect_on_B_earlier,-0.12766658290504368,-0.11818181818181817,45,diagnostic_only_not_physical_type
W045,3,Je,Jw,presence_effect_on_A_earlier,-0.0945979411304547,-0.05830231565467291,45,diagnostic_only_not_physical_type
W045,3,Je,Jw,presence_effect_on_B_earlier,0.13998208831874936,0.1285944860541486,45,diagnostic_only_not_physical_type
W045,3,Je,Jw,high_count_effect_on_A_earlier,-0.07954655248033696,-0.03478260869565217,45,diagnostic_only_not_physical_type
W045,3,Je,Jw,high_count_effect_on_B_earlier,0.11853134366639999,0.10092226613965743,45,diagnostic_only_not_physical_type
W045,3,P,H,presence_effect_on_A_earlier,-0.1521262818069758,-0.16423465867468875,45,diagnostic_only_not_physical_type
W045,3,P,H,presence_effect_on_B_earlier,0.1784591489695358,0.14413702239789195,45,diagnostic_only_not_physical_type
W045,3,P,H,high_count_effect_on_A_earlier,-0.10637601539794914,-0.07720685111989459,45,diagnostic_only_not_physical_type
W045,3,P,H,high_count_effect_on_B_earlier,0.1634055808624158,0.10843214756258233,45,diagnostic_only_not_physical_type
W045,3,P,Je,presence_effect_on_A_earlier,0.0578831333296431,-0.021015184964791704,45,diagnostic_only_not_physical_type
W045,3,P,Je,presence_effect_on_B_earlier,0.017114245222767582,0.08418972332015809,45,diagnostic_only_not_physical_type
W045,3,P,Je,high_count_effect_on_A_earlier,0.05855184308095215,0.008563899868247694,45,diagnostic_only_not_physical_type
W045,3,P,Je,high_count_effect_on_B_earlier,-0.031007501413706198,0.022529644268774702,45,diagnostic_only_not_physical_type
W045,3,P,Jw,presence_effect_on_A_earlier,-0.05750154915349342,-0.10685463953884684,45,diagnostic_only_not_physical_type
W045,3,P,Jw,presence_effect_on_B_earlier,0.012198750517412925,0.0809671258098081,45,diagnostic_only_not_physical_type
W045,3,P,Jw,high_count_effect_on_A_earlier,-0.05490272351595615,-0.08735177865612648,45,diagnostic_only_not_physical_type
W045,3,P,Jw,high_count_effect_on_B_earlier,0.021392408813976683,0.07575757575757575,45,diagnostic_only_not_physical_type
W045,3,P,V,presence_effect_on_A_earlier,-0.035814027841960264,-0.07009222661396573,45,diagnostic_only_not_physical_type
W045,3,P,V,presence_effect_on_B_earlier,0.0989748830721739,0.1494071146245059,45,diagnostic_only_not_physical_type
W045,3,P,V,high_count_effect_on_A_earlier,-0.032017094543854374,-0.07075098814229248,45,diagnostic_only_not_physical_type
W045,3,P,V,high_count_effect_on_B_earlier,0.10519545469053669,0.13913043478260867,45,diagnostic_only_not_physical_type
W045,3,V,H,presence_effect_on_A_earlier,-0.10201818117002272,-0.13662714097496703,45,diagnostic_only_not_physical_type
W045,3,V,H,presence_effect_on_B_earlier,0.10425071100240048,0.08221343873517785,45,diagnostic_only_not_physical_type
W045,3,V,H,high_count_effect_on_A_earlier,-0.04516145325334161,-0.03372859025032938,45,diagnostic_only_not_physical_type
W045,3,V,H,high_count_effect_on_B_earlier,0.11379650794086661,0.08577075098814228,45,diagnostic_only_not_physical_type
W045,3,V,Je,presence_effect_on_A_earlier,0.0954155003884991,0.1364953886693017,45,diagnostic_only_not_physical_type
W045,3,V,Je,presence_effect_on_B_earlier,-0.07872628056789852,-0.06969926549451291,45,diagnostic_only_not_physical_type
W045,3,V,Je,high_count_effect_on_A_earlier,0.11606893842664134,0.12911725955204215,45,diagnostic_only_not_physical_type
W045,3,V,Je,high_count_effect_on_B_earlier,-0.09951215264978791,-0.10303030303030301,45,diagnostic_only_not_physical_type
W045,3,V,Jw,presence_effect_on_A_earlier,-0.12633301609164396,-0.1689064558629776,45,diagnostic_only_not_physical_type
W045,3,V,Jw,presence_effect_on_B_earlier,0.05817256154416465,0.09459815546772067,45,diagnostic_only_not_physical_type
W045,3,V,Jw,high_count_effect_on_A_earlier,-0.08854180755616096,-0.11686429512516468,45,diagnostic_only_not_physical_type
W045,3,V,Jw,high_count_effect_on_B_earlier,0.045216039900259644,0.06982872200263504,45,diagnostic_only_not_physical_type
W045,4,H,Je,presence_effect_on_A_earlier,-0.0047233833423995335,-0.017127799736495388,45,diagnostic_only_not_physical_type
W045,4,H,Je,presence_effect_on_B_earlier,0.045820112342346606,0.041106719367588924,45,diagnostic_only_not_physical_type
W045,4,H,Je,high_count_effect_on_A_earlier,0.01428761758209184,0.06284584980237154,45,diagnostic_only_not_physical_type
W045,4,H,Je,high_count_effect_on_B_earlier,0.009112932158038824,-0.07364953886693017,45,diagnostic_only_not_physical_type
W045,4,H,Jw,presence_effect_on_A_earlier,0.12098528917216562,0.1123847167325428,45,diagnostic_only_not_physical_type
W045,4,H,Jw,presence_effect_on_B_earlier,-0.13729937333241024,-0.12470766501050373,45,diagnostic_only_not_physical_type
W045,4,H,Jw,high_count_effect_on_A_earlier,0.053320104589160616,0.1131752305665349,45,diagnostic_only_not_physical_type
W045,4,H,Jw,high_count_effect_on_B_earlier,-0.050608678945755665,-0.11040843214756257,45,diagnostic_only_not_physical_type
W045,4,Je,Jw,presence_effect_on_A_earlier,0.13550413434885716,0.12819921611750676,45,diagnostic_only_not_physical_type
W045,4,Je,Jw,presence_effect_on_B_earlier,-0.13157053926595863,-0.13419414348990816,45,diagnostic_only_not_physical_type
W045,4,Je,Jw,high_count_effect_on_A_earlier,0.09979973315140683,0.13003952569169958,45,diagnostic_only_not_physical_type
W045,4,Je,Jw,high_count_effect_on_B_earlier,-0.10788091339796105,-0.12648221343873517,45,diagnostic_only_not_physical_type
W045,4,P,H,presence_effect_on_A_earlier,-0.05881526200437946,-0.021871603160849046,45,diagnostic_only_not_physical_type
W045,4,P,H,presence_effect_on_B_earlier,0.09713224534724871,0.07918313570487483,45,diagnostic_only_not_physical_type
W045,4,P,H,high_count_effect_on_A_earlier,-0.028869610018395397,-0.06218708827404479,45,diagnostic_only_not_physical_type
W045,4,P,H,high_count_effect_on_B_earlier,0.06677011057972343,0.11488801054018444,45,diagnostic_only_not_physical_type
W045,4,P,Je,presence_effect_on_A_earlier,-0.15574398047217414,-0.014229717719106607,45,diagnostic_only_not_physical_type
W045,4,P,Je,presence_effect_on_B_earlier,0.12628900551784772,-0.017391304347826084,45,diagnostic_only_not_physical_type
W045,4,P,Je,high_count_effect_on_A_earlier,-0.07598150744762913,0.015942028985507246,45,diagnostic_only_not_physical_type
W045,4,P,Je,high_count_effect_on_B_earlier,0.01608571665928215,-0.0758893280632411,45,diagnostic_only_not_physical_type
W045,4,P,Jw,presence_effect_on_A_earlier,0.12276123586071838,0.2238545407848345,45,diagnostic_only_not_physical_type
W045,4,P,Jw,presence_effect_on_B_earlier,-0.11161832663328244,-0.20752355272652198,45,diagnostic_only_not_physical_type
W045,4,P,Jw,high_count_effect_on_A_earlier,0.08912055801069046,0.15652173913043477,45,diagnostic_only_not_physical_type
W045,4,P,Jw,high_count_effect_on_B_earlier,-0.10795573501540986,-0.15546772068511197,45,diagnostic_only_not_physical_type
W045,4,P,V,presence_effect_on_A_earlier,-0.018528002846877382,-0.006982872200263504,45,diagnostic_only_not_physical_type
W045,4,P,V,presence_effect_on_B_earlier,0.04636844261079676,-0.01515151515151515,45,diagnostic_only_not_physical_type
W045,4,P,V,high_count_effect_on_A_earlier,-0.022518577699070744,-0.003162055335968379,45,diagnostic_only_not_physical_type
W045,4,P,V,high_count_effect_on_B_earlier,0.054530983249537646,0.050592885375494064,45,diagnostic_only_not_physical_type
W045,4,V,H,presence_effect_on_A_earlier,-0.09170091789480495,-0.06166007905138339,45,diagnostic_only_not_physical_type
W045,4,V,H,presence_effect_on_B_earlier,0.1282519812182981,0.10395256916996046,45,diagnostic_only_not_physical_type
W045,4,V,H,high_count_effect_on_A_earlier,-0.07309119494433174,-0.08010540184453227,45,diagnostic_only_not_physical_type
W045,4,V,H,high_count_effect_on_B_earlier,0.09051189646952404,0.12964426877470353,45,diagnostic_only_not_physical_type
