window_id,year,mode,phase_group,pc_score,grouping_method,phase_group_size
W045,2020,2,PC_low,-0.4647519594673088,tercile_pc_phase_group,15
W045,2021,2,PC_high,0.4047750026831385,tercile_pc_phase_group,15
W045,2022,2,PC_mid,0.2019122194060939,tercile_pc_phase_group,15
W045,2023,2,PC_high,0.3676813452935398,tercile_pc_phase_group,15
W045,1979,3,PC_high,0.6317171738228757,tercile_pc_phase_group,15
W045,1980,3,PC_low,-0.45883592333828865,tercile_pc_phase_group,15
W045,1981,3,PC_high,0.53709819134817,tercile_pc_phase_group,15
W045,1982,3,PC_low,-0.7477584595225136,tercile_pc_phase_group,15
W045,1983,3,PC_high,1.0054379079943376,tercile_pc_phase_group,15
W045,1984,3,PC_mid,0.006192377642367055,tercile_pc_phase_group,15
W045,1985,3,PC_mid,-0.14886949440121672,tercile_pc_phase_group,15
W045,1986,3,PC_high,1.1389157412580089,tercile_pc_phase_group,15
W045,1987,3,PC_mid,-0.09201989435187626,tercile_pc_phase_group,15
W045,1988,3,PC_low,-0.8022216580640673,tercile_pc_phase_group,15
W045,1989,3,PC_low,-0.626918270541446,tercile_pc_phase_group,15
W045,1990,3,PC_mid,-0.07245941483198977,tercile_pc_phase_group,15
W045,1991,3,PC_low,-0.6262696166235654,tercile_pc_phase_group,15
W045,1992,3,PC_mid,0.015763066266999234,tercile_pc_phase_group,15
W045,1993,3,PC_mid,-0.15038336559078994,tercile_pc_phase_group,15
W045,1994,3,PC_high,0.20010906399433157,tercile_pc_phase_group,15
W045,1995,3,PC_high,1.29833181353713,tercile_pc_phase_group,15
W045,1996,3,PC_low,-0.6439227666503033,tercile_pc_phase_group,15
W045,1997,3,PC_low,-0.18947246498140055,tercile_pc_phase_group,15
W045,1998,3,PC_mid,0.1272263037100449,tercile_pc_phase_group,15
W045,1999,3,PC_high,0.4675424784208045,tercile_pc_phase_group,15
W045,2000,3,PC_mid,-0.009650949113290747,tercile_pc_phase_group,15
W045,2001,3,PC_mid,-0.008561693659134522,tercile_pc_phase_group,15
W045,2002,3,PC_high,0.7271309477395321,tercile_pc_phase_group,15
W045,2003,3,PC_high,1.039100402296449,tercile_pc_phase_group,15
W045,2004,3,PC_low,-0.1595866462449012,tercile_pc_phase_group,15
W045,2005,3,PC_mid,0.15658486455024015,tercile_pc_phase_group,15
W045,2006,3,PC_low,-0.22835146276286616,tercile_pc_phase_group,15
W045,2007,3,PC_mid,0.04759346248205994,tercile_pc_phase_group,15
W045,2008,3,PC_high,0.2962086343678786,tercile_pc_phase_group,15
W045,2009,3,PC_high,0.37864102165443564,tercile_pc_phase_group,15
W045,2010,3,PC_high,0.6130119706073157,tercile_pc_phase_group,15
W045,2011,3,PC_low,-1.0517644894267435,tercile_pc_phase_group,15
W045,2012,3,PC_high,0.6570311139018761,tercile_pc_phase_group,15
W045,2013,3,PC_low,-0.27681647982322416,tercile_pc_phase_group,15
W045,2014,3,PC_mid,0.14081662863629077,tercile_pc_phase_group,15
W045,2015,3,PC_low,-0.8863602484626262,tercile_pc_phase_group,15
W045,2016,3,PC_mid,0.028733048202329515,tercile_pc_phase_group,15
W045,2017,3,PC_low,-0.23839989835680647,tercile_pc_phase_group,15
W045,2018,3,PC_mid,-0.002439549448372098,tercile_pc_phase_group,15
W045,2019,3,PC_high,0.40174493750888535,tercile_pc_phase_group,15
W045,2020,3,PC_low,-1.7397625804277275,tercile_pc_phase_group,15
W045,2021,3,PC_low,-1.162993374691623,tercile_pc_phase_group,15
W045,2022,3,PC_mid,0.18380850420075245,tercile_pc_phase_group,15
W045,2023,3,PC_high,0.2250790471716613,tercile_pc_phase_group,15
W081,1979,1,PC_low,-0.8299083506087334,tercile_pc_phase_group,15
W081,1980,1,PC_high,0.67404712689499,tercile_pc_phase_group,15
W081,1981,1,PC_mid,0.2446297866426141,tercile_pc_phase_group,15
W081,1982,1,PC_low,-1.7394023601898532,tercile_pc_phase_group,15
W081,1983,1,PC_low,-0.5091553518885537,tercile_pc_phase_group,15
W081,1984,1,PC_mid,0.02802068982974154,tercile_pc_phase_group,15
W081,1985,1,PC_low,-0.6553293572437696,tercile_pc_phase_group,15
W081,1986,1,PC_low,-0.631818303583929,tercile_pc_phase_group,15
W081,1987,1,PC_high,0.3656280183404618,tercile_pc_phase_group,15
W081,1988,1,PC_high,0.2966878784468567,tercile_pc_phase_group,15
W081,1989,1,PC_mid,0.14767273499622904,tercile_pc_phase_group,15
W081,1990,1,PC_mid,0.12957915804795836,tercile_pc_phase_group,15
W081,1991,1,PC_high,1.3948012981044218,tercile_pc_phase_group,15
W081,1992,1,PC_low,-1.944616559889878,tercile_pc_phase_group,15
W081,1993,1,PC_low,-0.5516929567705557,tercile_pc_phase_group,15
W081,1994,1,PC_mid,0.2176952945255705,tercile_pc_phase_group,15
W081,1995,1,PC_mid,-0.03564041387007085,tercile_pc_phase_group,15
W081,1996,1,PC_high,0.3755878076575713,tercile_pc_phase_group,15
W081,1997,1,PC_low,-1.4819437560880098,tercile_pc_phase_group,15
W081,1998,1,PC_high,0.7721021298905323,tercile_pc_phase_group,15
W081,1999,1,PC_high,0.3814363016129209,tercile_pc_phase_group,15
W081,2000,1,PC_mid,0.19197491729832059,tercile_pc_phase_group,15
W081,2001,1,PC_mid,-0.007843082425508527,tercile_pc_phase_group,15
W081,2002,1,PC_low,-0.7155145051047025,tercile_pc_phase_group,15
W081,2003,1,PC_low,-0.762818167807418,tercile_pc_phase_group,15
W081,2004,1,PC_low,-0.3676242946987482,tercile_pc_phase_group,15
W081,2005,1,PC_mid,-0.12920236635738644,tercile_pc_phase_group,15
W081,2006,1,PC_mid,0.19248648598575033,tercile_pc_phase_group,15
W081,2007,1,PC_mid,-0.3116939458401097,tercile_pc_phase_group,15
W081,2008,1,PC_mid,-0.17601264357185137,tercile_pc_phase_group,15
W081,2009,1,PC_mid,-0.170773135101886,tercile_pc_phase_group,15
W081,2010,1,PC_low,-0.3791495917370439,tercile_pc_phase_group,15
W081,2011,1,PC_high,0.5133556416063214,tercile_pc_phase_group,15
W081,2012,1,PC_low,-0.3262427407487604,tercile_pc_phase_group,15
W081,2013,1,PC_high,1.2990352675727266,tercile_pc_phase_group,15
W081,2014,1,PC_low,-0.42956422291722696,tercile_pc_phase_group,15
W081,2015,1,PC_high,0.6252045677245123,tercile_pc_phase_group,15
W081,2016,1,PC_high,1.0620279767320964,tercile_pc_phase_group,15
W081,2017,1,PC_mid,-0.26576224565656514,tercile_pc_phase_group,15
W081,2018,1,PC_high,1.0645203070508085,tercile_pc_phase_group,15
W081,2019,1,PC_low,-0.4215432097162441,tercile_pc_phase_group,15
W081,2020,1,PC_high,0.7406455141408386,tercile_pc_phase_group,15
W081,2021,1,PC_high,1.2624036891127681,tercile_pc_phase_group,15
W081,2022,1,PC_mid,0.086017678485559,tercile_pc_phase_group,15
W081,2023,1,PC_high,0.7776912911173027,tercile_pc_phase_group,15
W081,1979,2,PC_mid,0.13756712523694473,tercile_pc_phase_group,15
W081,1980,2,PC_high,0.5359103144363861,tercile_pc_phase_group,15
W081,1981,2,PC_low,-1.1719819798316913,tercile_pc_phase_group,15
W081,1982,2,PC_high,0.6016469687423662,tercile_pc_phase_group,15
W081,1983,2,PC_high,1.3133453049387862,tercile_pc_phase_group,15
W081,1984,2,PC_low,-1.265937129268947,tercile_pc_phase_group,15
W081,1985,2,PC_low,-0.9169854950088381,tercile_pc_phase_group,15
W081,1986,2,PC_mid,-0.398784971237517,tercile_pc_phase_group,15
W081,1987,2,PC_mid,0.4503130567064194,tercile_pc_phase_group,15
W081,1988,2,PC_mid,0.2474085766287227,tercile_pc_phase_group,15
W081,1989,2,PC_mid,0.32589193890570045,tercile_pc_phase_group,15
W081,1990,2,PC_mid,-0.19048379016784184,tercile_pc_phase_group,15
W081,1991,2,PC_high,0.8862499671820817,tercile_pc_phase_group,15
W081,1992,2,PC_high,0.609885901175764,tercile_pc_phase_group,15
W081,1993,2,PC_high,0.6283145734426119,tercile_pc_phase_group,15
W081,1994,2,PC_low,-0.7612193540102545,tercile_pc_phase_group,15
W081,1995,2,PC_high,0.7216140131646925,tercile_pc_phase_group,15
W081,1996,2,PC_high,0.5024147023657772,tercile_pc_phase_group,15
W081,1997,2,PC_low,-0.47855689394242545,tercile_pc_phase_group,15
