window_id,mode,explained_variance_ratio,bootstrap_pattern_corr_abs_median,bootstrap_pattern_corr_abs_q025,bootstrap_pattern_corr_abs_q975,n_bootstrap,mode_stability_status
W045,1,0.0996204240801242,0.631358250746642,0.02581340836120854,0.8908924309962319,300,caution_mode
W045,2,0.087377413995489,0.47725861130635894,0.026829309918015246,0.852669692444572,300,unstable_mode
W045,3,0.08021873567800561,0.4354943568643229,0.011332534438497263,0.8240009249082506,300,unstable_mode
W081,1,0.10779447967881378,0.7215469321603855,0.08273398043494165,0.9189068793361058,300,stable_mode
W081,2,0.09245074833512479,0.4390251626963531,0.037452109639110887,0.8245171366505859,300,unstable_mode
W081,3,0.0706034453609484,0.32645579586566664,0.02408498482865657,0.7894278751145167,300,unstable_mode
W113,1,0.10222354813980769,0.6403245540851532,0.06590219368570882,0.8883476526795865,300,caution_mode
W113,2,0.08076332781617086,0.4112692519575246,0.025306367344819992,0.7943354179655681,300,unstable_mode
W113,3,0.07690151078884755,0.3291524708313912,0.013698698342484831,0.7733127248472611,300,unstable_mode
W160,1,0.10408197583759721,0.7178026705849179,0.06125165954156128,0.9187349389582613,300,stable_mode
W160,2,0.08416348295773787,0.4708068180416036,0.024908848700432265,0.8531909738004151,300,unstable_mode
W160,3,0.06460383896762568,0.3214093680496036,0.016463267306192755,0.7702048180374443,300,unstable_mode
