window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates
W045,P,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@34:weak_window;CP003@18:weak_window,CP003@18:weak_window,
W045,V,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@30:weak_window;CP003@16:weak_window,CP003@16:weak_window,
W045,H,CP002,35,25,45,front_or_early,candidate_window,system_relevant_first,CP001@19:weak_window;CP003@57:weak_window,CP001@19:weak_window,CP003@57:weak_window
W045,Je,CP001,46,36,56,within_system_window,accepted_window,system_relevant_first,CP002@26:candidate_window;CP003@33:weak_window,CP002@26:candidate_window,
W045,Jw,CP001,41,31,51,within_system_window,candidate_window,system_relevant_first,,,
W081,P,CP001,82,72,92,within_system_window,candidate_window,system_relevant_first,CP002@65:candidate_window,,
W081,V,CP001,80,70,90,within_system_window,candidate_window,system_relevant_first,CP002@69:weak_window,,
W081,H,CP001,77,67,87,within_system_window,candidate_window,system_relevant_first,,,
W081,Je,CP001,81,71,91,within_system_window,weak_window,system_relevant_first,,,
W081,Jw,CP001,83,73,92,within_system_window,candidate_window,system_relevant_first,,,
W113,P,CP001,113,103,123,within_system_window,candidate_window,system_relevant_first,CP002@126:candidate_window;CP003@138:weak_window,,CP002@126:candidate_window;CP003@138:weak_window
W113,V,CP001,114,104,124,within_system_window,candidate_window,system_relevant_first,CP002@136:weak_window,,CP002@136:weak_window
W113,H,CP001,115,105,125,within_system_window,accepted_window,system_relevant_first,CP002@129:candidate_window,,CP002@129:candidate_window
W113,Je,CP001,111,101,121,within_system_window,accepted_window,system_relevant_first,CP002@136:weak_window,,CP002@136:weak_window
W113,Jw,CP001,104,98,114,front_or_early,candidate_window,system_relevant_first,CP002@130:candidate_window,,CP002@130:candidate_window
W160,P,CP001,158,148,168,within_system_window,accepted_window,system_relevant_first,CP002@138:candidate_window,CP002@138:candidate_window,
W160,V,CP001,161,151,168,within_system_window,candidate_window,system_relevant_first,CP002@136:candidate_window,CP002@136:candidate_window,
W160,H,CP001,155,145,165,within_system_window,candidate_window,system_relevant_first,,,
W160,Je,CP001,162,152,168,within_system_window,accepted_window,system_relevant_first,CP002@136:candidate_window,CP002@136:candidate_window,
W160,Jw,CP002,152,142,162,front_or_early,weak_window,system_relevant_first,CP001@130:weak_window,CP001@130:weak_window,
