window_id,peak_order__A_peak_earlier_tendency,peak_order__B_peak_earlier_tendency,synchrony__synchrony_indeterminate,synchrony__synchrony_tendency,peak_order__peak_order_unresolved
W045,5,5,8,2.0,
W081,4,4,10,,2.0
W113,2,7,9,1.0,1.0
W160,4,6,10,,
