window_id,object_A,object_B,delta_observed,peak_order_decision,synchrony_decision,peak_relation_label
W045,P,V,0.0,A_peak_earlier_tendency,synchrony_tendency,A_peak_earlier_tendency
W045,P,H,-10.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W045,P,Je,1.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W045,P,Jw,-4.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W045,V,H,-10.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W045,V,Je,1.0,A_peak_earlier_tendency,synchrony_tendency,A_peak_earlier_tendency
W045,V,Jw,-4.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W045,H,Je,11.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W045,H,Jw,6.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W045,Je,Jw,-5.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W081,P,V,-2.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W081,P,H,-5.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W081,P,Je,-1.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W081,P,Jw,1.0,peak_order_unresolved,synchrony_indeterminate,peak_relation_unresolved
W081,V,H,-3.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W081,V,Je,1.0,peak_order_unresolved,synchrony_indeterminate,peak_relation_unresolved
W081,V,Jw,3.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W081,H,Je,4.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W081,H,Jw,6.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W081,Je,Jw,2.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W113,P,V,1.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W113,P,H,2.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W113,P,Je,-2.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W113,P,Jw,-9.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W113,V,H,1.0,peak_order_unresolved,synchrony_tendency,synchrony_tendency
W113,V,Je,-3.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W113,V,Jw,-10.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W113,H,Je,-4.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W113,H,Jw,-11.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W113,Je,Jw,-7.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W160,P,V,3.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W160,P,H,-3.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W160,P,Je,4.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W160,P,Jw,-6.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W160,V,H,-6.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W160,V,Je,1.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W160,V,Jw,-9.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W160,H,Je,7.0,A_peak_earlier_tendency,synchrony_indeterminate,A_peak_earlier_tendency
W160,H,Jw,-3.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
W160,Je,Jw,-10.0,B_peak_earlier_tendency,synchrony_indeterminate,B_peak_earlier_tendency
