window_id,object_A,object_B,A_window_start,A_window_end,B_window_start,B_window_end,overlap_start,overlap_end,overlap_days,union_days,overlap_fraction,A_peak_inside_B_window,B_peak_inside_A_window,both_peaks_inside_system_window,window_overlap_decision
W045,P,V,35,55,35,55,35,55,21,21,1.0,True,True,True,window_overlap_strong
W045,P,H,35,55,25,45,35,45,11,31,0.3548387096774194,True,True,False,window_overlap_partial
W045,P,Je,35,55,36,56,36,55,20,22,0.9090909090909091,True,True,True,window_overlap_strong
W045,P,Jw,35,55,31,51,35,51,17,25,0.68,True,True,True,window_overlap_strong
W045,V,H,35,55,25,45,35,45,11,31,0.3548387096774194,True,True,False,window_overlap_partial
W045,V,Je,35,55,36,56,36,55,20,22,0.9090909090909091,True,True,True,window_overlap_strong
W045,V,Jw,35,55,31,51,35,51,17,25,0.68,True,True,True,window_overlap_strong
W045,H,Je,25,45,36,56,36,45,10,32,0.3125,False,False,False,window_overlap_partial
W045,H,Jw,25,45,31,51,31,45,15,27,0.5555555555555556,True,True,False,window_overlap_partial
W045,Je,Jw,36,56,31,51,36,51,16,26,0.6153846153846154,True,True,True,window_overlap_strong
W081,P,V,72,92,70,90,72,90,19,23,0.8260869565217391,True,True,True,window_overlap_strong
W081,P,H,72,92,67,87,72,87,16,26,0.6153846153846154,True,True,True,window_overlap_strong
W081,P,Je,72,92,71,91,72,91,20,22,0.9090909090909091,True,True,True,window_overlap_strong
W081,P,Jw,72,92,73,92,73,92,20,21,0.9523809523809523,True,True,True,window_overlap_strong
W081,V,H,70,90,67,87,70,87,18,24,0.75,True,True,True,window_overlap_strong
W081,V,Je,70,90,71,91,71,90,20,22,0.9090909090909091,True,True,True,window_overlap_strong
W081,V,Jw,70,90,73,92,73,90,18,23,0.782608695652174,True,True,True,window_overlap_strong
W081,H,Je,67,87,71,91,71,87,17,25,0.68,True,True,True,window_overlap_strong
W081,H,Jw,67,87,73,92,73,87,15,26,0.5769230769230769,True,True,True,window_overlap_partial
W081,Je,Jw,71,91,73,92,73,91,19,22,0.8636363636363636,True,True,True,window_overlap_strong
W113,P,V,103,123,104,124,104,123,20,22,0.9090909090909091,True,True,True,window_overlap_strong
W113,P,H,103,123,105,125,105,123,19,23,0.8260869565217391,True,True,True,window_overlap_strong
W113,P,Je,103,123,101,121,103,121,19,23,0.8260869565217391,True,True,True,window_overlap_strong
W113,P,Jw,103,123,98,114,103,114,12,26,0.46153846153846156,True,True,False,window_overlap_partial
W113,V,H,104,124,105,125,105,124,20,22,0.9090909090909091,True,True,True,window_overlap_strong
W113,V,Je,104,124,101,121,104,121,18,24,0.75,True,True,True,window_overlap_strong
W113,V,Jw,104,124,98,114,104,114,11,27,0.4074074074074074,True,True,False,window_overlap_partial
W113,H,Je,105,125,101,121,105,121,17,25,0.68,True,True,True,window_overlap_strong
W113,H,Jw,105,125,98,114,105,114,10,28,0.35714285714285715,False,False,False,window_overlap_partial
W113,Je,Jw,101,121,98,114,101,114,14,24,0.5833333333333334,True,True,False,window_overlap_partial
W160,P,V,148,168,151,168,151,168,18,21,0.8571428571428571,True,True,True,window_overlap_strong
W160,P,H,148,168,145,165,148,165,18,24,0.75,True,True,True,window_overlap_strong
W160,P,Je,148,168,152,168,152,168,17,21,0.8095238095238095,True,True,True,window_overlap_strong
W160,P,Jw,148,168,142,162,148,162,15,27,0.5555555555555556,True,True,False,window_overlap_partial
W160,V,H,151,168,145,165,151,165,15,24,0.625,True,True,True,window_overlap_strong
W160,V,Je,151,168,152,168,152,168,17,18,0.9444444444444444,True,True,True,window_overlap_strong
W160,V,Jw,151,168,142,162,151,162,12,27,0.4444444444444444,True,True,False,window_overlap_partial
W160,H,Je,145,165,152,168,152,165,14,24,0.5833333333333334,True,True,True,window_overlap_partial
W160,H,Jw,145,165,142,162,145,162,18,24,0.75,True,True,False,window_overlap_strong
W160,Je,Jw,152,168,142,162,152,162,11,27,0.4074074074074074,True,True,False,window_overlap_partial
