window_id,table,status,n_v9_rows,n_v7_rows,v7_file
W045,main_window_selection,reference_available,5.0,5.0,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\main_window_selection_W045.csv
W045,bootstrap_selected_peak_days,reference_available,5000.0,5000.0,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\bootstrap_selected_peak_days_W045.csv
W045,timing_resolution_audit,reference_available,5.0,5.0,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\timing_resolution_audit_W045.csv
W045,tau_sync_estimate,reference_available,1.0,1.0,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\tau_sync_estimate_W045.csv
W045,pairwise_peak_order_test,reference_available,10.0,10.0,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\pairwise_peak_order_test_W045.csv
W045,pairwise_synchrony_equivalence_test,reference_available,10.0,10.0,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\pairwise_synchrony_equivalence_test_W045.csv
W045,pairwise_window_overlap,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W045\pairwise_window_overlap_W045.csv
W081,main_window_selection,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\main_window_selection_W081.csv
W081,bootstrap_selected_peak_days,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\bootstrap_selected_peak_days_W081.csv
W081,timing_resolution_audit,v7_file_missing,,,D:\easm_project01\stage_partition\V7\outputs\accepted_windows_multi_object_prepost_v7_z_multiwin_a_hotfix06_w45_profile_order\per_window\W081\timing_resolution_audit_W081.csv
