window_id,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,P_peak_day,V_peak_day,H_peak_day,Je_peak_day,Jw_peak_day,sequence_string,sequence_with_days,front_object,last_object
W113,smooth5__baseline_w20_b10__baseline_search__baseline_rule,smooth5,20,10,baseline_search,baseline_rule,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__baseline_search__closest_anchor,smooth5,20,10,baseline_search,closest_anchor,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__baseline_search__max_overlap,smooth5,20,10,baseline_search,max_overlap,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__baseline_search__max_score,smooth5,20,10,baseline_search,max_score,88.0,113.0,88.0,110.0,104.0,H/P -> Jw -> Je -> V,H/P(day88/6月28日) -> Jw(day104/7月14日) -> Je(day110/7月20日) -> V(day113/7月23日),H/P,V
W113,smooth5__baseline_w20_b10__narrow_search__baseline_rule,smooth5,20,10,narrow_search,baseline_rule,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__narrow_search__closest_anchor,smooth5,20,10,narrow_search,closest_anchor,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__narrow_search__max_overlap,smooth5,20,10,narrow_search,max_overlap,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__narrow_search__max_score,smooth5,20,10,narrow_search,max_score,98.0,113.0,113.0,110.0,104.0,P -> Jw -> Je -> H/V,P(day98/7月8日) -> Jw(day104/7月14日) -> Je(day110/7月20日) -> H/V(day113/7月23日),P,H/V
W113,smooth5__baseline_w20_b10__wide_search__baseline_rule,smooth5,20,10,wide_search,baseline_rule,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__wide_search__closest_anchor,smooth5,20,10,wide_search,closest_anchor,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__wide_search__max_overlap,smooth5,20,10,wide_search,max_overlap,113.0,113.0,113.0,110.0,110.0,Je/Jw -> H/P/V,Je/Jw(day110/7月20日) -> H/P/V(day113/7月23日),Je/Jw,H/P/V
W113,smooth5__baseline_w20_b10__wide_search__max_score,smooth5,20,10,wide_search,max_score,88.0,113.0,88.0,110.0,104.0,H/P -> Jw -> Je -> V,H/P(day88/6月28日) -> Jw(day104/7月14日) -> Je(day110/7月20日) -> V(day113/7月23日),H/P,V
