window_id,bootstrap_id,object_A,object_B,peak_A,peak_B,delta_B_minus_A,A_earlier_flag,B_earlier_flag,same_day_flag
W081,0,P,V,84.0,82.0,-2.0,False,True,False
W081,0,P,H,84.0,72.0,-12.0,False,True,False
W081,0,P,Je,84.0,84.0,0.0,False,False,True
W081,0,P,Jw,84.0,83.0,-1.0,False,True,False
W081,0,V,H,82.0,72.0,-10.0,False,True,False
W081,0,V,Je,82.0,84.0,2.0,True,False,False
W081,0,V,Jw,82.0,83.0,1.0,True,False,False
W081,0,H,Je,72.0,84.0,12.0,True,False,False
W081,0,H,Jw,72.0,83.0,11.0,True,False,False
W081,0,Je,Jw,84.0,83.0,-1.0,False,True,False
W081,1,P,V,77.0,76.0,-1.0,False,True,False
W081,1,P,H,77.0,74.0,-3.0,False,True,False
W081,1,P,Je,77.0,81.0,4.0,True,False,False
W081,1,P,Jw,77.0,85.0,8.0,True,False,False
W081,1,V,H,76.0,74.0,-2.0,False,True,False
W081,1,V,Je,76.0,81.0,5.0,True,False,False
W081,1,V,Jw,76.0,85.0,9.0,True,False,False
W081,1,H,Je,74.0,81.0,7.0,True,False,False
W081,1,H,Jw,74.0,85.0,11.0,True,False,False
W081,1,Je,Jw,81.0,85.0,4.0,True,False,False
W081,2,P,V,81.0,73.0,-8.0,False,True,False
W081,2,P,H,81.0,78.0,-3.0,False,True,False
W081,2,P,Je,81.0,81.0,0.0,False,False,True
W081,2,P,Jw,81.0,88.0,7.0,True,False,False
W081,2,V,H,73.0,78.0,5.0,True,False,False
W081,2,V,Je,73.0,81.0,8.0,True,False,False
W081,2,V,Jw,73.0,88.0,15.0,True,False,False
W081,2,H,Je,78.0,81.0,3.0,True,False,False
W081,2,H,Jw,78.0,88.0,10.0,True,False,False
W081,2,Je,Jw,81.0,88.0,7.0,True,False,False
W081,3,P,V,81.0,78.0,-3.0,False,True,False
W081,3,P,H,81.0,78.0,-3.0,False,True,False
W081,3,P,Je,81.0,86.0,5.0,True,False,False
W081,3,P,Jw,81.0,78.0,-3.0,False,True,False
W081,3,V,H,78.0,78.0,0.0,False,False,True
W081,3,V,Je,78.0,86.0,8.0,True,False,False
W081,3,V,Jw,78.0,78.0,0.0,False,False,True
W081,3,H,Je,78.0,86.0,8.0,True,False,False
W081,3,H,Jw,78.0,78.0,0.0,False,False,True
W081,3,Je,Jw,86.0,78.0,-8.0,False,True,False
W081,4,P,V,83.0,76.0,-7.0,False,True,False
W081,4,P,H,83.0,77.0,-6.0,False,True,False
W081,4,P,Je,83.0,78.0,-5.0,False,True,False
W081,4,P,Jw,83.0,83.0,0.0,False,False,True
W081,4,V,H,76.0,77.0,1.0,True,False,False
W081,4,V,Je,76.0,78.0,2.0,True,False,False
W081,4,V,Jw,76.0,83.0,7.0,True,False,False
W081,4,H,Je,77.0,78.0,1.0,True,False,False
W081,4,H,Jw,77.0,83.0,6.0,True,False,False
W081,4,Je,Jw,78.0,83.0,5.0,True,False,False
W081,5,P,V,82.0,84.0,2.0,True,False,False
W081,5,P,H,82.0,77.0,-5.0,False,True,False
W081,5,P,Je,82.0,76.0,-6.0,False,True,False
W081,5,P,Jw,82.0,80.0,-2.0,False,True,False
W081,5,V,H,84.0,77.0,-7.0,False,True,False
W081,5,V,Je,84.0,76.0,-8.0,False,True,False
W081,5,V,Jw,84.0,80.0,-4.0,False,True,False
W081,5,H,Je,77.0,76.0,-1.0,False,True,False
W081,5,H,Jw,77.0,80.0,3.0,True,False,False
W081,5,Je,Jw,76.0,80.0,4.0,True,False,False
W081,6,P,V,78.0,78.0,0.0,False,False,True
W081,6,P,H,78.0,76.0,-2.0,False,True,False
W081,6,P,Je,78.0,77.0,-1.0,False,True,False
W081,6,P,Jw,78.0,76.0,-2.0,False,True,False
W081,6,V,H,78.0,76.0,-2.0,False,True,False
W081,6,V,Je,78.0,77.0,-1.0,False,True,False
W081,6,V,Jw,78.0,76.0,-2.0,False,True,False
W081,6,H,Je,76.0,77.0,1.0,True,False,False
W081,6,H,Jw,76.0,76.0,0.0,False,False,True
W081,6,Je,Jw,77.0,76.0,-1.0,False,True,False
W081,7,P,V,76.0,84.0,8.0,True,False,False
