window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W081,0,P,84.0,,
W081,0,V,82.0,,
W081,0,H,72.0,,
W081,0,Je,84.0,,
W081,0,Jw,83.0,,
W081,1,P,77.0,,
W081,1,V,76.0,,
W081,1,H,74.0,,
W081,1,Je,81.0,,
W081,1,Jw,85.0,,
W081,2,P,81.0,,
W081,2,V,73.0,,
W081,2,H,78.0,,
W081,2,Je,81.0,,
W081,2,Jw,88.0,,
W081,3,P,81.0,,
W081,3,V,78.0,,
W081,3,H,78.0,,
W081,3,Je,86.0,,
W081,3,Jw,78.0,,
W081,4,P,83.0,,
W081,4,V,76.0,,
W081,4,H,77.0,,
W081,4,Je,78.0,,
W081,4,Jw,83.0,,
W081,5,P,82.0,,
W081,5,V,84.0,,
W081,5,H,77.0,,
W081,5,Je,76.0,,
W081,5,Jw,80.0,,
W081,6,P,78.0,,
W081,6,V,78.0,,
W081,6,H,76.0,,
W081,6,Je,77.0,,
W081,6,Jw,76.0,,
W081,7,P,76.0,,
W081,7,V,84.0,,
W081,7,H,76.0,,
W081,7,Je,77.0,,
W081,7,Jw,86.0,,
W081,8,P,65.0,,
W081,8,V,75.0,,
W081,8,H,69.0,,
W081,8,Je,77.0,,
W081,8,Jw,85.0,,
W081,9,P,83.0,,
W081,9,V,83.0,,
W081,9,H,79.0,,
W081,9,Je,89.0,,
W081,9,Jw,81.0,,
W081,10,P,86.0,,
W081,10,V,82.0,,
W081,10,H,77.0,,
W081,10,Je,87.0,,
W081,10,Jw,85.0,,
W081,11,P,86.0,,
W081,11,V,83.0,,
W081,11,H,83.0,,
W081,11,Je,89.0,,
W081,11,Jw,81.0,,
W081,12,P,83.0,,
W081,12,V,73.0,,
W081,12,H,74.0,,
W081,12,Je,82.0,,
W081,12,Jw,74.0,,
W081,13,P,87.0,,
W081,13,V,82.0,,
W081,13,H,75.0,,
W081,13,Je,82.0,,
W081,13,Jw,83.0,,
W081,14,P,78.0,,
W081,14,V,75.0,,
W081,14,H,73.0,,
W081,14,Je,79.0,,
W081,14,Jw,81.0,,
W081,15,P,81.0,,
W081,15,V,80.0,,
W081,15,H,76.0,,
W081,15,Je,74.0,,
W081,15,Jw,75.0,,
W081,16,P,80.0,,
W081,16,V,79.0,,
W081,16,H,78.0,,
W081,16,Je,81.0,,
W081,16,Jw,77.0,,
W081,17,P,80.0,,
W081,17,V,72.0,,
W081,17,H,71.0,,
W081,17,Je,78.0,,
W081,17,Jw,76.0,,
W081,18,P,81.0,,
W081,18,V,74.0,,
W081,18,H,73.0,,
W081,18,Je,76.0,,
W081,18,Jw,73.0,,
W081,19,P,84.0,,
W081,19,V,79.0,,
W081,19,H,78.0,,
W081,19,Je,82.0,,
W081,19,Jw,84.0,,
W081,20,P,81.0,,
W081,20,V,75.0,,
W081,20,H,75.0,,
W081,20,Je,76.0,,
