window_id,target_name,score_group,object,day,profile_coord_index,composite_anomaly_standardized,n_bootstrap
W081,W081_P_vs_V_delta_peak,low,H,49,0,0.013325334292763776,333
W081,W081_P_vs_V_delta_peak,low,H,49,1,0.010568098793831698,333
W081,W081_P_vs_V_delta_peak,low,H,49,2,0.007097902355326101,333
W081,W081_P_vs_V_delta_peak,low,H,49,3,0.0040974444248350495,333
W081,W081_P_vs_V_delta_peak,low,H,49,4,0.00274747433614919,333
W081,W081_P_vs_V_delta_peak,low,H,49,5,0.0032085085553139963,333
W081,W081_P_vs_V_delta_peak,low,H,49,6,0.005511096226869041,333
W081,W081_P_vs_V_delta_peak,low,H,49,7,0.008282227072365323,333
W081,W081_P_vs_V_delta_peak,low,H,49,8,0.01006206574917409,333
W081,W081_P_vs_V_delta_peak,low,H,49,9,0.010560864245965532,333
W081,W081_P_vs_V_delta_peak,low,H,49,10,0.01004063314258062,333
W081,W081_P_vs_V_delta_peak,low,H,50,0,0.012945399029504593,333
W081,W081_P_vs_V_delta_peak,low,H,50,1,0.01025671927208348,333
W081,W081_P_vs_V_delta_peak,low,H,50,2,0.006911714828521996,333
W081,W081_P_vs_V_delta_peak,low,H,50,3,0.004135409759350417,333
W081,W081_P_vs_V_delta_peak,low,H,50,4,0.0030907916194370913,333
W081,W081_P_vs_V_delta_peak,low,H,50,5,0.003923505196024264,333
W081,W081_P_vs_V_delta_peak,low,H,50,6,0.006517785184901362,333
W081,W081_P_vs_V_delta_peak,low,H,50,7,0.009403113410574008,333
W081,W081_P_vs_V_delta_peak,low,H,50,8,0.011258917183710339,333
W081,W081_P_vs_V_delta_peak,low,H,50,9,0.011736396320541912,333
W081,W081_P_vs_V_delta_peak,low,H,50,10,0.010829672214426813,333
W081,W081_P_vs_V_delta_peak,low,H,51,0,0.012118974994848966,333
W081,W081_P_vs_V_delta_peak,low,H,51,1,0.00954673002080562,333
W081,W081_P_vs_V_delta_peak,low,H,51,2,0.0065726909111996305,333
W081,W081_P_vs_V_delta_peak,low,H,51,3,0.004214182156686345,333
W081,W081_P_vs_V_delta_peak,low,H,51,4,0.003477686384954668,333
W081,W081_P_vs_V_delta_peak,low,H,51,5,0.004744627700118734,333
W081,W081_P_vs_V_delta_peak,low,H,51,6,0.0076306781660833095,333
W081,W081_P_vs_V_delta_peak,low,H,51,7,0.010460697629665498,333
W081,W081_P_vs_V_delta_peak,low,H,51,8,0.012145716079424282,333
W081,W081_P_vs_V_delta_peak,low,H,51,9,0.012221085380095144,333
W081,W081_P_vs_V_delta_peak,low,H,51,10,0.010899636009657054,333
W081,W081_P_vs_V_delta_peak,low,H,52,0,0.010993020726224599,333
W081,W081_P_vs_V_delta_peak,low,H,52,1,0.008241885422172864,333
W081,W081_P_vs_V_delta_peak,low,H,52,2,0.006033626535737447,333
W081,W081_P_vs_V_delta_peak,low,H,52,3,0.00440205069828413,333
W081,W081_P_vs_V_delta_peak,low,H,52,4,0.004332434487598899,333
W081,W081_P_vs_V_delta_peak,low,H,52,5,0.006173437424482774,333
W081,W081_P_vs_V_delta_peak,low,H,52,6,0.009408124878356183,333
W081,W081_P_vs_V_delta_peak,low,H,52,7,0.012182340432729996,333
W081,W081_P_vs_V_delta_peak,low,H,52,8,0.013461223440362349,333
W081,W081_P_vs_V_delta_peak,low,H,52,9,0.013238791469014001,333
W081,W081_P_vs_V_delta_peak,low,H,52,10,0.01178979812594543,333
W081,W081_P_vs_V_delta_peak,low,H,53,0,0.010213745669208464,333
W081,W081_P_vs_V_delta_peak,low,H,53,1,0.007446874032434165,333
W081,W081_P_vs_V_delta_peak,low,H,53,2,0.005761781484770343,333
W081,W081_P_vs_V_delta_peak,low,H,53,3,0.005255548323146734,333
W081,W081_P_vs_V_delta_peak,low,H,53,4,0.006184784178207665,333
W081,W081_P_vs_V_delta_peak,low,H,53,5,0.008611712617707596,333
W081,W081_P_vs_V_delta_peak,low,H,53,6,0.01184114158918876,333
W081,W081_P_vs_V_delta_peak,low,H,53,7,0.014550236227968484,333
W081,W081_P_vs_V_delta_peak,low,H,53,8,0.015633023168801025,333
W081,W081_P_vs_V_delta_peak,low,H,53,9,0.01508907827967559,333
W081,W081_P_vs_V_delta_peak,low,H,53,10,0.01348073660733126,333
W081,W081_P_vs_V_delta_peak,low,H,54,0,0.00959821166029177,333
W081,W081_P_vs_V_delta_peak,low,H,54,1,0.007005148456627689,333
W081,W081_P_vs_V_delta_peak,low,H,54,2,0.0055969914423318196,333
W081,W081_P_vs_V_delta_peak,low,H,54,3,0.005821628369732054,333
W081,W081_P_vs_V_delta_peak,low,H,54,4,0.0077707269293010505,333
W081,W081_P_vs_V_delta_peak,low,H,54,5,0.01065910108535627,333
W081,W081_P_vs_V_delta_peak,low,H,54,6,0.01379834658029493,333
W081,W081_P_vs_V_delta_peak,low,H,54,7,0.016130986621985366,333
W081,W081_P_vs_V_delta_peak,low,H,54,8,0.01698379963302843,333
W081,W081_P_vs_V_delta_peak,low,H,54,9,0.016451315859346838,333
W081,W081_P_vs_V_delta_peak,low,H,54,10,0.015011063255537188,333
W081,W081_P_vs_V_delta_peak,low,H,55,0,0.008788207319626032,333
W081,W081_P_vs_V_delta_peak,low,H,55,1,0.006397113955939065,333
W081,W081_P_vs_V_delta_peak,low,H,55,2,0.005208810247339072,333
W081,W081_P_vs_V_delta_peak,low,H,55,3,0.0058353356391877,333
W081,W081_P_vs_V_delta_peak,low,H,55,4,0.008523788341770122,333
W081,W081_P_vs_V_delta_peak,low,H,55,5,0.011681103086269413,333
W081,W081_P_vs_V_delta_peak,low,H,55,6,0.014547599849083897,333
W081,W081_P_vs_V_delta_peak,low,H,55,7,0.016454250337192125,333
W081,W081_P_vs_V_delta_peak,low,H,55,8,0.017146485705751818,333
W081,W081_P_vs_V_delta_peak,low,H,55,9,0.016739758411095096,333
W081,W081_P_vs_V_delta_peak,low,H,55,10,0.01576670117576483,333
W081,W081_P_vs_V_delta_peak,low,H,56,0,0.007542318978955733,333
W081,W081_P_vs_V_delta_peak,low,H,56,1,0.005430654983416722,333
W081,W081_P_vs_V_delta_peak,low,H,56,2,0.004590966474490108,333
W081,W081_P_vs_V_delta_peak,low,H,56,3,0.005394988740315558,333
W081,W081_P_vs_V_delta_peak,low,H,56,4,0.008310528391005672,333
W081,W081_P_vs_V_delta_peak,low,H,56,5,0.0117812723293948,333
W081,W081_P_vs_V_delta_peak,low,H,56,6,0.014643341072355565,333
W081,W081_P_vs_V_delta_peak,low,H,56,7,0.01638654275004389,333
W081,W081_P_vs_V_delta_peak,low,H,56,8,0.01705138270590716,333
W081,W081_P_vs_V_delta_peak,low,H,56,9,0.016906319506586536,333
W081,W081_P_vs_V_delta_peak,low,H,56,10,0.016530404348469776,333
W081,W081_P_vs_V_delta_peak,low,H,57,0,0.006185138631592146,333
W081,W081_P_vs_V_delta_peak,low,H,57,1,0.004258873875896694,333
W081,W081_P_vs_V_delta_peak,low,H,57,2,0.003838486467389751,333
W081,W081_P_vs_V_delta_peak,low,H,57,3,0.0050314593370436485,333
W081,W081_P_vs_V_delta_peak,low,H,57,4,0.008197642330264073,333
W081,W081_P_vs_V_delta_peak,low,H,57,5,0.011708688758342125,333
W081,W081_P_vs_V_delta_peak,low,H,57,6,0.014572927021604334,333
W081,W081_P_vs_V_delta_peak,low,H,57,7,0.01630005836118715,333
W081,W081_P_vs_V_delta_peak,low,H,57,8,0.017045232812512794,333
W081,W081_P_vs_V_delta_peak,low,H,57,9,0.01729330183366868,333
W081,W081_P_vs_V_delta_peak,low,H,57,10,0.017421954960148364,333
W081,W081_P_vs_V_delta_peak,low,H,58,0,0.004765698740404483,333
W081,W081_P_vs_V_delta_peak,low,H,58,1,0.0028157532216359984,333
W081,W081_P_vs_V_delta_peak,low,H,58,2,0.0027305984759497985,333
W081,W081_P_vs_V_delta_peak,low,H,58,3,0.004342610856291616,333
W081,W081_P_vs_V_delta_peak,low,H,58,4,0.007714249793313008,333
W081,W081_P_vs_V_delta_peak,low,H,58,5,0.011353756272948668,333
W081,W081_P_vs_V_delta_peak,low,H,58,6,0.014239407993678265,333
W081,W081_P_vs_V_delta_peak,low,H,58,7,0.01595535230287625,333
W081,W081_P_vs_V_delta_peak,low,H,58,8,0.016808516008191127,333
W081,W081_P_vs_V_delta_peak,low,H,58,9,0.017368267237844324,333
W081,W081_P_vs_V_delta_peak,low,H,58,10,0.018030739101393575,333
