window_id,bootstrap_id,year_index,year,count_in_bootstrap,present_flag
W081,0,0,1979,2,True
W081,0,1,1980,1,True
W081,0,2,1981,1,True
W081,0,3,1982,0,False
W081,0,4,1983,0,False
W081,0,5,1984,0,False
W081,0,6,1985,1,True
W081,0,7,1986,2,True
W081,0,8,1987,1,True
W081,0,9,1988,3,True
W081,0,10,1989,3,True
W081,0,11,1990,3,True
W081,0,12,1991,2,True
W081,0,13,1992,0,False
W081,0,14,1993,0,False
W081,0,15,1994,2,True
W081,0,16,1995,0,False
W081,0,17,1996,0,False
W081,0,18,1997,1,True
W081,0,19,1998,1,True
W081,0,20,1999,2,True
W081,0,21,2000,0,False
W081,0,22,2001,0,False
W081,0,23,2002,2,True
W081,0,24,2003,0,False
W081,0,25,2004,0,False
W081,0,26,2005,1,True
W081,0,27,2006,0,False
W081,0,28,2007,1,True
W081,0,29,2008,0,False
W081,0,30,2009,1,True
W081,0,31,2010,0,False
W081,0,32,2011,0,False
W081,0,33,2012,2,True
W081,0,34,2013,0,False
W081,0,35,2014,4,True
W081,0,36,2015,2,True
W081,0,37,2016,2,True
W081,0,38,2017,1,True
W081,0,39,2018,0,False
W081,0,40,2019,2,True
W081,0,41,2020,2,True
W081,0,42,2021,0,False
W081,0,43,2022,0,False
W081,0,44,2023,0,False
W081,1,0,1979,2,True
W081,1,1,1980,0,False
W081,1,2,1981,0,False
W081,1,3,1982,2,True
W081,1,4,1983,0,False
W081,1,5,1984,0,False
W081,1,6,1985,1,True
W081,1,7,1986,2,True
W081,1,8,1987,2,True
W081,1,9,1988,2,True
W081,1,10,1989,1,True
W081,1,11,1990,1,True
W081,1,12,1991,1,True
W081,1,13,1992,1,True
W081,1,14,1993,0,False
W081,1,15,1994,0,False
W081,1,16,1995,2,True
W081,1,17,1996,0,False
W081,1,18,1997,2,True
W081,1,19,1998,0,False
W081,1,20,1999,2,True
W081,1,21,2000,1,True
W081,1,22,2001,1,True
W081,1,23,2002,4,True
W081,1,24,2003,1,True
W081,1,25,2004,0,False
W081,1,26,2005,2,True
W081,1,27,2006,1,True
W081,1,28,2007,2,True
W081,1,29,2008,0,False
W081,1,30,2009,0,False
W081,1,31,2010,0,False
W081,1,32,2011,2,True
W081,1,33,2012,0,False
W081,1,34,2013,1,True
W081,1,35,2014,1,True
W081,1,36,2015,0,False
W081,1,37,2016,0,False
W081,1,38,2017,3,True
W081,1,39,2018,0,False
W081,1,40,2019,0,False
W081,1,41,2020,4,True
W081,1,42,2021,1,True
W081,1,43,2022,0,False
W081,1,44,2023,0,False
W081,2,0,1979,2,True
W081,2,1,1980,2,True
W081,2,2,1981,0,False
W081,2,3,1982,2,True
W081,2,4,1983,0,False
W081,2,5,1984,1,True
W081,2,6,1985,0,False
W081,2,7,1986,0,False
W081,2,8,1987,0,False
W081,2,9,1988,0,False
W081,2,10,1989,0,False
W081,2,11,1990,3,True
W081,2,12,1991,1,True
W081,2,13,1992,0,False
W081,2,14,1993,1,True
W081,2,15,1994,1,True
W081,2,16,1995,1,True
W081,2,17,1996,4,True
W081,2,18,1997,1,True
W081,2,19,1998,6,True
W081,2,20,1999,0,False
W081,2,21,2000,2,True
W081,2,22,2001,3,True
W081,2,23,2002,1,True
W081,2,24,2003,0,False
W081,2,25,2004,2,True
W081,2,26,2005,2,True
W081,2,27,2006,1,True
W081,2,28,2007,0,False
W081,2,29,2008,0,False
W081,2,30,2009,2,True
W081,2,31,2010,0,False
W081,2,32,2011,1,True
W081,2,33,2012,0,False
W081,2,34,2013,1,True
W081,2,35,2014,0,False
W081,2,36,2015,1,True
W081,2,37,2016,3,True
W081,2,38,2017,0,False
W081,2,39,2018,0,False
W081,2,40,2019,0,False
W081,2,41,2020,0,False
W081,2,42,2021,1,True
W081,2,43,2022,0,False
W081,2,44,2023,0,False
W081,3,0,1979,2,True
W081,3,1,1980,0,False
W081,3,2,1981,0,False
W081,3,3,1982,2,True
W081,3,4,1983,1,True
W081,3,5,1984,1,True
W081,3,6,1985,0,False
W081,3,7,1986,1,True
W081,3,8,1987,1,True
W081,3,9,1988,1,True
W081,3,10,1989,0,False
W081,3,11,1990,1,True
W081,3,12,1991,0,False
W081,3,13,1992,3,True
W081,3,14,1993,2,True
W081,3,15,1994,1,True
W081,3,16,1995,0,False
W081,3,17,1996,1,True
W081,3,18,1997,2,True
W081,3,19,1998,2,True
W081,3,20,1999,0,False
W081,3,21,2000,3,True
W081,3,22,2001,2,True
W081,3,23,2002,2,True
W081,3,24,2003,1,True
W081,3,25,2004,0,False
W081,3,26,2005,1,True
W081,3,27,2006,1,True
W081,3,28,2007,1,True
W081,3,29,2008,0,False
W081,3,30,2009,0,False
W081,3,31,2010,0,False
W081,3,32,2011,0,False
W081,3,33,2012,1,True
W081,3,34,2013,1,True
W081,3,35,2014,0,False
W081,3,36,2015,2,True
W081,3,37,2016,1,True
W081,3,38,2017,1,True
W081,3,39,2018,1,True
W081,3,40,2019,1,True
W081,3,41,2020,1,True
W081,3,42,2021,2,True
W081,3,43,2022,2,True
W081,3,44,2023,0,False
W081,4,0,1979,0,False
W081,4,1,1980,2,True
W081,4,2,1981,1,True
W081,4,3,1982,1,True
W081,4,4,1983,0,False
W081,4,5,1984,0,False
W081,4,6,1985,3,True
W081,4,7,1986,1,True
W081,4,8,1987,1,True
W081,4,9,1988,0,False
W081,4,10,1989,1,True
W081,4,11,1990,3,True
W081,4,12,1991,1,True
W081,4,13,1992,2,True
W081,4,14,1993,0,False
W081,4,15,1994,1,True
W081,4,16,1995,2,True
W081,4,17,1996,0,False
W081,4,18,1997,0,False
W081,4,19,1998,2,True
W081,4,20,1999,1,True
W081,4,21,2000,1,True
W081,4,22,2001,0,False
W081,4,23,2002,1,True
W081,4,24,2003,0,False
W081,4,25,2004,3,True
W081,4,26,2005,1,True
W081,4,27,2006,0,False
W081,4,28,2007,1,True
W081,4,29,2008,1,True
W081,4,30,2009,1,True
W081,4,31,2010,1,True
W081,4,32,2011,0,False
W081,4,33,2012,2,True
W081,4,34,2013,1,True
W081,4,35,2014,1,True
W081,4,36,2015,3,True
W081,4,37,2016,0,False
W081,4,38,2017,1,True
W081,4,39,2018,3,True
W081,4,40,2019,0,False
W081,4,41,2020,1,True
W081,4,42,2021,1,True
W081,4,43,2022,0,False
W081,4,44,2023,0,False
W081,5,0,1979,0,False
W081,5,1,1980,1,True
W081,5,2,1981,0,False
W081,5,3,1982,0,False
W081,5,4,1983,0,False
W081,5,5,1984,2,True
W081,5,6,1985,2,True
W081,5,7,1986,0,False
W081,5,8,1987,2,True
W081,5,9,1988,1,True
W081,5,10,1989,4,True
W081,5,11,1990,2,True
W081,5,12,1991,1,True
W081,5,13,1992,1,True
W081,5,14,1993,1,True
W081,5,15,1994,0,False
W081,5,16,1995,1,True
W081,5,17,1996,0,False
W081,5,18,1997,2,True
W081,5,19,1998,0,False
W081,5,20,1999,5,True
W081,5,21,2000,0,False
W081,5,22,2001,1,True
W081,5,23,2002,3,True
W081,5,24,2003,2,True
W081,5,25,2004,0,False
W081,5,26,2005,0,False
W081,5,27,2006,3,True
W081,5,28,2007,1,True
W081,5,29,2008,2,True
W081,5,30,2009,2,True
W081,5,31,2010,1,True
W081,5,32,2011,1,True
W081,5,33,2012,1,True
W081,5,34,2013,0,False
W081,5,35,2014,0,False
W081,5,36,2015,0,False
W081,5,37,2016,0,False
W081,5,38,2017,0,False
W081,5,39,2018,1,True
W081,5,40,2019,0,False
W081,5,41,2020,0,False
W081,5,42,2021,1,True
W081,5,43,2022,1,True
W081,5,44,2023,0,False
W081,6,0,1979,3,True
W081,6,1,1980,2,True
W081,6,2,1981,2,True
W081,6,3,1982,1,True
W081,6,4,1983,0,False
W081,6,5,1984,0,False
W081,6,6,1985,2,True
W081,6,7,1986,0,False
W081,6,8,1987,3,True
W081,6,9,1988,1,True
W081,6,10,1989,0,False
W081,6,11,1990,3,True
W081,6,12,1991,1,True
W081,6,13,1992,0,False
W081,6,14,1993,2,True
W081,6,15,1994,2,True
W081,6,16,1995,1,True
W081,6,17,1996,1,True
W081,6,18,1997,0,False
W081,6,19,1998,0,False
W081,6,20,1999,2,True
W081,6,21,2000,2,True
W081,6,22,2001,0,False
W081,6,23,2002,1,True
W081,6,24,2003,0,False
W081,6,25,2004,0,False
W081,6,26,2005,0,False
W081,6,27,2006,0,False
W081,6,28,2007,1,True
W081,6,29,2008,2,True
W081,6,30,2009,1,True
W081,6,31,2010,0,False
W081,6,32,2011,1,True
W081,6,33,2012,1,True
W081,6,34,2013,0,False
W081,6,35,2014,1,True
W081,6,36,2015,0,False
W081,6,37,2016,0,False
W081,6,38,2017,2,True
W081,6,39,2018,1,True
W081,6,40,2019,2,True
W081,6,41,2020,2,True
W081,6,42,2021,1,True
W081,6,43,2022,0,False
W081,6,44,2023,1,True
W081,7,0,1979,1,True
W081,7,1,1980,1,True
W081,7,2,1981,0,False
W081,7,3,1982,2,True
W081,7,4,1983,0,False
W081,7,5,1984,3,True
W081,7,6,1985,2,True
W081,7,7,1986,1,True
W081,7,8,1987,0,False
W081,7,9,1988,1,True
W081,7,10,1989,1,True
W081,7,11,1990,0,False
W081,7,12,1991,1,True
W081,7,13,1992,1,True
W081,7,14,1993,0,False
W081,7,15,1994,0,False
W081,7,16,1995,0,False
W081,7,17,1996,1,True
W081,7,18,1997,2,True
W081,7,19,1998,0,False
W081,7,20,1999,2,True
W081,7,21,2000,0,False
W081,7,22,2001,0,False
W081,7,23,2002,0,False
W081,7,24,2003,0,False
W081,7,25,2004,0,False
W081,7,26,2005,1,True
W081,7,27,2006,2,True
W081,7,28,2007,1,True
W081,7,29,2008,1,True
W081,7,30,2009,1,True
W081,7,31,2010,2,True
W081,7,32,2011,3,True
W081,7,33,2012,1,True
W081,7,34,2013,3,True
W081,7,35,2014,2,True
W081,7,36,2015,2,True
W081,7,37,2016,0,False
W081,7,38,2017,0,False
W081,7,39,2018,1,True
W081,7,40,2019,1,True
W081,7,41,2020,1,True
W081,7,42,2021,2,True
W081,7,43,2022,2,True
W081,7,44,2023,0,False
W081,8,0,1979,0,False
W081,8,1,1980,1,True
W081,8,2,1981,1,True
W081,8,3,1982,3,True
W081,8,4,1983,0,False
W081,8,5,1984,1,True
W081,8,6,1985,1,True
W081,8,7,1986,0,False
W081,8,8,1987,0,False
W081,8,9,1988,4,True
W081,8,10,1989,1,True
W081,8,11,1990,2,True
W081,8,12,1991,1,True
W081,8,13,1992,0,False
W081,8,14,1993,1,True
W081,8,15,1994,0,False
W081,8,16,1995,1,True
W081,8,17,1996,1,True
W081,8,18,1997,1,True
W081,8,19,1998,1,True
W081,8,20,1999,2,True
W081,8,21,2000,1,True
W081,8,22,2001,0,False
W081,8,23,2002,1,True
W081,8,24,2003,2,True
W081,8,25,2004,0,False
W081,8,26,2005,0,False
W081,8,27,2006,0,False
W081,8,28,2007,0,False
W081,8,29,2008,0,False
W081,8,30,2009,2,True
W081,8,31,2010,1,True
W081,8,32,2011,0,False
W081,8,33,2012,0,False
W081,8,34,2013,4,True
W081,8,35,2014,3,True
W081,8,36,2015,1,True
W081,8,37,2016,0,False
W081,8,38,2017,3,True
W081,8,39,2018,0,False
W081,8,40,2019,1,True
W081,8,41,2020,1,True
W081,8,42,2021,0,False
W081,8,43,2022,1,True
W081,8,44,2023,2,True
W081,9,0,1979,1,True
W081,9,1,1980,2,True
W081,9,2,1981,0,False
W081,9,3,1982,1,True
W081,9,4,1983,1,True
W081,9,5,1984,0,False
W081,9,6,1985,1,True
W081,9,7,1986,1,True
W081,9,8,1987,0,False
W081,9,9,1988,0,False
W081,9,10,1989,1,True
W081,9,11,1990,0,False
W081,9,12,1991,2,True
W081,9,13,1992,2,True
W081,9,14,1993,2,True
W081,9,15,1994,1,True
W081,9,16,1995,2,True
W081,9,17,1996,0,False
W081,9,18,1997,3,True
W081,9,19,1998,1,True
W081,9,20,1999,4,True
W081,9,21,2000,0,False
W081,9,22,2001,1,True
W081,9,23,2002,1,True
W081,9,24,2003,0,False
W081,9,25,2004,0,False
W081,9,26,2005,0,False
W081,9,27,2006,1,True
W081,9,28,2007,0,False
W081,9,29,2008,0,False
W081,9,30,2009,2,True
W081,9,31,2010,3,True
W081,9,32,2011,1,True
W081,9,33,2012,2,True
W081,9,34,2013,1,True
W081,9,35,2014,0,False
W081,9,36,2015,1,True
W081,9,37,2016,2,True
W081,9,38,2017,1,True
W081,9,39,2018,0,False
W081,9,40,2019,0,False
W081,9,41,2020,1,True
W081,9,42,2021,1,True
W081,9,43,2022,0,False
W081,9,44,2023,2,True
W081,10,0,1979,1,True
W081,10,1,1980,1,True
W081,10,2,1981,1,True
W081,10,3,1982,2,True
W081,10,4,1983,2,True
W081,10,5,1984,1,True
W081,10,6,1985,1,True
W081,10,7,1986,2,True
W081,10,8,1987,0,False
W081,10,9,1988,5,True
W081,10,10,1989,0,False
W081,10,11,1990,0,False
W081,10,12,1991,1,True
W081,10,13,1992,0,False
W081,10,14,1993,0,False
W081,10,15,1994,1,True
W081,10,16,1995,1,True
W081,10,17,1996,0,False
W081,10,18,1997,1,True
W081,10,19,1998,1,True
W081,10,20,1999,0,False
W081,10,21,2000,1,True
W081,10,22,2001,1,True
W081,10,23,2002,0,False
W081,10,24,2003,1,True
W081,10,25,2004,1,True
W081,10,26,2005,3,True
W081,10,27,2006,0,False
W081,10,28,2007,2,True
W081,10,29,2008,0,False
W081,10,30,2009,0,False
W081,10,31,2010,2,True
W081,10,32,2011,1,True
W081,10,33,2012,2,True
W081,10,34,2013,2,True
W081,10,35,2014,0,False
W081,10,36,2015,2,True
W081,10,37,2016,0,False
W081,10,38,2017,1,True
W081,10,39,2018,0,False
W081,10,40,2019,1,True
W081,10,41,2020,1,True
W081,10,42,2021,1,True
W081,10,43,2022,1,True
W081,10,44,2023,1,True
W081,11,0,1979,0,False
W081,11,1,1980,1,True
W081,11,2,1981,1,True
W081,11,3,1982,0,False
W081,11,4,1983,2,True
W081,11,5,1984,0,False
W081,11,6,1985,1,True
W081,11,7,1986,1,True
W081,11,8,1987,2,True
W081,11,9,1988,2,True
W081,11,10,1989,2,True
W081,11,11,1990,0,False
W081,11,12,1991,3,True
W081,11,13,1992,0,False
W081,11,14,1993,0,False
W081,11,15,1994,3,True
W081,11,16,1995,1,True
W081,11,17,1996,1,True
W081,11,18,1997,0,False
W081,11,19,1998,0,False
W081,11,20,1999,2,True
W081,11,21,2000,0,False
W081,11,22,2001,2,True
W081,11,23,2002,0,False
W081,11,24,2003,4,True
W081,11,25,2004,1,True
W081,11,26,2005,0,False
W081,11,27,2006,0,False
W081,11,28,2007,0,False
W081,11,29,2008,0,False
W081,11,30,2009,3,True
W081,11,31,2010,2,True
W081,11,32,2011,0,False
