window_id,target_name,object,block_energy,block_contribution_fraction,dominant_object_warning
W081,W081_P_vs_V_delta_peak,H,0.14650073016211554,0.14650073016211557,False
W081,W081_P_vs_V_delta_peak,Je,0.1588614494241149,0.15886144942411493,False
W081,W081_P_vs_V_delta_peak,Jw,0.1451491575968361,0.14514915759683614,False
W081,W081_P_vs_V_delta_peak,P,0.21860448072190242,0.21860448072190244,False
W081,W081_P_vs_V_delta_peak,V,0.3308841820950308,0.33088418209503084,False
W081,W081_V_vs_Jw_delta_peak,H,0.15649446371653633,0.15649446371653633,False
W081,W081_V_vs_Jw_delta_peak,Je,0.10984629864266299,0.10984629864266299,False
W081,W081_V_vs_Jw_delta_peak,Jw,0.3085867967181391,0.3085867967181391,False
W081,W081_V_vs_Jw_delta_peak,P,0.18223603020212314,0.18223603020212314,False
W081,W081_V_vs_Jw_delta_peak,V,0.24283641072053852,0.24283641072053852,False
W081,W081_H_vs_Jw_delta_peak,H,0.11048842297792982,0.11048842297792985,False
W081,W081_H_vs_Jw_delta_peak,Je,0.14195660020733478,0.1419566002073348,False
W081,W081_H_vs_Jw_delta_peak,Jw,0.43141479069528044,0.43141479069528055,False
W081,W081_H_vs_Jw_delta_peak,P,0.19614585558320116,0.19614585558320122,False
W081,W081_H_vs_Jw_delta_peak,V,0.1199943305362536,0.11999433053625362,False
