window_id,target_name,contrast,object,day,profile_coord_index,difference_value_standardized
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,0,0.019618169942434618
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,1,0.020456614238248634
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,2,0.021915043125117606
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,3,0.023084325421836485
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,4,0.024303317732072886
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,5,0.02575287982794245
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,6,0.027045475021988147
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,7,0.028401283890157787
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,8,0.02976655481932553
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,9,0.029947971085908222
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,4,10,0.027697851610827932
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,0,0.023550995429436047
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,1,0.024719832629882893
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,2,0.02665951950923158
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,3,0.028331839188015143
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,4,0.029816760544396657
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,5,0.031388982168601226
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,6,0.03284348153012383
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,7,0.03450314331916017
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,8,0.03591394831114676
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,9,0.035395541231717946
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,5,10,0.03223794485049603
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,0,0.02855863953857301
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,1,0.030143573363636038
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,2,0.032436637375479825
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,3,0.03436566527688877
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,4,0.036113537621109075
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,5,0.037833314381460585
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,6,0.03891777177320252
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,7,0.039805958663768376
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,8,0.04048067294211527
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,9,0.03896006412216006
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,6,10,0.034824094929645506
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,0,0.03305360296751149
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,1,0.03551574889253687
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,2,0.03829870425834356
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,3,0.040526130814580175
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,4,0.04221143133545542
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,5,0.043229160522013615
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,6,0.043251501936271926
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,7,0.04314152084095916
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,8,0.04283163266591438
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,9,0.040191092595599234
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,7,10,0.034863357076983924
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,0,0.03567246913802258
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,1,0.03883336278863428
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,2,0.042221901872612044
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,3,0.044784504733430375
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,4,0.04620652648538344
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,5,0.04661197312073444
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,6,0.0458442154357853
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,7,0.045047871802792
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,8,0.0441146013405357
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,9,0.04089066107439842
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,8,10,0.03484127387038048
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,0,0.03676683409627147
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,1,0.040320226449956295
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,2,0.043920641870368454
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,3,0.046490210798626724
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,4,0.04753924472853001
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,5,0.04729937580539646
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,6,0.04615949722457599
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,7,0.04509622810472029
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,8,0.0437601595693652
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,9,0.040160486511745405
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,9,10,0.033933386183883266
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,0,0.03757098252335505
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,1,0.04144015954608107
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,2,0.04490734605521191
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,3,0.046966342592299065
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,4,0.04731774250096897
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,5,0.046475635150252034
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,6,0.045186826377530076
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,7,0.04439867391626713
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,8,0.04343517222390823
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,9,0.040339174219097225
W045,W045_Je_vs_Jw_delta_peak,high_minus_low,H,10,10,0.035125323996739274
