window_id,bootstrap_id,object_A,object_B,peak_A,peak_B,delta_B_minus_A,A_earlier_flag,B_earlier_flag,same_day_flag
W045,0,P,V,43.0,43.0,0.0,False,False,True
W045,0,P,H,43.0,32.0,-11.0,False,True,False
W045,0,P,Je,43.0,46.0,3.0,True,False,False
W045,0,P,Jw,43.0,40.0,-3.0,False,True,False
W045,0,V,H,43.0,32.0,-11.0,False,True,False
W045,0,V,Je,43.0,46.0,3.0,True,False,False
W045,0,V,Jw,43.0,40.0,-3.0,False,True,False
W045,0,H,Je,32.0,46.0,14.0,True,False,False
W045,0,H,Jw,32.0,40.0,8.0,True,False,False
W045,0,Je,Jw,46.0,40.0,-6.0,False,True,False
W045,1,P,V,46.0,49.0,3.0,True,False,False
W045,1,P,H,46.0,46.0,0.0,False,False,True
W045,1,P,Je,46.0,46.0,0.0,False,False,True
W045,1,P,Jw,46.0,51.0,5.0,True,False,False
W045,1,V,H,49.0,46.0,-3.0,False,True,False
W045,1,V,Je,49.0,46.0,-3.0,False,True,False
W045,1,V,Jw,49.0,51.0,2.0,True,False,False
W045,1,H,Je,46.0,46.0,0.0,False,False,True
W045,1,H,Jw,46.0,51.0,5.0,True,False,False
W045,1,Je,Jw,46.0,51.0,5.0,True,False,False
W045,2,P,V,45.0,44.0,-1.0,False,True,False
W045,2,P,H,45.0,47.0,2.0,True,False,False
W045,2,P,Je,45.0,46.0,1.0,True,False,False
W045,2,P,Jw,45.0,39.0,-6.0,False,True,False
W045,2,V,H,44.0,47.0,3.0,True,False,False
W045,2,V,Je,44.0,46.0,2.0,True,False,False
W045,2,V,Jw,44.0,39.0,-5.0,False,True,False
W045,2,H,Je,47.0,46.0,-1.0,False,True,False
W045,2,H,Jw,47.0,39.0,-8.0,False,True,False
W045,2,Je,Jw,46.0,39.0,-7.0,False,True,False
W045,3,P,V,46.0,45.0,-1.0,False,True,False
W045,3,P,H,46.0,45.0,-1.0,False,True,False
W045,3,P,Je,46.0,44.0,-2.0,False,True,False
W045,3,P,Jw,46.0,39.0,-7.0,False,True,False
W045,3,V,H,45.0,45.0,0.0,False,False,True
W045,3,V,Je,45.0,44.0,-1.0,False,True,False
W045,3,V,Jw,45.0,39.0,-6.0,False,True,False
W045,3,H,Je,45.0,44.0,-1.0,False,True,False
W045,3,H,Jw,45.0,39.0,-6.0,False,True,False
W045,3,Je,Jw,44.0,39.0,-5.0,False,True,False
W045,4,P,V,45.0,44.0,-1.0,False,True,False
W045,4,P,H,45.0,37.0,-8.0,False,True,False
W045,4,P,Je,45.0,49.0,4.0,True,False,False
W045,4,P,Jw,45.0,41.0,-4.0,False,True,False
W045,4,V,H,44.0,37.0,-7.0,False,True,False
W045,4,V,Je,44.0,49.0,5.0,True,False,False
W045,4,V,Jw,44.0,41.0,-3.0,False,True,False
W045,4,H,Je,37.0,49.0,12.0,True,False,False
W045,4,H,Jw,37.0,41.0,4.0,True,False,False
W045,4,Je,Jw,49.0,41.0,-8.0,False,True,False
W045,5,P,V,35.0,40.0,5.0,True,False,False
W045,5,P,H,35.0,52.0,17.0,True,False,False
W045,5,P,Je,35.0,43.0,8.0,True,False,False
W045,5,P,Jw,35.0,48.0,13.0,True,False,False
W045,5,V,H,40.0,52.0,12.0,True,False,False
W045,5,V,Je,40.0,43.0,3.0,True,False,False
W045,5,V,Jw,40.0,48.0,8.0,True,False,False
W045,5,H,Je,52.0,43.0,-9.0,False,True,False
W045,5,H,Jw,52.0,48.0,-4.0,False,True,False
W045,5,Je,Jw,43.0,48.0,5.0,True,False,False
W045,6,P,V,41.0,44.0,3.0,True,False,False
W045,6,P,H,41.0,35.0,-6.0,False,True,False
W045,6,P,Je,41.0,48.0,7.0,True,False,False
W045,6,P,Jw,41.0,40.0,-1.0,False,True,False
W045,6,V,H,44.0,35.0,-9.0,False,True,False
W045,6,V,Je,44.0,48.0,4.0,True,False,False
W045,6,V,Jw,44.0,40.0,-4.0,False,True,False
W045,6,H,Je,35.0,48.0,13.0,True,False,False
W045,6,H,Jw,35.0,40.0,5.0,True,False,False
W045,6,Je,Jw,48.0,40.0,-8.0,False,True,False
W045,7,P,V,44.0,43.0,-1.0,False,True,False
W045,7,P,H,44.0,32.0,-12.0,False,True,False
W045,7,P,Je,44.0,46.0,2.0,True,False,False
W045,7,P,Jw,44.0,40.0,-4.0,False,True,False
W045,7,V,H,43.0,32.0,-11.0,False,True,False
W045,7,V,Je,43.0,46.0,3.0,True,False,False
W045,7,V,Jw,43.0,40.0,-3.0,False,True,False
W045,7,H,Je,32.0,46.0,14.0,True,False,False
W045,7,H,Jw,32.0,40.0,8.0,True,False,False
W045,7,Je,Jw,46.0,40.0,-6.0,False,True,False
W045,8,P,V,45.0,45.0,0.0,False,False,True
W045,8,P,H,45.0,48.0,3.0,True,False,False
W045,8,P,Je,45.0,51.0,6.0,True,False,False
W045,8,P,Jw,45.0,39.0,-6.0,False,True,False
W045,8,V,H,45.0,48.0,3.0,True,False,False
W045,8,V,Je,45.0,51.0,6.0,True,False,False
W045,8,V,Jw,45.0,39.0,-6.0,False,True,False
W045,8,H,Je,48.0,51.0,3.0,True,False,False
W045,8,H,Jw,48.0,39.0,-9.0,False,True,False
W045,8,Je,Jw,51.0,39.0,-12.0,False,True,False
W045,9,P,V,45.0,46.0,1.0,True,False,False
W045,9,P,H,45.0,34.0,-11.0,False,True,False
W045,9,P,Je,45.0,46.0,1.0,True,False,False
W045,9,P,Jw,45.0,39.0,-6.0,False,True,False
W045,9,V,H,46.0,34.0,-12.0,False,True,False
W045,9,V,Je,46.0,46.0,0.0,False,False,True
W045,9,V,Jw,46.0,39.0,-7.0,False,True,False
W045,9,H,Je,34.0,46.0,12.0,True,False,False
W045,9,H,Jw,34.0,39.0,5.0,True,False,False
W045,9,Je,Jw,46.0,39.0,-7.0,False,True,False
W045,10,P,V,44.0,43.0,-1.0,False,True,False
W045,10,P,H,44.0,23.0,-21.0,False,True,False
W045,10,P,Je,44.0,48.0,4.0,True,False,False
W045,10,P,Jw,44.0,47.0,3.0,True,False,False
W045,10,V,H,43.0,23.0,-20.0,False,True,False
W045,10,V,Je,43.0,48.0,5.0,True,False,False
W045,10,V,Jw,43.0,47.0,4.0,True,False,False
W045,10,H,Je,23.0,48.0,25.0,True,False,False
W045,10,H,Jw,23.0,47.0,24.0,True,False,False
W045,10,Je,Jw,48.0,47.0,-1.0,False,True,False
W045,11,P,V,45.0,45.0,0.0,False,False,True
W045,11,P,H,45.0,33.0,-12.0,False,True,False
W045,11,P,Je,45.0,45.0,0.0,False,False,True
W045,11,P,Jw,45.0,44.0,-1.0,False,True,False
W045,11,V,H,45.0,33.0,-12.0,False,True,False
W045,11,V,Je,45.0,45.0,0.0,False,False,True
W045,11,V,Jw,45.0,44.0,-1.0,False,True,False
W045,11,H,Je,33.0,45.0,12.0,True,False,False
W045,11,H,Jw,33.0,44.0,11.0,True,False,False
W045,11,Je,Jw,45.0,44.0,-1.0,False,True,False
W045,12,P,V,43.0,45.0,2.0,True,False,False
W045,12,P,H,43.0,33.0,-10.0,False,True,False
W045,12,P,Je,43.0,45.0,2.0,True,False,False
W045,12,P,Jw,43.0,41.0,-2.0,False,True,False
W045,12,V,H,45.0,33.0,-12.0,False,True,False
W045,12,V,Je,45.0,45.0,0.0,False,False,True
W045,12,V,Jw,45.0,41.0,-4.0,False,True,False
W045,12,H,Je,33.0,45.0,12.0,True,False,False
W045,12,H,Jw,33.0,41.0,8.0,True,False,False
W045,12,Je,Jw,45.0,41.0,-4.0,False,True,False
W045,13,P,V,46.0,45.0,-1.0,False,True,False
W045,13,P,H,46.0,35.0,-11.0,False,True,False
W045,13,P,Je,46.0,46.0,0.0,False,False,True
W045,13,P,Jw,46.0,43.0,-3.0,False,True,False
W045,13,V,H,45.0,35.0,-10.0,False,True,False
W045,13,V,Je,45.0,46.0,1.0,True,False,False
W045,13,V,Jw,45.0,43.0,-2.0,False,True,False
W045,13,H,Je,35.0,46.0,11.0,True,False,False
W045,13,H,Jw,35.0,43.0,8.0,True,False,False
W045,13,Je,Jw,46.0,43.0,-3.0,False,True,False
W045,14,P,V,40.0,48.0,8.0,True,False,False
W045,14,P,H,40.0,51.0,11.0,True,False,False
W045,14,P,Je,40.0,44.0,4.0,True,False,False
W045,14,P,Jw,40.0,48.0,8.0,True,False,False
W045,14,V,H,48.0,51.0,3.0,True,False,False
W045,14,V,Je,48.0,44.0,-4.0,False,True,False
W045,14,V,Jw,48.0,48.0,0.0,False,False,True
W045,14,H,Je,51.0,44.0,-7.0,False,True,False
W045,14,H,Jw,51.0,48.0,-3.0,False,True,False
W045,14,Je,Jw,44.0,48.0,4.0,True,False,False
W045,15,P,V,44.0,45.0,1.0,True,False,False
W045,15,P,H,44.0,35.0,-9.0,False,True,False
W045,15,P,Je,44.0,47.0,3.0,True,False,False
W045,15,P,Jw,44.0,41.0,-3.0,False,True,False
W045,15,V,H,45.0,35.0,-10.0,False,True,False
W045,15,V,Je,45.0,47.0,2.0,True,False,False
W045,15,V,Jw,45.0,41.0,-4.0,False,True,False
W045,15,H,Je,35.0,47.0,12.0,True,False,False
W045,15,H,Jw,35.0,41.0,6.0,True,False,False
W045,15,Je,Jw,47.0,41.0,-6.0,False,True,False
W045,16,P,V,40.0,44.0,4.0,True,False,False
W045,16,P,H,40.0,43.0,3.0,True,False,False
W045,16,P,Je,40.0,45.0,5.0,True,False,False
W045,16,P,Jw,40.0,46.0,6.0,True,False,False
W045,16,V,H,44.0,43.0,-1.0,False,True,False
W045,16,V,Je,44.0,45.0,1.0,True,False,False
W045,16,V,Jw,44.0,46.0,2.0,True,False,False
W045,16,H,Je,43.0,45.0,2.0,True,False,False
W045,16,H,Jw,43.0,46.0,3.0,True,False,False
W045,16,Je,Jw,45.0,46.0,1.0,True,False,False
W045,17,P,V,45.0,45.0,0.0,False,False,True
W045,17,P,H,45.0,36.0,-9.0,False,True,False
W045,17,P,Je,45.0,48.0,3.0,True,False,False
W045,17,P,Jw,45.0,39.0,-6.0,False,True,False
W045,17,V,H,45.0,36.0,-9.0,False,True,False
W045,17,V,Je,45.0,48.0,3.0,True,False,False
W045,17,V,Jw,45.0,39.0,-6.0,False,True,False
W045,17,H,Je,36.0,48.0,12.0,True,False,False
W045,17,H,Jw,36.0,39.0,3.0,True,False,False
W045,17,Je,Jw,48.0,39.0,-9.0,False,True,False
W045,18,P,V,42.0,45.0,3.0,True,False,False
W045,18,P,H,42.0,35.0,-7.0,False,True,False
W045,18,P,Je,42.0,47.0,5.0,True,False,False
W045,18,P,Jw,42.0,48.0,6.0,True,False,False
W045,18,V,H,45.0,35.0,-10.0,False,True,False
W045,18,V,Je,45.0,47.0,2.0,True,False,False
W045,18,V,Jw,45.0,48.0,3.0,True,False,False
W045,18,H,Je,35.0,47.0,12.0,True,False,False
W045,18,H,Jw,35.0,48.0,13.0,True,False,False
W045,18,Je,Jw,47.0,48.0,1.0,True,False,False
W045,19,P,V,47.0,49.0,2.0,True,False,False
W045,19,P,H,47.0,37.0,-10.0,False,True,False
