window_id,main_peak_day,main_peak_candidate_id,main_peak_bootstrap_match_fraction,n_returned_replicates_for_interval,return_day_median,return_day_q02_5,return_day_q97_5,return_day_p10,return_day_p90,return_day_iqr,return_day_width95,return_day_width80
W001,18,CP001,0.745,770,19.0,15.0,24.0,15.0,21.100000000000023,3.0,9.0,6.100000000000023
W002,45,CP002,0.993,999,45.0,41.0,47.0,43.0,46.0,2.0,6.0,3.0
W003,81,CP003,0.951,994,81.0,76.0,86.0,77.0,84.0,4.0,10.0,7.0
W004,96,CP004,0.807,848,96.0,92.0,102.0,94.0,100.0,4.0,10.0,6.0
W005,113,CP005,0.987,992,113.0,109.0,116.0,110.0,115.0,2.0,7.0,5.0
W006,132,CP006,0.899,981,132.0,126.5,138.0,129.0,137.0,5.0,11.5,8.0
W007,160,CP008,0.962,991,160.0,155.0,165.0,157.0,163.0,3.0,10.0,6.0
