window_id,object_A,object_B,baseline_config,branch,day,delta_S
W045,P,V,C0_full_stage,dist,0,
W045,P,V,C0_full_stage,dist,1,
W045,P,V,C0_full_stage,dist,2,
W045,P,V,C0_full_stage,dist,3,
W045,P,V,C0_full_stage,dist,4,-0.03032837785949355
W045,P,V,C0_full_stage,dist,5,-0.0280901149393486
W045,P,V,C0_full_stage,dist,6,-0.027048869539367082
W045,P,V,C0_full_stage,dist,7,-0.041484948648985026
W045,P,V,C0_full_stage,dist,8,-0.0675130411978932
W045,P,V,C0_full_stage,dist,9,-0.08272839345753055
W045,P,V,C0_full_stage,dist,10,-0.07327462573712454
W045,P,V,C0_full_stage,dist,11,-0.05721905323108614
W045,P,V,C0_full_stage,dist,12,-0.04866014350177689
W045,P,V,C0_full_stage,dist,13,-0.043157747939888136
W045,P,V,C0_full_stage,dist,14,-0.051517444688850514
W045,P,V,C0_full_stage,dist,15,-0.030067705199355352
W045,P,V,C0_full_stage,dist,16,0.004771784139413704
W045,P,V,C0_full_stage,dist,17,0.018606215025022466
W045,P,V,C0_full_stage,dist,18,-0.012238318322983499
W045,P,V,C0_full_stage,dist,19,-0.04183140818184898
W045,P,V,C0_full_stage,dist,20,0.009501931339437442
W045,P,V,C0_full_stage,dist,21,0.045377760406731436
W045,P,V,C0_full_stage,dist,22,-0.013205101533279875
W045,P,V,C0_full_stage,dist,23,-0.06032287432157003
W045,P,V,C0_full_stage,dist,24,-0.07001120666308758
W045,P,V,C0_full_stage,dist,25,-0.04139327231893079
W045,P,V,C0_full_stage,dist,26,-0.03239451141361367
W045,P,V,C0_full_stage,dist,27,-0.033832808079300815
W045,P,V,C0_full_stage,dist,28,-0.021669260328558676
W045,P,V,C0_full_stage,dist,29,-0.046758595345163745
W045,P,V,C0_full_stage,dist,30,-0.09840765842568533
W045,P,V,C0_full_stage,dist,31,-0.10493851948358793
W045,P,V,C0_full_stage,dist,32,-0.10548528876962654
W045,P,V,C0_full_stage,dist,33,-0.08769620170224246
W045,P,V,C0_full_stage,dist,34,-0.056397343666876404
W045,P,V,C0_full_stage,dist,35,-0.04470220589036861
W045,P,V,C0_full_stage,dist,36,-0.042400099848861894
W045,P,V,C0_full_stage,dist,37,-0.034456511161176206
W045,P,V,C0_full_stage,dist,38,-0.021210820885485537
W045,P,V,C0_full_stage,dist,39,0.013833781046087401
W045,P,V,C0_full_stage,dist,40,0.050169294754218385
W045,P,V,C0_full_stage,dist,41,0.08937547689044922
W045,P,V,C0_full_stage,dist,42,0.10973590289092139
W045,P,V,C0_full_stage,dist,43,0.11912264704981124
W045,P,V,C0_full_stage,dist,44,0.12252339014162317
W045,P,V,C0_full_stage,dist,45,0.13252690704348724
W045,P,V,C0_full_stage,dist,46,0.1415316814336527
W045,P,V,C0_full_stage,dist,47,0.14730634820719546
W045,P,V,C0_full_stage,dist,48,0.1432842551247253
W045,P,V,C0_full_stage,dist,49,0.11329919274027334
W045,P,V,C0_full_stage,dist,50,0.08702853099604257
W045,P,V,C0_full_stage,dist,51,0.09041559330767401
W045,P,V,C0_full_stage,dist,52,0.09790269965679288
W045,P,V,C0_full_stage,dist,53,0.10075652797044865
W045,P,V,C0_full_stage,dist,54,0.11420300317814613
W045,P,V,C0_full_stage,dist,55,0.10366870481692203
W045,P,V,C0_full_stage,dist,56,0.08794155223980527
W045,P,V,C0_full_stage,dist,57,0.0875146974694273
W045,P,V,C0_full_stage,dist,58,0.08476418605523739
W045,P,V,C0_full_stage,dist,59,0.07916392806027439
W045,P,V,C0_full_stage,dist,60,0.06258090011151785
W045,P,V,C0_full_stage,dist,61,0.04732918677540088
W045,P,V,C0_full_stage,dist,62,0.02529518059830771
