window_id,object_A,object_B,peak_order_decision,peak_synchrony_decision,state_block_observed_summary,allowed_statement,forbidden_statement
W045,P,V,A_peak_earlier_tendency,synchrony_tendency,C0_full_stage/dist:B_dominant_block@4-15;C0_full_stage/dist:uncertain_block@16-38;C0_full_stage/dist:A_dominant_block@39-62;C0_full_stage/dist:uncertain_block@63-64;C0_full_stage/dist:A_dominant_block@65-74;C0_full_stage/pattern:uncertain_block@4-74;C1_buffered_stage/dist:B_dominant_block@4-15;C1_buffered_stage/dist:uncertain_block@16-63;C1_buffered_stage/dist:A_dominant_block@64-74;C1_buffered_stage/pattern:uncertain_block@4-74;C2_immediate_pre/dist:uncertain_block@4-63;C2_immediate_pre/dist:A_dominant_block@64-74;C2_immediate_pre/pattern:uncertain_block@4-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,P,H,B_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:B_dominant_block@4-18;C0_full_stage/dist:uncertain_block@19-22;C0_full_stage/dist:B_dominant_block@23-44;C0_full_stage/dist:uncertain_block@45-54;C0_full_stage/dist:B_dominant_block@55-64;C0_full_stage/dist:near_block@65-67;C0_full_stage/dist:uncertain_block@68-74;C0_full_stage/pattern:uncertain_block@4-44;C0_full_stage/pattern:A_dominant_block@45-63;C0_full_stage/pattern:B_dominant_block@64-74;C1_buffered_stage/dist:B_dominant_block@4-17;C1_buffered_stage/dist:uncertain_block@18-20;C1_buffered_stage/dist:B_dominant_block@21-44;C1_buffered_stage/dist:uncertain_block@45-55;C1_buffered_stage/dist:B_dominant_block@56-74;C1_buffered_stage/pattern:uncertain_block@4-61;C1_buffered_stage/pattern:B_dominant_block@62-74;C2_immediate_pre/dist:B_dominant_block@4-28;C2_immediate_pre/dist:uncertain_block@29-42;C2_immediate_pre/dist:A_dominant_block@43-57;C2_immediate_pre/dist:uncertain_block@58-74;C2_immediate_pre/pattern:uncertain_block@4-61;C2_immediate_pre/pattern:B_dominant_block@62-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,P,Je,A_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:B_dominant_block@4-19;C0_full_stage/dist:uncertain_block@20-22;C0_full_stage/dist:B_dominant_block@23-43;C0_full_stage/dist:A_dominant_block@44-55;C0_full_stage/dist:uncertain_block@56-74;C0_full_stage/pattern:A_dominant_block@4-19;C0_full_stage/pattern:uncertain_block@20-29;C0_full_stage/pattern:B_dominant_block@30-45;C0_full_stage/pattern:A_dominant_block@46-61;C0_full_stage/pattern:B_dominant_block@62-74;C1_buffered_stage/dist:B_dominant_block@4-18;C1_buffered_stage/dist:uncertain_block@19-21;C1_buffered_stage/dist:B_dominant_block@22-43;C1_buffered_stage/dist:A_dominant_block@44-55;C1_buffered_stage/dist:uncertain_block@56-74;C1_buffered_stage/pattern:A_dominant_block@4-18;C1_buffered_stage/pattern:B_dominant_block@19-45;C1_buffered_stage/pattern:uncertain_block@46-74;C2_immediate_pre/dist:B_dominant_block@4-28;C2_immediate_pre/dist:uncertain_block@29-41;C2_immediate_pre/dist:A_dominant_block@42-58;C2_immediate_pre/dist:uncertain_block@59-74;C2_immediate_pre/pattern:uncertain_block@4-30;C2_immediate_pre/pattern:B_dominant_block@31-44;C2_immediate_pre/pattern:uncertain_block@45-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,P,Jw,B_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:B_dominant_block@4-15;C0_full_stage/dist:uncertain_block@16-22;C0_full_stage/dist:B_dominant_block@23-38;C0_full_stage/dist:A_dominant_block@39-55;C0_full_stage/dist:uncertain_block@56-74;C0_full_stage/pattern:uncertain_block@4-74;C1_buffered_stage/dist:B_dominant_block@4-15;C1_buffered_stage/dist:uncertain_block@16-21;C1_buffered_stage/dist:B_dominant_block@22-38;C1_buffered_stage/dist:A_dominant_block@39-57;C1_buffered_stage/dist:uncertain_block@58-74;C1_buffered_stage/pattern:uncertain_block@4-74;C2_immediate_pre/dist:uncertain_block@4-33;C2_immediate_pre/dist:A_dominant_block@34-58;C2_immediate_pre/dist:uncertain_block@59-74;C2_immediate_pre/pattern:uncertain_block@4-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,V,H,B_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:B_dominant_block@4-18;C0_full_stage/dist:uncertain_block@19-24;C0_full_stage/dist:B_dominant_block@25-63;C0_full_stage/dist:uncertain_block@64-64;C0_full_stage/dist:B_dominant_block@65-74;C0_full_stage/pattern:A_dominant_block@4-17;C0_full_stage/pattern:uncertain_block@18-21;C0_full_stage/pattern:B_dominant_block@22-46;C0_full_stage/pattern:A_dominant_block@47-63;C0_full_stage/pattern:B_dominant_block@64-74;C1_buffered_stage/dist:uncertain_block@4-20;C1_buffered_stage/dist:B_dominant_block@21-47;C1_buffered_stage/dist:uncertain_block@48-53;C1_buffered_stage/dist:B_dominant_block@54-74;C1_buffered_stage/pattern:A_dominant_block@4-16;C1_buffered_stage/pattern:B_dominant_block@17-46;C1_buffered_stage/pattern:A_dominant_block@47-62;C1_buffered_stage/pattern:B_dominant_block@63-74;C2_immediate_pre/dist:uncertain_block@4-31;C2_immediate_pre/dist:B_dominant_block@32-44;C2_immediate_pre/dist:uncertain_block@45-54;C2_immediate_pre/dist:B_dominant_block@55-74;C2_immediate_pre/pattern:uncertain_block@4-32;C2_immediate_pre/pattern:B_dominant_block@33-46;C2_immediate_pre/pattern:A_dominant_block@47-62;C2_immediate_pre/pattern:B_dominant_block@63-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,V,Je,A_peak_earlier_tendency,synchrony_tendency,C0_full_stage/dist:uncertain_block@4-25;C0_full_stage/dist:B_dominant_block@26-49;C0_full_stage/dist:uncertain_block@50-52;C0_full_stage/dist:B_dominant_block@53-74;C0_full_stage/pattern:A_dominant_block@4-20;C0_full_stage/pattern:uncertain_block@21-24;C0_full_stage/pattern:B_dominant_block@25-46;C0_full_stage/pattern:A_dominant_block@47-62;C0_full_stage/pattern:B_dominant_block@63-74;C1_buffered_stage/dist:uncertain_block@4-20;C1_buffered_stage/dist:B_dominant_block@21-48;C1_buffered_stage/dist:uncertain_block@49-53;C1_buffered_stage/dist:B_dominant_block@54-74;C1_buffered_stage/pattern:A_dominant_block@4-18;C1_buffered_stage/pattern:B_dominant_block@19-46;C1_buffered_stage/pattern:uncertain_block@47-61;C1_buffered_stage/pattern:B_dominant_block@62-74;C2_immediate_pre/dist:uncertain_block@4-31;C2_immediate_pre/dist:B_dominant_block@32-44;C2_immediate_pre/dist:uncertain_block@45-54;C2_immediate_pre/dist:B_dominant_block@55-74;C2_immediate_pre/pattern:A_dominant_block@4-30;C2_immediate_pre/pattern:B_dominant_block@31-46;C2_immediate_pre/pattern:uncertain_block@47-62;C2_immediate_pre/pattern:B_dominant_block@63-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,V,Jw,B_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:uncertain_block@4-52;C0_full_stage/dist:B_dominant_block@53-74;C0_full_stage/pattern:A_dominant_block@4-31;C0_full_stage/pattern:B_dominant_block@32-46;C0_full_stage/pattern:A_dominant_block@47-61;C0_full_stage/pattern:B_dominant_block@62-74;C1_buffered_stage/dist:uncertain_block@4-53;C1_buffered_stage/dist:B_dominant_block@54-74;C1_buffered_stage/pattern:uncertain_block@4-27;C1_buffered_stage/pattern:B_dominant_block@28-46;C1_buffered_stage/pattern:uncertain_block@47-61;C1_buffered_stage/pattern:B_dominant_block@62-74;C2_immediate_pre/dist:uncertain_block@4-54;C2_immediate_pre/dist:B_dominant_block@55-74;C2_immediate_pre/pattern:uncertain_block@4-31;C2_immediate_pre/pattern:B_dominant_block@32-46;C2_immediate_pre/pattern:uncertain_block@47-61;C2_immediate_pre/pattern:B_dominant_block@62-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,H,Je,A_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:uncertain_block@4-74;C0_full_stage/pattern:A_dominant_block@4-20;C0_full_stage/pattern:near_block@21-23;C0_full_stage/pattern:uncertain_block@24-27;C0_full_stage/pattern:B_dominant_block@28-67;C0_full_stage/pattern:uncertain_block@68-74;C1_buffered_stage/dist:uncertain_block@4-74;C1_buffered_stage/pattern:A_dominant_block@4-19;C1_buffered_stage/pattern:B_dominant_block@20-57;C1_buffered_stage/pattern:uncertain_block@58-74;C2_immediate_pre/dist:uncertain_block@4-74;C2_immediate_pre/pattern:uncertain_block@4-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,H,Jw,A_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:A_dominant_block@4-19;C0_full_stage/dist:uncertain_block@20-20;C0_full_stage/dist:A_dominant_block@21-62;C0_full_stage/dist:uncertain_block@63-74;C0_full_stage/pattern:uncertain_block@4-46;C0_full_stage/pattern:B_dominant_block@47-65;C0_full_stage/pattern:A_dominant_block@66-74;C1_buffered_stage/dist:uncertain_block@4-19;C1_buffered_stage/dist:A_dominant_block@20-74;C1_buffered_stage/pattern:uncertain_block@4-12;C1_buffered_stage/pattern:A_dominant_block@13-31;C1_buffered_stage/pattern:uncertain_block@32-63;C1_buffered_stage/pattern:A_dominant_block@64-74;C2_immediate_pre/dist:A_dominant_block@4-28;C2_immediate_pre/dist:uncertain_block@29-29;C2_immediate_pre/dist:A_dominant_block@30-47;C2_immediate_pre/dist:uncertain_block@48-74;C2_immediate_pre/pattern:uncertain_block@4-63;C2_immediate_pre/pattern:A_dominant_block@64-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
W045,Je,Jw,B_peak_earlier_tendency,synchrony_indeterminate,C0_full_stage/dist:A_dominant_block@4-22;C0_full_stage/dist:uncertain_block@23-26;C0_full_stage/dist:A_dominant_block@27-52;C0_full_stage/dist:uncertain_block@53-74;C0_full_stage/pattern:B_dominant_block@4-19;C0_full_stage/pattern:A_dominant_block@20-46;C0_full_stage/pattern:uncertain_block@47-74;C1_buffered_stage/dist:uncertain_block@4-20;C1_buffered_stage/dist:A_dominant_block@21-57;C1_buffered_stage/dist:uncertain_block@58-66;C1_buffered_stage/dist:near_block@67-69;C1_buffered_stage/dist:uncertain_block@70-74;C1_buffered_stage/pattern:B_dominant_block@4-19;C1_buffered_stage/pattern:A_dominant_block@20-47;C1_buffered_stage/pattern:uncertain_block@48-74;C2_immediate_pre/dist:A_dominant_block@4-48;C2_immediate_pre/dist:uncertain_block@49-74;C2_immediate_pre/pattern:uncertain_block@4-74,Peak and state are separate layers; state blocks describe state-progress relation only.,"Do not infer growth, causality, or process_a-style catch-up from this table."
