window_id,baseline_config,branch,near_edges,dominance_edges,uncertain_edges,network_notes
W045,C0_full_stage,dist,P-H:65-67,H->Jw:4-19;H->Jw:21-62;Je->Jw:4-22;Je->Jw:27-52;H->P:4-18;H->P:23-44;H->P:55-64;Je->P:4-19;Je->P:23-43;P->Je:44-55;Jw->P:4-15;Jw->P:23-38;P->Jw:39-55;V->P:4-15;P->V:39-62;P->V:65-74;H->V:4-18;H->V:25-63;H->V:65-74;Je->V:26-49;Je->V:53-74;Jw->V:53-74,H-Je:4-74;H-Jw:20-20;H-Jw:63-74;Je-Jw:23-26;Je-Jw:53-74;P-H:19-22;P-H:45-54;P-H:68-74;P-Je:20-22;P-Je:56-74;P-Jw:16-22;P-Jw:56-74;P-V:16-38;P-V:63-64;V-H:19-24;V-H:64-64;V-Je:4-25;V-Je:50-52;V-Jw:4-52,observed pairwise block network only; group closure not promoted to scientific claim in v8_state_relation_a
W045,C0_full_stage,pattern,H-Je:21-23,H->Je:4-20;Je->H:28-67;Jw->H:47-65;H->Jw:66-74;Jw->Je:4-19;Je->Jw:20-46;P->H:45-63;H->P:64-74;P->Je:4-19;Je->P:30-45;P->Je:46-61;Je->P:62-74;V->H:4-17;H->V:22-46;V->H:47-63;H->V:64-74;V->Je:4-20;Je->V:25-46;V->Je:47-62;Je->V:63-74;V->Jw:4-31;Jw->V:32-46;V->Jw:47-61;Jw->V:62-74,H-Je:24-27;H-Je:68-74;H-Jw:4-46;Je-Jw:47-74;P-H:4-44;P-Je:20-29;P-Jw:4-74;P-V:4-74;V-H:18-21;V-Je:21-24,observed pairwise block network only; group closure not promoted to scientific claim in v8_state_relation_a
W045,C1_buffered_stage,dist,Je-Jw:67-69,H->Jw:20-74;Je->Jw:21-57;H->P:4-17;H->P:21-44;H->P:56-74;Je->P:4-18;Je->P:22-43;P->Je:44-55;Jw->P:4-15;Jw->P:22-38;P->Jw:39-57;V->P:4-15;P->V:64-74;H->V:21-47;H->V:54-74;Je->V:21-48;Je->V:54-74;Jw->V:54-74,H-Je:4-74;H-Jw:4-19;Je-Jw:4-20;Je-Jw:58-66;Je-Jw:70-74;P-H:18-20;P-H:45-55;P-Je:19-21;P-Je:56-74;P-Jw:16-21;P-Jw:58-74;P-V:16-63;V-H:4-20;V-H:48-53;V-Je:4-20;V-Je:49-53;V-Jw:4-53,observed pairwise block network only; group closure not promoted to scientific claim in v8_state_relation_a
W045,C1_buffered_stage,pattern,,H->Je:4-19;Je->H:20-57;H->Jw:13-31;H->Jw:64-74;Jw->Je:4-19;Je->Jw:20-47;H->P:62-74;P->Je:4-18;Je->P:19-45;V->H:4-16;H->V:17-46;V->H:47-62;H->V:63-74;V->Je:4-18;Je->V:19-46;Je->V:62-74;Jw->V:28-46;Jw->V:62-74,H-Je:58-74;H-Jw:4-12;H-Jw:32-63;Je-Jw:48-74;P-H:4-61;P-Je:46-74;P-Jw:4-74;P-V:4-74;V-Je:47-61;V-Jw:4-27;V-Jw:47-61,observed pairwise block network only; group closure not promoted to scientific claim in v8_state_relation_a
W045,C2_immediate_pre,dist,,H->Jw:4-28;H->Jw:30-47;Je->Jw:4-48;H->P:4-28;P->H:43-57;Je->P:4-28;P->Je:42-58;P->Jw:34-58;P->V:64-74;H->V:32-44;H->V:55-74;Je->V:32-44;Je->V:55-74;Jw->V:55-74,H-Je:4-74;H-Jw:29-29;H-Jw:48-74;Je-Jw:49-74;P-H:29-42;P-H:58-74;P-Je:29-41;P-Je:59-74;P-Jw:4-33;P-Jw:59-74;P-V:4-63;V-H:4-31;V-H:45-54;V-Je:4-31;V-Je:45-54;V-Jw:4-54,observed pairwise block network only; group closure not promoted to scientific claim in v8_state_relation_a
W045,C2_immediate_pre,pattern,,H->Jw:64-74;H->P:62-74;Je->P:31-44;H->V:33-46;V->H:47-62;H->V:63-74;V->Je:4-30;Je->V:31-46;Je->V:63-74;Jw->V:32-46;Jw->V:62-74,H-Je:4-74;H-Jw:4-63;Je-Jw:4-74;P-H:4-61;P-Je:4-30;P-Je:45-74;P-Jw:4-74;P-V:4-74;V-H:4-32;V-Je:47-62;V-Jw:4-31;V-Jw:47-61,observed pairwise block network only; group closure not promoted to scientific claim in v8_state_relation_a
