window_id,block_id,object_A,object_B,baseline_config,branch,observed_block_type,start_day,end_day,duration,P_block_same_type,P_block_fragmented,P_block_contains_opposite_dominant,P_block_degrades_to_uncertain,support_class,matching_rule
W045,BLK00001,H,Je,C0_full_stage,dist,uncertain_block,4,74,71,0.626,0.374,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00002,H,Je,C0_full_stage,pattern,A_dominant_block,4,20,17,0.919,0.0,0.0,0.081,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00003,H,Je,C0_full_stage,pattern,near_block,21,23,3,0.016,0.586,0.0,0.398,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00004,H,Je,C0_full_stage,pattern,uncertain_block,24,27,4,0.419,0.581,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00005,H,Je,C0_full_stage,pattern,B_dominant_block,28,67,40,0.55,0.205,0.0,0.245,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00006,H,Je,C0_full_stage,pattern,uncertain_block,68,74,7,0.638,0.362,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00007,H,Je,C1_buffered_stage,dist,uncertain_block,4,74,71,0.723,0.277,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00008,H,Je,C1_buffered_stage,pattern,A_dominant_block,4,19,16,0.74,0.0,0.0,0.26,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00009,H,Je,C1_buffered_stage,pattern,B_dominant_block,20,57,38,0.741,0.167,0.0,0.092,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00010,H,Je,C1_buffered_stage,pattern,uncertain_block,58,74,17,0.672,0.328,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00011,H,Je,C2_immediate_pre,dist,uncertain_block,4,74,71,0.924,0.076,0.0,0.0,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00012,H,Je,C2_immediate_pre,pattern,uncertain_block,4,74,71,0.543,0.457,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00013,H,Jw,C0_full_stage,dist,A_dominant_block,4,19,16,0.928,0.001,0.0,0.071,tendency,overlap-based block matching after bootstrap segment aggregation
W045,BLK00014,H,Jw,C0_full_stage,dist,uncertain_block,20,20,1,0.652,0.348,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
W045,BLK00015,H,Jw,C0_full_stage,dist,A_dominant_block,21,62,42,0.977,0.023,0.0,0.0,supported,overlap-based block matching after bootstrap segment aggregation
W045,BLK00016,H,Jw,C0_full_stage,dist,uncertain_block,63,74,12,0.565,0.435,0.0,0.0,unresolved,overlap-based block matching after bootstrap segment aggregation
