window_id,segment_id,object_A,object_B,null_object,baseline_config,branch,start_day,end_day,duration,null_metric,null_n,null_median,null_q025,null_q975
W045,SEG00001,H,Je,H,C0_full_stage,dist,4,15,12,abs_mean_self_replicate_delta,1000,0.013528702304119348,0.0005884149855022449,0.042828555212337256
W045,SEG00001,H,Je,Je,C0_full_stage,dist,4,15,12,abs_mean_self_replicate_delta,1000,0.012690162226283656,0.0007399835044083528,0.044194121485973875
W045,SEG00002,H,Je,H,C0_full_stage,dist,16,21,6,abs_mean_self_replicate_delta,1000,0.01741197646259196,0.0009768835232231233,0.054653928756549106
W045,SEG00002,H,Je,Je,C0_full_stage,dist,16,21,6,abs_mean_self_replicate_delta,1000,0.01899037132830543,0.0011724104374693381,0.06214503052721941
W045,SEG00003,H,Je,H,C0_full_stage,dist,22,31,10,abs_mean_self_replicate_delta,1000,0.03357615634802073,0.001897180792362043,0.11391247235846245
W045,SEG00003,H,Je,Je,C0_full_stage,dist,22,31,10,abs_mean_self_replicate_delta,1000,0.02330958847832667,0.0010492542557608226,0.08319214774944209
W045,SEG00004,H,Je,H,C0_full_stage,dist,32,33,2,abs_mean_self_replicate_delta,1000,0.053684024982415715,0.002564672227853914,0.17309057996051883
W045,SEG00004,H,Je,Je,C0_full_stage,dist,32,33,2,abs_mean_self_replicate_delta,1000,0.038648708109170565,0.0012340283915287069,0.12515231234317722
W045,SEG00005,H,Je,H,C0_full_stage,dist,34,62,29,abs_mean_self_replicate_delta,1000,0.02544094171245671,0.0011930359060263944,0.09194881959017388
W045,SEG00005,H,Je,Je,C0_full_stage,dist,34,62,29,abs_mean_self_replicate_delta,1000,0.018091947190231376,0.001084810721012011,0.06262474607538411
W045,SEG00006,H,Je,H,C0_full_stage,dist,63,66,4,abs_mean_self_replicate_delta,1000,0.017798756430002255,0.0011967714881922671,0.05951341036872888
W045,SEG00006,H,Je,Je,C0_full_stage,dist,63,66,4,abs_mean_self_replicate_delta,1000,0.012152739236800963,0.0007065108095268191,0.04470493337187014
W045,SEG00007,H,Je,H,C0_full_stage,dist,67,74,8,abs_mean_self_replicate_delta,1000,0.020165352048040805,0.0006165974039167154,0.06254722547568138
W045,SEG00007,H,Je,Je,C0_full_stage,dist,67,74,8,abs_mean_self_replicate_delta,1000,0.015940458463684325,0.0008075317142174271,0.05089075752777062
W045,SEG00008,H,Je,H,C0_full_stage,pattern,4,20,17,abs_mean_self_replicate_delta,1000,0.045785527199840984,0.003234114193891453,0.14946740334607853
W045,SEG00008,H,Je,Je,C0_full_stage,pattern,4,20,17,abs_mean_self_replicate_delta,1000,0.10604690927501717,0.004376289883255869,0.3612124046475369
W045,SEG00009,H,Je,H,C0_full_stage,pattern,21,23,3,abs_mean_self_replicate_delta,1000,0.08312122981141021,0.004007681944318431,0.2607022636839532
W045,SEG00009,H,Je,Je,C0_full_stage,pattern,21,23,3,abs_mean_self_replicate_delta,1000,0.10599410517786653,0.005970100823957163,0.35808453192896944
W045,SEG00010,H,Je,H,C0_full_stage,pattern,24,27,4,abs_mean_self_replicate_delta,1000,0.08939523503776038,0.005358115551342713,0.26591090721490335
W045,SEG00010,H,Je,Je,C0_full_stage,pattern,24,27,4,abs_mean_self_replicate_delta,1000,0.1082109913822512,0.005495861756385198,0.39361804153927865
W045,SEG00011,H,Je,H,C0_full_stage,pattern,28,67,40,abs_mean_self_replicate_delta,1000,0.0397798505839675,0.0012514783897442491,0.1351687388665084
W045,SEG00011,H,Je,Je,C0_full_stage,pattern,28,67,40,abs_mean_self_replicate_delta,1000,0.058308605464017976,0.0029178678744966238,0.1928358978820098
W045,SEG00012,H,Je,H,C0_full_stage,pattern,68,74,7,abs_mean_self_replicate_delta,1000,0.1367160809464755,0.006226327768106197,0.4530624742317626
W045,SEG00012,H,Je,Je,C0_full_stage,pattern,68,74,7,abs_mean_self_replicate_delta,1000,0.10491808153426783,0.006592581567397879,0.3598046750845777
W045,SEG00013,H,Je,H,C1_buffered_stage,dist,4,14,11,abs_mean_self_replicate_delta,1000,0.013876001370383497,0.0005343472698270563,0.048045898610374956
W045,SEG00013,H,Je,Je,C1_buffered_stage,dist,4,14,11,abs_mean_self_replicate_delta,1000,0.014331590853047298,0.0007784973994401692,0.04751715677664511
W045,SEG00014,H,Je,H,C1_buffered_stage,dist,15,19,5,abs_mean_self_replicate_delta,1000,0.015493514276136166,0.0009273375490387103,0.04776806519970166
W045,SEG00014,H,Je,Je,C1_buffered_stage,dist,15,19,5,abs_mean_self_replicate_delta,1000,0.017786431638538547,0.0008104251284518363,0.06257162781865917
W045,SEG00015,H,Je,H,C1_buffered_stage,dist,20,31,12,abs_mean_self_replicate_delta,1000,0.031166334830433327,0.0012554996699631678,0.10306200299331612
W045,SEG00015,H,Je,Je,C1_buffered_stage,dist,20,31,12,abs_mean_self_replicate_delta,1000,0.024608874995262993,0.0012848583559489325,0.07999066803035064
W045,SEG00016,H,Je,H,C1_buffered_stage,dist,32,33,2,abs_mean_self_replicate_delta,1000,0.055136227867408114,0.0023545079984305184,0.17725586110269556
W045,SEG00016,H,Je,Je,C1_buffered_stage,dist,32,33,2,abs_mean_self_replicate_delta,1000,0.040444723024533,0.0025913450156701914,0.1295348661924247
W045,SEG00017,H,Je,H,C1_buffered_stage,dist,34,47,14,abs_mean_self_replicate_delta,1000,0.04987704712093888,0.002068672625256009,0.17202340981073902
