window_id,segment_id,object_A,object_B,baseline_config,branch,raw_start_idx,raw_end_idx,start_day,end_day,duration,raw_sign_type,D_mean,E_abs_mean,signed_integral,abs_integral,peak_abs_delta
W045,SEG00001,H,Je,C0_full_stage,dist,4,15,4,15,12,positive,0.014216010795662926,0.014216010795662926,0.1705921295479551,0.1705921295479551,0.018961747240127225
W045,SEG00002,H,Je,C0_full_stage,dist,16,21,16,21,6,negative,-0.019837690613370554,0.019837690613370554,-0.11902614368022332,0.11902614368022332,0.04504983069571509
W045,SEG00003,H,Je,C0_full_stage,dist,22,31,22,31,10,positive,0.020835569461687114,0.020835569461687114,0.20835569461687115,0.20835569461687115,0.043681882685762216
W045,SEG00004,H,Je,C0_full_stage,dist,32,33,32,33,2,negative,-0.003007500834049326,0.003007500834049326,-0.006015001668098652,0.006015001668098652,0.0050365442937675975
W045,SEG00005,H,Je,C0_full_stage,dist,34,62,34,62,29,positive,0.043206981545298846,0.043206981545298846,1.2530024648136666,1.2530024648136666,0.10138617196483046
W045,SEG00006,H,Je,C0_full_stage,dist,63,66,63,66,4,negative,-0.007774529732991697,0.007774529732991697,-0.03109811893196679,0.03109811893196679,0.014917540408426078
W045,SEG00007,H,Je,C0_full_stage,dist,67,74,67,74,8,positive,0.028171242819279116,0.028171242819279116,0.22536994255423293,0.22536994255423293,0.0355741682651286
W045,SEG00008,H,Je,C0_full_stage,pattern,4,20,4,20,17,positive,0.30417731641965995,0.30417731641965995,5.17101437913422,5.17101437913422,0.42575786558959033
W045,SEG00009,H,Je,C0_full_stage,pattern,21,23,21,23,3,negative,-0.009952584305069382,0.009952584305069382,-0.029857752915208147,0.029857752915208147,0.0225499324345698
W045,SEG00010,H,Je,C0_full_stage,pattern,24,27,24,27,4,positive,0.042032269477631126,0.042032269477631126,0.1681290779105245,0.1681290779105245,0.05646232020866199
W045,SEG00011,H,Je,C0_full_stage,pattern,28,67,28,67,40,negative,-0.20528098773237868,0.20528098773237868,-8.211239509295147,8.211239509295147,0.6693323410177335
W045,SEG00012,H,Je,C0_full_stage,pattern,68,74,68,74,7,positive,0.21456811569437823,0.21456811569437823,1.5019768098606476,1.5019768098606476,0.5145268752544163
W045,SEG00013,H,Je,C1_buffered_stage,dist,4,14,4,14,11,positive,0.013966403479191153,0.013966403479191153,0.15363043827110268,0.15363043827110268,0.01795288737666964
W045,SEG00014,H,Je,C1_buffered_stage,dist,15,19,15,19,5,negative,-0.013199711323489145,0.013199711323489145,-0.06599855661744572,0.06599855661744572,0.027031794283254106
W045,SEG00015,H,Je,C1_buffered_stage,dist,20,31,20,31,12,positive,0.025609429698964056,0.025609429698964056,0.3073131563875687,0.3073131563875687,0.043386758904830236
W045,SEG00016,H,Je,C1_buffered_stage,dist,32,33,32,33,2,negative,-0.0025929862569060713,0.0025929862569060713,-0.005185972513812143,0.005185972513812143,0.004005801041093715
W045,SEG00017,H,Je,C1_buffered_stage,dist,34,47,34,47,14,positive,0.04862882940673811,0.04862882940673811,0.6808036116943335,0.6808036116943335,0.09192954034248457
W045,SEG00018,H,Je,C1_buffered_stage,dist,48,48,48,48,1,negative,-0.0017851197527580798,0.0017851197527580798,-0.0017851197527580798,0.0017851197527580798,0.0017851197527580798
W045,SEG00019,H,Je,C1_buffered_stage,dist,49,63,49,63,15,positive,0.01774705284314816,0.01774705284314816,0.26620579264722244,0.26620579264722244,0.026150433206513224
W045,SEG00020,H,Je,C1_buffered_stage,dist,64,64,64,64,1,negative,-0.00485607059502835,0.00485607059502835,-0.00485607059502835,0.00485607059502835,0.00485607059502835
W045,SEG00021,H,Je,C1_buffered_stage,dist,65,74,65,74,10,positive,0.031016830330898935,0.031016830330898935,0.31016830330898937,0.31016830330898937,0.04353550096517833
W045,SEG00022,H,Je,C1_buffered_stage,pattern,4,19,4,19,16,positive,0.1840210735842913,0.1840210735842913,2.9443371773486606,2.9443371773486606,0.28540784076201636
W045,SEG00023,H,Je,C1_buffered_stage,pattern,20,57,20,57,38,negative,-0.200135005626514,0.200135005626514,-7.6051302138075325,7.6051302138075325,0.6210658674477287
W045,SEG00024,H,Je,C1_buffered_stage,pattern,58,59,58,59,2,positive,0.007435514672120114,0.007435514672120114,0.014871029344240227,0.014871029344240227,0.008029901308069909
W045,SEG00025,H,Je,C1_buffered_stage,pattern,60,63,60,63,4,negative,-0.014617575386622783,0.014617575386622783,-0.05847030154649113,0.05847030154649113,0.026360919623406587
