window_id,object,source,branch,range_type,nominal_start_day,nominal_end_day,n_nominal_days,n_finite_days,finite_start_day,finite_end_day,leading_nan_days,trailing_nan_days,internal_nan_days,valid_day_fraction,valid_runs,baseline_config
W045,P,profile_by_year,input_profile,analysis,0,74,75,71,4,74,4,0,0,0.9466666666666667,4-74(71),
W045,P,profile_by_year,input_profile,pre_reference,0,39,40,36,4,39,4,0,0,0.9,4-39(36),C0_full_stage
W045,P,profile_by_year,input_profile,post_reference,49,74,26,26,49,74,0,0,0,1.0,49-74(26),C0_full_stage
W045,P,profile_by_year,input_profile,pre_reference,0,34,35,31,4,34,4,0,0,0.8857142857142857,4-34(31),C1_buffered_stage
W045,P,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C1_buffered_stage
W045,P,profile_by_year,input_profile,pre_reference,25,34,10,10,25,34,0,0,0,1.0,25-34(10),C2_immediate_pre
W045,P,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C2_immediate_pre
W045,V,profile_by_year,input_profile,analysis,0,74,75,71,4,74,4,0,0,0.9466666666666667,4-74(71),
W045,V,profile_by_year,input_profile,pre_reference,0,39,40,36,4,39,4,0,0,0.9,4-39(36),C0_full_stage
W045,V,profile_by_year,input_profile,post_reference,49,74,26,26,49,74,0,0,0,1.0,49-74(26),C0_full_stage
W045,V,profile_by_year,input_profile,pre_reference,0,34,35,31,4,34,4,0,0,0.8857142857142857,4-34(31),C1_buffered_stage
W045,V,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C1_buffered_stage
W045,V,profile_by_year,input_profile,pre_reference,25,34,10,10,25,34,0,0,0,1.0,25-34(10),C2_immediate_pre
W045,V,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C2_immediate_pre
W045,H,profile_by_year,input_profile,analysis,0,74,75,71,4,74,4,0,0,0.9466666666666667,4-74(71),
W045,H,profile_by_year,input_profile,pre_reference,0,39,40,36,4,39,4,0,0,0.9,4-39(36),C0_full_stage
W045,H,profile_by_year,input_profile,post_reference,49,74,26,26,49,74,0,0,0,1.0,49-74(26),C0_full_stage
W045,H,profile_by_year,input_profile,pre_reference,0,34,35,31,4,34,4,0,0,0.8857142857142857,4-34(31),C1_buffered_stage
W045,H,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C1_buffered_stage
W045,H,profile_by_year,input_profile,pre_reference,25,34,10,10,25,34,0,0,0,1.0,25-34(10),C2_immediate_pre
W045,H,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C2_immediate_pre
W045,Je,profile_by_year,input_profile,analysis,0,74,75,71,4,74,4,0,0,0.9466666666666667,4-74(71),
W045,Je,profile_by_year,input_profile,pre_reference,0,39,40,36,4,39,4,0,0,0.9,4-39(36),C0_full_stage
W045,Je,profile_by_year,input_profile,post_reference,49,74,26,26,49,74,0,0,0,1.0,49-74(26),C0_full_stage
W045,Je,profile_by_year,input_profile,pre_reference,0,34,35,31,4,34,4,0,0,0.8857142857142857,4-34(31),C1_buffered_stage
W045,Je,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C1_buffered_stage
W045,Je,profile_by_year,input_profile,pre_reference,25,34,10,10,25,34,0,0,0,1.0,25-34(10),C2_immediate_pre
W045,Je,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C2_immediate_pre
W045,Jw,profile_by_year,input_profile,analysis,0,74,75,71,4,74,4,0,0,0.9466666666666667,4-74(71),
W045,Jw,profile_by_year,input_profile,pre_reference,0,39,40,36,4,39,4,0,0,0.9,4-39(36),C0_full_stage
W045,Jw,profile_by_year,input_profile,post_reference,49,74,26,26,49,74,0,0,0,1.0,49-74(26),C0_full_stage
W045,Jw,profile_by_year,input_profile,pre_reference,0,34,35,31,4,34,4,0,0,0.8857142857142857,4-34(31),C1_buffered_stage
W045,Jw,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C1_buffered_stage
W045,Jw,profile_by_year,input_profile,pre_reference,25,34,10,10,25,34,0,0,0,1.0,25-34(10),C2_immediate_pre
W045,Jw,profile_by_year,input_profile,post_reference,54,69,16,16,54,69,0,0,0,1.0,54-69(16),C2_immediate_pre
