window_id,segment_id,object_A,object_B,baseline_config,branch,raw_start_idx,raw_end_idx,start_day,end_day,duration,raw_sign_type,D_mean,E_abs_mean,signed_integral,abs_integral,peak_abs_delta,classified_type,directional_bias,P_near_null,P_separation_gt_null,support_basis,null_n,null_E_median,null_E_q025,null_E_q975
W045,SEG00001,H,Je,C0_full_stage,dist,4,15,4,15,12,positive,0.014216010795662926,0.014216010795662926,0.1705921295479551,0.1705921295479551,0.018961747240127225,uncertain_segment,positive,0.4635,0.5365,same_object_reproducibility_null,2000,0.013162428562639862,0.0006344830274976922,0.04346571584961261
W045,SEG00002,H,Je,C0_full_stage,dist,16,21,16,21,6,negative,-0.019837690613370554,0.019837690613370554,-0.11902614368022332,0.11902614368022332,0.04504983069571509,uncertain_segment,negative,0.463,0.537,same_object_reproducibility_null,2000,0.018196645777384134,0.0010135381355892165,0.05772755914197294
W045,SEG00003,H,Je,C0_full_stage,dist,22,31,22,31,10,positive,0.020835569461687114,0.020835569461687114,0.20835569461687115,0.20835569461687115,0.043681882685762216,uncertain_segment,positive,0.619,0.381,same_object_reproducibility_null,2000,0.028146365558525288,0.0011805674967845393,0.10502446552580855
W045,SEG00004,H,Je,C0_full_stage,dist,32,33,32,33,2,negative,-0.003007500834049326,0.003007500834049326,-0.006015001668098652,0.006015001668098652,0.0050365442937675975,short_uncertain,negative,,,too_short_for_primary_segment,2000,0.04550492187407107,0.0015637091059661887,0.15836966797731825
W045,SEG00005,H,Je,C0_full_stage,dist,34,62,34,62,29,positive,0.043206981545298846,0.043206981545298846,1.2530024648136666,1.2530024648136666,0.10138617196483046,uncertain_segment,positive,0.189,0.811,same_object_reproducibility_null,2000,0.021975850124638867,0.0011165190445943363,0.08003330587509712
W045,SEG00006,H,Je,C0_full_stage,dist,63,66,63,66,4,negative,-0.007774529732991697,0.007774529732991697,-0.03109811893196679,0.03109811893196679,0.014917540408426078,uncertain_segment,negative,0.702,0.298,same_object_reproducibility_null,2000,0.014510442629123571,0.0008077094133691357,0.05406343942742841
W045,SEG00007,H,Je,C0_full_stage,dist,67,74,67,74,8,positive,0.028171242819279116,0.028171242819279116,0.22536994255423293,0.22536994255423293,0.0355741682651286,uncertain_segment,positive,0.2765,0.7235,same_object_reproducibility_null,2000,0.01769247267559685,0.0007290677056041546,0.05949502480833081
W045,SEG00008,H,Je,C0_full_stage,pattern,4,20,4,20,17,positive,0.30417731641965995,0.30417731641965995,5.17101437913422,5.17101437913422,0.42575786558959033,A_dominant_segment,positive,0.033,0.967,same_object_reproducibility_null,2000,0.06604899955848295,0.0036039411069591415,0.32603626738598035
W045,SEG00009,H,Je,C0_full_stage,pattern,21,23,21,23,3,negative,-0.009952584305069382,0.009952584305069382,-0.029857752915208147,0.029857752915208147,0.0225499324345698,near_segment_tendency,negative,0.941,0.059,same_object_reproducibility_null,2000,0.09265225621483503,0.004492625535236135,0.3279955700434611
W045,SEG00010,H,Je,C0_full_stage,pattern,24,27,24,27,4,positive,0.042032269477631126,0.042032269477631126,0.1681290779105245,0.1681290779105245,0.05646232020866199,uncertain_segment,positive,0.7705,0.2295,same_object_reproducibility_null,2000,0.09746948924425948,0.005378916900458483,0.35296081391867545
W045,SEG00011,H,Je,C0_full_stage,pattern,28,67,28,67,40,negative,-0.20528098773237868,0.20528098773237868,-8.211239509295147,8.211239509295147,0.6693323410177335,B_dominant_segment,negative,0.008,0.992,same_object_reproducibility_null,2000,0.04751827402571837,0.0021713622188467554,0.17482411054254385
W045,SEG00012,H,Je,C0_full_stage,pattern,68,74,68,74,7,positive,0.21456811569437823,0.21456811569437823,1.5019768098606476,1.5019768098606476,0.5145268752544163,uncertain_segment,positive,0.205,0.795,same_object_reproducibility_null,2000,0.12089907814327308,0.006578205468234124,0.4097030233256708
W045,SEG00013,H,Je,C1_buffered_stage,dist,4,14,4,14,11,positive,0.013966403479191153,0.013966403479191153,0.15363043827110268,0.15363043827110268,0.01795288737666964,uncertain_segment,positive,0.5055,0.4945,same_object_reproducibility_null,2000,0.014077386533625605,0.0006480177955194465,0.04787609315598042
W045,SEG00014,H,Je,C1_buffered_stage,dist,15,19,15,19,5,negative,-0.013199711323489145,0.013199711323489145,-0.06599855661744572,0.06599855661744572,0.027031794283254106,uncertain_segment,negative,0.5905,0.4095,same_object_reproducibility_null,2000,0.01668782681431869,0.000883673023048456,0.055600546870606296
W045,SEG00015,H,Je,C1_buffered_stage,dist,20,31,20,31,12,positive,0.025609429698964056,0.025609429698964056,0.3073131563875687,0.3073131563875687,0.043386758904830236,uncertain_segment,positive,0.532,0.468,same_object_reproducibility_null,2000,0.027499376407557063,0.0012554996699631678,0.09581524153186055
W045,SEG00016,H,Je,C1_buffered_stage,dist,32,33,32,33,2,negative,-0.0025929862569060713,0.0025929862569060713,-0.005185972513812143,0.005185972513812143,0.004005801041093715,short_uncertain,negative,,,too_short_for_primary_segment,2000,0.04638257857547064,0.0025532119807349964,0.15928424811949524
W045,SEG00017,H,Je,C1_buffered_stage,dist,34,47,34,47,14,positive,0.04862882940673811,0.04862882940673811,0.6808036116943335,0.6808036116943335,0.09192954034248457,uncertain_segment,positive,0.4335,0.5665,same_object_reproducibility_null,2000,0.04294597272130235,0.002068672625256009,0.1559325148549834
W045,SEG00018,H,Je,C1_buffered_stage,dist,48,48,48,48,1,negative,-0.0017851197527580798,0.0017851197527580798,-0.0017851197527580798,0.0017851197527580798,0.0017851197527580798,short_uncertain,negative,,,too_short_for_primary_segment,2000,0.042352822547563396,0.0013986785324894475,0.15015920790696957
W045,SEG00019,H,Je,C1_buffered_stage,dist,49,63,49,63,15,positive,0.01774705284314816,0.01774705284314816,0.26620579264722244,0.26620579264722244,0.026150433206513224,uncertain_segment,positive,0.5155,0.4845,same_object_reproducibility_null,2000,0.018497198176793538,0.0006530066704890447,0.06888376393702383
