window_id,object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
W045,P,C0_full_stage,main_full_stage,0,,,,,,,,,,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,1,,,,,,,,,,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,2,,,,,,,,,,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,3,,,,,,,,,,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,4,0.728496342791551,3.638920752772826,0.16680255786227152,0.9955851653060842,0.7443233439398365,-0.25126182136624775,-0.10417789052114489,,,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,5,0.6895997916860731,3.627490257655523,0.15973718032387227,0.9937641818785463,0.7300184974207347,-0.26374568445781166,-0.13407930024161768,-0.007065377538399253,-0.029901409720472796,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,6,0.6627406723040489,3.6173165459458017,0.1548438814037745,0.9897862396222811,0.7058718597854319,-0.2839143798368492,-0.18238745771120257,-0.004893298920097766,-0.04830815746958489,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,7,0.6193986179280316,3.5776924107598487,0.1475780757897147,0.988878444872506,0.7013079184804962,-0.28757052639200975,-0.1911446777593644,-0.007265805614059789,-0.008757220048161818,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,8,0.56833547828646,3.5169486515632222,0.13911773581030504,0.9918171962812664,0.7184789823000738,-0.2733382139811926,-0.15705537370786501,-0.008460339979409676,0.034089304051499375,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,9,0.5837877737976827,3.51415935043158,0.1424585911189571,0.993208124889956,0.7373535700935164,-0.2558545547964396,-0.11517842801709678,0.003340855308652052,0.04187694569076823,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,10,0.6196095478860547,3.537095243058555,0.14906267802223422,0.9910759597296227,0.7365390590638313,-0.2545369006657914,-0.1120223764214164,0.006604086903277129,0.003156051595680387,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,11,0.6104965959076118,3.520164774391617,0.14779633118736793,0.98988605494441,0.7362570303522945,-0.25362902459211545,-0.10984782722496271,-0.0012663468348662887,0.0021745491964536845,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,12,0.5726729150750791,3.476789845304978,0.14141947931417242,0.9916405795527868,0.7484792506503983,-0.2431613289023885,-0.08477555149171917,-0.006376851873195505,0.02507227573324354,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,13,0.5368820428757642,3.431942064551437,0.13527483918247998,0.991393258705381,0.7533133227337961,-0.23807993597158483,-0.0726045743782846,-0.0061446401316924415,0.012170977113434567,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,14,0.4223489387052322,3.345612201655781,0.11208951551574824,0.9957833550496112,0.7612387304728578,-0.2345446245767534,-0.06413677929506667,-0.023185323666731747,0.008467795083217933,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,15,0.3728790103938146,3.2964709416027764,0.10161990959486468,0.9974052176187638,0.7724700686475356,-0.22493514897122813,-0.04112011649027586,-0.010469605920883557,0.02301666280479081,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,16,0.3374952901115705,3.2697279772454895,0.09356096506852665,0.9983910113650668,0.7755157027545911,-0.22287530861047566,-0.03618637681899995,-0.008058944526338027,0.004933739671275909,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,17,0.31070275041976236,3.2562153308422,0.08710678051508178,0.9986272577062324,0.769936534825285,-0.22869072288094738,-0.0501154854226634,-0.006454184553444875,-0.013929108603663448,0.4175008204719022,True
W045,P,C0_full_stage,main_full_stage,18,0.24925535220406173,3.203223483326993,0.07219605508913182,0.9970240305442629,0.7518013549814866,-0.24522267556277633,-0.08971289905922306,-0.014910725425949956,-0.03959741363655966,0.4175008204719022,True
