lineage_id,lineage_day,lineage_month_day,lineage_status,lineage_strict_accepted_flag,lineage_strict_accepted_window_id,config_id,reference_config_id,sensitivity_group,changed_factor,changed_value,input_source,object,baseline_candidate_id,baseline_candidate_day,baseline_candidate_source,baseline_object_support_class,assigned_candidate_available,assignment_class,candidate_selection_basis,assigned_candidate_id,assigned_candidate_day,assigned_candidate_date,assigned_peak_score,assigned_registry_rank,object_support_class,nearest_joint_candidate_day,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,was_v10_window_conditioned_main_peak,v10_window_id_if_main,candidate_provenance_class,distance_to_lineage_day,distance_to_baseline_object_candidate,candidate_shift_class
J096_W004,96,07-06,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Jw,CP003,104,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP003,104.0,07-14,25.06998583750547,3.0,object_candidate,96.0,derived_non_strict_candidate_window,W004,,True,W113,BASELINE_MAIN_CANDIDATE,8.0,0.0,SAME_DAY
W113,113,07-23,strict_accepted_main_window,True,W113,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,P,CP007,113,V10_WINDOW_CONDITIONED_MAIN,object_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP007,113.0,07-23,26.61681235144173,7.0,object_candidate,113.0,strict_accepted_main_window,W005,W113,True,W113,BASELINE_MAIN_CANDIDATE,0.0,0.0,SAME_DAY
W113,113,07-23,strict_accepted_main_window,True,W113,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,V,CP007,114,V10_WINDOW_CONDITIONED_MAIN,object_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP007,114.0,07-24,20.004865865386734,7.0,object_candidate,113.0,strict_accepted_main_window,W005,W113,True,W113,BASELINE_MAIN_CANDIDATE,1.0,0.0,SAME_DAY
W113,113,07-23,strict_accepted_main_window,True,W113,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,H,CP006,115,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP006,115.0,07-25,34.607065236011024,6.0,object_strong_candidate,113.0,strict_accepted_main_window,W005,W113,True,W113,BASELINE_MAIN_CANDIDATE,2.0,0.0,SAME_DAY
W113,113,07-23,strict_accepted_main_window,True,W113,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Je,CP006,111,V10_WINDOW_CONDITIONED_MAIN,object_strong_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP006,111.0,07-21,16.652666002833563,6.0,object_strong_candidate,113.0,strict_accepted_main_window,W005,W113,True,W113,BASELINE_MAIN_CANDIDATE,2.0,0.0,SAME_DAY
W113,113,07-23,strict_accepted_main_window,True,W113,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Jw,CP003,104,V10_WINDOW_CONDITIONED_MAIN,object_candidate,True,BASELINE_MAIN_CANDIDATE,baseline,CP003,104.0,07-14,25.06998583750547,3.0,object_candidate,96.0,derived_non_strict_candidate_window,W004,,True,W113,BASELINE_MAIN_CANDIDATE,9.0,0.0,SAME_DAY
J132_W006,132,08-11,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,P,CP008,126,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP008,126.0,08-05,5.946778876241709,8.0,object_candidate,132.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,6.0,0.0,SAME_DAY
J132_W006,132,08-11,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,V,CP008,136,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP008,136.0,08-15,8.498506242322458,8.0,object_candidate,135.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,4.0,0.0,SAME_DAY
J132_W006,132,08-11,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,H,CP007,129,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP007,129.0,08-08,4.241067494898854,7.0,object_candidate,132.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,3.0,0.0,SAME_DAY
J132_W006,132,08-11,derived_non_strict_candidate_window,False,,BASELINE,BASELINE,baseline,none,baseline,baseline_smooth9,Je,CP007,136,OBJECT_NATIVE_NEAREST_TO_LINEAGE,object_candidate,True,BASELINE_OBJECT_NATIVE_CANDIDATE,baseline,CP007,136.0,08-15,14.318820217804232,7.0,object_candidate,135.0,derived_non_strict_candidate_window,W006,,False,,BASELINE_OBJECT_NATIVE_CANDIDATE,4.0,0.0,SAME_DAY
