lineage_id,lineage_day,lineage_status,lineage_strict_accepted_flag,lineage_strict_accepted_window_id,object,baseline_candidate_available,baseline_candidate_source,baseline_candidate_id,baseline_candidate_day,baseline_candidate_date,baseline_object_support_class,baseline_nearest_joint_candidate_day,baseline_nearest_joint_lineage_status,baseline_v10_window_id_if_selected,baseline_was_v10_window_conditioned_main_peak,baseline_distance_to_lineage_day
J018_W001,18,derived_non_strict_candidate_window,False,,P,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP001,18,04-19,object_weak_candidate,18,derived_non_strict_candidate_window,,False,0
J018_W001,18,derived_non_strict_candidate_window,False,,V,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP001,16,04-17,object_weak_candidate,18,derived_non_strict_candidate_window,,False,2
J018_W001,18,derived_non_strict_candidate_window,False,,H,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP001,19,04-20,object_weak_candidate,18,derived_non_strict_candidate_window,,False,1
J018_W001,18,derived_non_strict_candidate_window,False,,Je,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP001,26,04-27,object_candidate,18,derived_non_strict_candidate_window,,False,8
J018_W001,18,derived_non_strict_candidate_window,False,,Jw,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP001,41,05-12,object_candidate,45,strict_accepted_main_window,W045,True,23
W045,45,strict_accepted_main_window,True,W045,P,True,V10_WINDOW_CONDITIONED_MAIN,CP003,45,05-16,object_strong_candidate,45,strict_accepted_main_window,W045,True,0
W045,45,strict_accepted_main_window,True,W045,V,True,V10_WINDOW_CONDITIONED_MAIN,CP003,45,05-16,object_strong_candidate,45,strict_accepted_main_window,W045,True,0
W045,45,strict_accepted_main_window,True,W045,H,True,V10_WINDOW_CONDITIONED_MAIN,CP002,35,05-06,object_candidate,45,strict_accepted_main_window,W045,True,10
W045,45,strict_accepted_main_window,True,W045,Je,True,V10_WINDOW_CONDITIONED_MAIN,CP003,46,05-17,object_strong_candidate,45,strict_accepted_main_window,W045,True,1
W045,45,strict_accepted_main_window,True,W045,Jw,True,V10_WINDOW_CONDITIONED_MAIN,CP001,41,05-12,object_candidate,45,strict_accepted_main_window,W045,True,4
W081,81,strict_accepted_main_window,True,W081,P,True,V10_WINDOW_CONDITIONED_MAIN,CP005,82,06-22,object_candidate,81,strict_accepted_main_window,W081,True,1
W081,81,strict_accepted_main_window,True,W081,V,True,V10_WINDOW_CONDITIONED_MAIN,CP005,80,06-20,object_candidate,81,strict_accepted_main_window,W081,True,1
W081,81,strict_accepted_main_window,True,W081,H,True,V10_WINDOW_CONDITIONED_MAIN,CP004,77,06-17,object_candidate,81,strict_accepted_main_window,W081,True,4
W081,81,strict_accepted_main_window,True,W081,Je,True,V10_WINDOW_CONDITIONED_MAIN,CP004,81,06-21,object_weak_candidate,81,strict_accepted_main_window,W081,True,0
W081,81,strict_accepted_main_window,True,W081,Jw,True,V10_WINDOW_CONDITIONED_MAIN,CP002,83,06-23,object_candidate,81,strict_accepted_main_window,W081,True,2
J096_W004,96,derived_non_strict_candidate_window,False,,P,True,OBJECT_NATIVE_NEAREST_TO_LINEAGE,CP006,95,07-05,object_weak_candidate,96,derived_non_strict_candidate_window,,False,1
