window_id,anchor_day,field,bootstrap_id,profile_construction,feature_index,feature_lat_center,lat_bin_left,lat_bin_right,n_raw_lat_points,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary,sampled_year_indices
W002,45,H,0,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,2.7701315738240737,0.5141973421734747,0.3386630629370302,6.496096095488576,clear_separation,37.0,38.0,39.0,3.0,0.7905170144556116,1,1,1,monotonic_clear_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,1,17.0,16.0,18.0,8,40,48,30,60,30,37,53,60,2.571966562230955,0.26208923759406844,0.5623992856868654,6.238938419639716,clear_separation,38.0,39.0,41.0,4.0,0.8049065098575985,1,1,1,monotonic_clear_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,2,19.0,18.0,20.0,8,40,48,30,60,30,37,53,60,1.1334050638097324,0.33999065893124225,0.8851488778765315,1.8502464898995667,clear_separation,30.0,43.0,44.0,15.0,0.494108292263444,5,2,2,boundary_limited_progress,True,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,3,21.0,20.0,22.0,8,40,48,30,60,30,37,53,60,1.8389811456372627,1.1285726132532545,1.1922308135698358,1.5847797572007456,clear_separation,35.0,36.0,36.0,2.0,0.18175552736847161,3,3,3,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,4,23.0,22.0,24.0,8,40,48,30,60,30,37,53,60,6.11190633253409,2.171067217517475,1.4407807606164624,3.3843652166603224,clear_separation,35.0,37.0,38.0,4.0,0.6019878377788558,1,3,3,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,5,25.0,24.0,26.0,8,40,48,30,60,30,37,53,60,11.02440978658251,3.3128486414559575,1.6487171397285465,4.443923661512412,clear_separation,36.0,37.0,39.0,4.0,0.757525526026296,1,3,3,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,6,27.0,26.0,28.0,8,40,48,30,60,30,37,53,60,15.592148065036781,4.313965730694008,1.7556317182962857,5.137786548801674,clear_separation,36.0,37.0,39.0,4.0,0.8122724315560577,1,1,3,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,7,29.0,28.0,30.0,8,40,48,30,60,30,37,53,60,19.58818491614602,5.097165110042397,1.7475591809975413,5.723586249275852,clear_separation,36.0,38.0,40.0,5.0,0.856199421008721,1,3,3,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,8,31.0,30.0,32.0,8,40,48,30,60,30,37,53,60,23.987144994253867,5.763176700438862,1.7048623423540903,6.423947399524187,clear_separation,36.0,38.0,53.0,18.0,0.9029705183749781,1,3,1,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,9,33.0,32.0,34.0,8,40,48,30,60,30,37,53,60,29.717415606519353,6.2929117528725556,1.6529250358734089,7.4799964803208505,clear_separation,36.0,50.0,52.0,17.0,0.933444145028135,1,3,1,nonmonotonic_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
W002,45,H,0,latbin_mean_after_lon_mean,10,35.0,34.0,35.0,5,40,48,30,60,30,37,53,60,35.29448783650878,6.659515700576662,1.7300550824694483,8.413895954683282,clear_separation,37.0,50.0,52.0,16.0,0.9435780322922168,1,1,1,monotonic_clear_progress,False,False,26;25;0;38;32;12;19;37;38;0;31;1;3;23;30;28;34;18;35;41;17;27;8;17;4;31;37;12;21;34;14;9;2;8;3;16;40;6;5;24;25;18;0;30;40
