field,feature_index,feature_lat_center,lat_bin_left,lat_bin_right,lat_bin_rule,n_raw_lat_points,raw_lat_min,raw_lat_max,source_raw_lat_values,aggregation_method,lon_aggregation_before_lat_bin,lat_aggregation,area_weighted,note
H,0,15.0,15.0,16.0,left_closed_right_open_except_last_bin,4,15.0,15.75,15.75;15.5;15.25;15,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,1,17.0,16.0,18.0,left_closed_right_open_except_last_bin,8,16.0,17.75,17.75;17.5;17.25;17;16.75;16.5;16.25;16,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,2,19.0,18.0,20.0,left_closed_right_open_except_last_bin,8,18.0,19.75,19.75;19.5;19.25;19;18.75;18.5;18.25;18,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,3,21.0,20.0,22.0,left_closed_right_open_except_last_bin,8,20.0,21.75,21.75;21.5;21.25;21;20.75;20.5;20.25;20,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,4,23.0,22.0,24.0,left_closed_right_open_except_last_bin,8,22.0,23.75,23.75;23.5;23.25;23;22.75;22.5;22.25;22,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,5,25.0,24.0,26.0,left_closed_right_open_except_last_bin,8,24.0,25.75,25.75;25.5;25.25;25;24.75;24.5;24.25;24,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,6,27.0,26.0,28.0,left_closed_right_open_except_last_bin,8,26.0,27.75,27.75;27.5;27.25;27;26.75;26.5;26.25;26,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,7,29.0,28.0,30.0,left_closed_right_open_except_last_bin,8,28.0,29.75,29.75;29.5;29.25;29;28.75;28.5;28.25;28,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,8,31.0,30.0,32.0,left_closed_right_open_except_last_bin,8,30.0,31.75,31.75;31.5;31.25;31;30.75;30.5;30.25;30,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,9,33.0,32.0,34.0,left_closed_right_open_except_last_bin,8,32.0,33.75,33.75;33.5;33.25;33;32.75;32.5;32.25;32,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
H,10,35.0,34.0,35.0,left_closed_right_open_except_last_bin,5,34.0,35.0,35;34.75;34.5;34.25;34,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center."
