window_id,anchor_day,field,profile_construction,feature_index,feature_lat_center,lat_bin_left,lat_bin_right,n_raw_lat_points,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,2.726166716498483,0.7806222928691113,0.22062765369958015,5.445526815428413,clear_separation,36.0,38.0,40.0,5.0,0.8665376026325691,1,1,3,nonmonotonic_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,1,17.0,16.0,18.0,8,40,48,30,60,30,37,53,60,2.486207897699387,0.6180505726681531,0.15613729879532912,6.422750831766903,clear_separation,36.0,39.0,45.0,10.0,0.9199062460680392,1,1,1,monotonic_clear_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,2,19.0,18.0,20.0,8,40,48,30,60,30,37,53,60,0.7460414809011127,0.2477609699982395,0.27137498733861776,2.87416608445077,clear_separation,34.0,45.0,46.0,13.0,0.7871752455554148,3,3,3,nonmonotonic_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,3,21.0,20.0,22.0,8,40,48,30,60,30,37,53,60,2.720822769724691,0.4095539750011312,0.4970496059065681,6.002232567832079,clear_separation,37.0,38.0,40.0,4.0,0.7598537487524502,1,3,3,nonmonotonic_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,4,23.0,22.0,24.0,8,40,48,30,60,30,37,53,60,7.5128763174525375,1.2102930381706756,0.8126087643712481,7.427821071694763,clear_separation,37.0,39.0,42.0,6.0,0.8945580153384971,1,1,3,nonmonotonic_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,5,25.0,24.0,26.0,8,40,48,30,60,30,37,53,60,12.6724874372876,2.1584669142932853,1.1795658128311288,7.5927880121156655,clear_separation,37.0,39.0,43.0,7.0,0.9183929692231225,1,1,3,nonmonotonic_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,6,27.0,26.0,28.0,8,40,48,30,60,30,37,53,60,17.16100381275828,3.061491275721437,1.4838222785840571,7.551075897281134,clear_separation,37.0,39.0,43.0,7.0,0.9270517100143135,1,1,3,nonmonotonic_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,7,29.0,28.0,30.0,8,40,48,30,60,30,37,53,60,20.480287283905454,3.8101834114535222,1.6992328660926432,7.4346487003954325,clear_separation,37.0,39.0,51.0,15.0,0.9384633164089832,1,1,1,monotonic_clear_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,8,31.0,30.0,32.0,8,40,48,30,60,30,37,53,60,23.305130195908532,4.426893776545967,1.956711573348457,7.301557323335054,clear_separation,37.0,39.0,52.0,16.0,0.9544666576285701,1,1,1,monotonic_clear_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,9,33.0,32.0,34.0,8,40,48,30,60,30,37,53,60,26.81031055744279,4.903829115194071,2.3711312927551944,7.37057222418423,clear_separation,37.0,49.0,52.0,16.0,0.9653401255855282,1,1,1,monotonic_clear_progress,False,False
W002,45,H,latbin_mean_after_lon_mean,10,35.0,34.0,35.0,5,40,48,30,60,30,37,53,60,30.50444054158106,5.153486152511277,2.752649510662536,7.716649913727319,clear_separation,37.0,50.0,52.0,16.0,0.9661700709749779,1,1,1,monotonic_clear_progress,False,False
