window_id,anchor_day,field,profile_construction,feature_index,feature_lat_center,lat_bin_left,lat_bin_right,n_raw_lat_points,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,day,relative_to_anchor,raw_progress,progress
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,30,-15,-0.46647189656864113,0.0
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,31,-14,-0.36606535429783427,0.0
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,32,-13,-0.2443884074194035,0.0
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,33,-12,-0.06845153107640006,0.0
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,34,-11,0.08650493072581851,0.08650493072581851
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,35,-10,0.23940362987973662,0.23940362987973662
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,36,-9,0.3529306351127225,0.3529306351127225
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,37,-8,0.46653799364400134,0.46653799364400134
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,38,-7,0.5890296456749095,0.5890296456749095
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,39,-6,0.7056996015837633,0.7056996015837633
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,40,-5,0.8151646680485676,0.8151646680485676
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,41,-4,0.8578435855269138,0.8578435855269138
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,42,-3,0.8499459389867715,0.8499459389867715
W002,45,H,latbin_mean_after_lon_mean,0,15.0,15.0,16.0,4,40,48,30,60,30,37,53,60,43,-2,0.8230663212890621,0.8230663212890621
