field,feature_index,feature_lat_center,lat_bin_left,lat_bin_right,lat_bin_rule,n_raw_lat_points,raw_lat_min,raw_lat_max,source_raw_lat_values,aggregation_method,lon_aggregation_before_lat_bin,lat_aggregation,area_weighted,note,current_interp_lat_center,current_interp_available,n_valid_year_day_pairs,interp_minus_latbin_mean,interp_minus_latbin_mean_abs,interp_minus_latbin_std,interp_latbin_corr_over_all_year_day,construction_difference_note
H,0,15.0,15.0,16.0,left_closed_right_open_except_last_bin,4,15.0,15.75,15.75;15.5;15.25;15,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",15.0,True,7875,-0.19769580322241936,0.4686229824654552,0.529042212421445,0.9993999330187395,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,1,17.0,16.0,18.0,left_closed_right_open_except_last_bin,8,16.0,17.75,17.75;17.5;17.25;17;16.75;16.5;16.25;16,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",17.0,True,7875,0.07058079510635862,0.16685925128387422,0.18964818593056285,0.9999353846126755,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,2,19.0,18.0,20.0,left_closed_right_open_except_last_bin,8,18.0,19.75,19.75;19.5;19.25;19;18.75;18.5;18.25;18,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",19.0,True,7875,0.028801398677716313,0.20442214901451924,0.2500732080679447,0.9998824995575617,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,3,21.0,20.0,22.0,left_closed_right_open_except_last_bin,8,20.0,21.75,21.75;21.5;21.25;21;20.75;20.5;20.25;20,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",21.0,True,7875,-0.04152390935500813,0.2892426402955071,0.35683008335939637,0.9997872007055744,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,4,23.0,22.0,24.0,left_closed_right_open_except_last_bin,8,22.0,23.75,23.75;23.5;23.25;23;22.75;22.5;22.25;22,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",23.0,True,7875,-0.15361882210024255,0.40093297447181214,0.49152422007226837,0.9997635880126161,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,5,25.0,24.0,26.0,left_closed_right_open_except_last_bin,8,24.0,25.75,25.75;25.5;25.25;25;24.75;24.5;24.25;24,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",25.0,True,7875,-0.3054639577594288,0.5290308545894962,0.6222481835267342,0.9998439891838181,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,6,27.0,26.0,28.0,left_closed_right_open_except_last_bin,8,26.0,27.75,27.75;27.5;27.25;27;26.75;26.5;26.25;26,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",27.0,True,7875,-0.5133481067396216,0.6870821711646229,0.7373108887765962,0.9999125624619704,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,7,29.0,28.0,30.0,left_closed_right_open_except_last_bin,8,28.0,29.75,29.75;29.5;29.25;29;28.75;28.5;28.25;28,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",29.0,True,7875,-0.736417122629245,0.8612500947994413,0.8053578889353465,0.9999499678082678,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,8,31.0,30.0,32.0,left_closed_right_open_except_last_bin,8,30.0,31.75,31.75;31.5;31.25;31;30.75;30.5;30.25;30,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",31.0,True,7875,-0.9470051900779848,1.0326415627957672,0.8197320175031882,0.9999668735966762,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,9,33.0,32.0,34.0,left_closed_right_open_except_last_bin,8,32.0,33.75,33.75;33.5;33.25;33;32.75;32.5;32.25;32,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",33.0,True,7875,-1.2021621157589668,1.2434020597288031,0.8048150610650768,0.999975319583448,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
H,10,35.0,34.0,35.0,left_closed_right_open_except_last_bin,5,34.0,35.0,35;34.75;34.5;34.25;34,lat_bin_mean_after_lon_mean,nanmean_over_H_lon_range,nanmean_over_raw_latitudes_in_bin,False,"This feature is a true latitude-bin mean, not np.interp at the feature center.",35.0,True,7875,-5.750222983009217,5.791820982393388,2.9267964187767634,0.999643647576705,current profile is np.interp at center after lon-mean; latbin profile is raw-lat bin mean after lon-mean
