pc_phase,mode,window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,n_years_in_group,years_in_group,peak_source,detector_status
high,1,W160,P,CP001,154,144,164,front_or_early,unstable_window,system_relevant_first,CP002@139:unstable_window,CP002@139:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,V,CP001,148,138,158,front_or_early,unstable_window,system_relevant_first,,,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,H,CP003,167,157,168,late_or_catchup,unstable_window,system_relevant_first,CP001@130:unstable_window;CP002@145:unstable_window;CP004@160:unstable_window,CP001@130:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,Je,CP002,165,155,168,within_system_window,unstable_window,system_relevant_first,CP001@132:unstable_window;CP003@149:unstable_window,CP001@132:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
high,1,W160,Jw,CP001,148,138,158,front_or_early,unstable_window,system_relevant_first,CP002@140:unstable_window,CP002@140:unstable_window,,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998,v7_detector_zero_bootstrap,ok
low,1,W160,P,CP001,160,150,168,within_system_window,unstable_window,system_relevant_first,CP002@133:unstable_window;CP003@139:unstable_window;CP004@149:unstable_window,CP002@133:unstable_window;CP003@139:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,V,CP001,161,151,168,within_system_window,unstable_window,system_relevant_first,CP002@137:unstable_window,CP002@137:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,H,CP001,153,143,163,front_or_early,unstable_window,system_relevant_first,CP002@134:unstable_window,CP002@134:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,Je,CP001,159,149,168,within_system_window,unstable_window,system_relevant_first,CP002@135:unstable_window;CP003@142:unstable_window,CP002@135:unstable_window;CP003@142:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
low,1,W160,Jw,CP002,163,153,168,within_system_window,unstable_window,system_relevant_first,CP001@130:unstable_window,CP001@130:unstable_window,,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991,v7_detector_zero_bootstrap,ok
