window_id,mode,object_A,object_B,peak_A_high,peak_B_high,delta_high,order_high,peak_A_low,peak_B_low,delta_low,order_low,delta_shift_high_minus_low,order_changed_flag,order_contrast_type
W160,1,H,Je,167.0,165.0,-2.0,same_day_or_near,153.0,159.0,6.0,A_earlier,-8.0,True,synchrony_or_order_shift
W160,1,H,Jw,167.0,148.0,-19.0,B_earlier,153.0,163.0,10.0,A_earlier,-29.0,True,reversal_like
W160,1,Je,Jw,165.0,148.0,-17.0,B_earlier,159.0,163.0,4.0,same_day_or_near,-21.0,True,synchrony_or_order_shift
W160,1,P,H,154.0,167.0,13.0,A_earlier,160.0,153.0,-7.0,B_earlier,20.0,True,reversal_like
W160,1,P,Je,154.0,165.0,11.0,A_earlier,160.0,159.0,-1.0,same_day_or_near,12.0,True,synchrony_or_order_shift
W160,1,P,Jw,154.0,148.0,-6.0,B_earlier,160.0,163.0,3.0,same_day_or_near,-9.0,True,synchrony_or_order_shift
W160,1,P,V,154.0,148.0,-6.0,B_earlier,160.0,161.0,1.0,same_day_or_near,-7.0,True,synchrony_or_order_shift
W160,1,V,H,148.0,167.0,19.0,A_earlier,161.0,153.0,-8.0,B_earlier,27.0,True,reversal_like
W160,1,V,Je,148.0,165.0,17.0,A_earlier,161.0,159.0,-2.0,same_day_or_near,19.0,True,synchrony_or_order_shift
W160,1,V,Jw,148.0,148.0,0.0,same_day_or_near,161.0,163.0,2.0,same_day_or_near,-2.0,False,lead_lag_strengthened_in_low
W160,2,H,Je,157.0,155.0,-2.0,same_day_or_near,157.0,165.0,8.0,A_earlier,-10.0,True,synchrony_or_order_shift
W160,2,H,Jw,157.0,166.0,9.0,A_earlier,157.0,151.0,-6.0,B_earlier,15.0,True,reversal_like
W160,2,Je,Jw,155.0,166.0,11.0,A_earlier,165.0,151.0,-14.0,B_earlier,25.0,True,reversal_like
W160,2,P,H,158.0,157.0,-1.0,same_day_or_near,165.0,157.0,-8.0,B_earlier,7.0,True,synchrony_or_order_shift
W160,2,P,Je,158.0,155.0,-3.0,same_day_or_near,165.0,165.0,0.0,same_day_or_near,-3.0,False,lead_lag_strengthened_in_high
W160,2,P,Jw,158.0,166.0,8.0,A_earlier,165.0,151.0,-14.0,B_earlier,22.0,True,reversal_like
W160,2,P,V,158.0,158.0,0.0,same_day_or_near,165.0,162.0,-3.0,same_day_or_near,3.0,False,lead_lag_strengthened_in_low
W160,2,V,H,158.0,157.0,-1.0,same_day_or_near,162.0,157.0,-5.0,B_earlier,4.0,True,synchrony_or_order_shift
W160,2,V,Je,158.0,155.0,-3.0,same_day_or_near,162.0,165.0,3.0,same_day_or_near,-6.0,False,no_clear_order_change
W160,2,V,Jw,158.0,166.0,8.0,A_earlier,162.0,151.0,-11.0,B_earlier,19.0,True,reversal_like
W160,3,H,Je,160.0,166.0,6.0,A_earlier,156.0,161.0,5.0,A_earlier,1.0,False,no_clear_order_change
W160,3,H,Jw,160.0,157.0,-3.0,same_day_or_near,156.0,149.0,-7.0,B_earlier,4.0,True,synchrony_or_order_shift
W160,3,Je,Jw,166.0,157.0,-9.0,B_earlier,161.0,149.0,-12.0,B_earlier,3.0,False,lead_lag_strengthened_in_low
W160,3,P,H,159.0,160.0,1.0,same_day_or_near,161.0,156.0,-5.0,B_earlier,6.0,True,synchrony_or_order_shift
W160,3,P,Je,159.0,166.0,7.0,A_earlier,161.0,161.0,0.0,same_day_or_near,7.0,True,synchrony_or_order_shift
W160,3,P,Jw,159.0,157.0,-2.0,same_day_or_near,161.0,149.0,-12.0,B_earlier,10.0,True,synchrony_or_order_shift
W160,3,P,V,159.0,155.0,-4.0,same_day_or_near,161.0,165.0,4.0,same_day_or_near,-8.0,False,no_clear_order_change
W160,3,V,H,155.0,160.0,5.0,A_earlier,165.0,156.0,-9.0,B_earlier,14.0,True,reversal_like
W160,3,V,Je,155.0,166.0,11.0,A_earlier,165.0,161.0,-4.0,same_day_or_near,15.0,True,synchrony_or_order_shift
W160,3,V,Jw,155.0,157.0,2.0,same_day_or_near,165.0,149.0,-16.0,B_earlier,18.0,True,synchrony_or_order_shift
