window_id,mode,pc_phase,object_A,object_B,peak_A,peak_B,delta_B_minus_A,tau_sync_primary_used,order_label,n_years_in_group,years_in_group
W160,1,high,P,V,154.0,148.0,-6.0,4.0,B_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,P,H,154.0,167.0,13.0,4.0,A_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,P,Je,154.0,165.0,11.0,4.0,A_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,P,Jw,154.0,148.0,-6.0,4.0,B_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,V,H,148.0,167.0,19.0,4.0,A_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,V,Je,148.0,165.0,17.0,4.0,A_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,V,Jw,148.0,148.0,0.0,4.0,same_day_or_near,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,H,Je,167.0,165.0,-2.0,4.0,same_day_or_near,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,H,Jw,167.0,148.0,-19.0,4.0,B_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,high,Je,Jw,165.0,148.0,-17.0,4.0,B_earlier,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,low,P,V,160.0,161.0,1.0,4.0,same_day_or_near,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,P,H,160.0,153.0,-7.0,4.0,B_earlier,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,P,Je,160.0,159.0,-1.0,4.0,same_day_or_near,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,P,Jw,160.0,163.0,3.0,4.0,same_day_or_near,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,V,H,161.0,153.0,-8.0,4.0,B_earlier,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,V,Je,161.0,159.0,-2.0,4.0,same_day_or_near,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,V,Jw,161.0,163.0,2.0,4.0,same_day_or_near,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,H,Je,153.0,159.0,6.0,4.0,A_earlier,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,1,low,H,Jw,153.0,163.0,10.0,4.0,A_earlier,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
