smoothing,window_id,object,config_id,detector_scale,detector_width,band_half_width,search_mode,search_start_day,search_end_day,selection_rule,selected_peak_day,selected_peak_date,selected_window_start,selected_window_end,selected_candidate_id,candidate_rank_by_score,detector_score,distance_to_anchor,overlap_with_system_window,support_class,relation_to_system_window,detector_source,is_v9_baseline_peak,v9_baseline_peak_day,delta_from_v9_baseline,selected_peak_day_int,cluster_id
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,30,60,baseline_rule,48,5月19日,40,56,CP005,5,41.68456740955957,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,13,48,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,30,60,max_score,32,5月3日,24,40,CP001,1,117.66006026042568,13.0,1.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-3,32,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,30,60,closest_anchor,48,5月19日,40,56,CP005,5,41.68456740955957,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,13,48,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow,16,8,narrow_search,30,60,max_overlap,48,5月19日,40,56,CP005,5,41.68456740955957,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,13,48,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__baseline_rule,narrow,16,8,baseline_search,0,69,baseline_rule,38,5月9日,30,46,CP005,5,82.9552207738364,7.0,7.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,3,38,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__max_score,narrow,16,8,baseline_search,0,69,max_score,18,4月19日,10,26,CP001,1,138.65485903747563,27.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,35,-17,18,C01_017_019
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__closest_anchor,narrow,16,8,baseline_search,0,69,closest_anchor,38,5月9日,30,46,CP005,5,82.9552207738364,7.0,7.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,3,38,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__max_overlap,narrow,16,8,baseline_search,0,69,max_overlap,38,5月9日,30,46,CP005,5,82.9552207738364,7.0,7.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,3,38,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__wide_search__baseline_rule,narrow,16,8,wide_search,0,74,baseline_rule,32,5月3日,24,40,CP002,2,117.66006026042568,13.0,1.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-3,32,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__wide_search__max_score,narrow,16,8,wide_search,0,74,max_score,18,4月19日,10,26,CP001,1,138.65485903747563,27.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,35,-17,18,C01_017_019
smooth9,W045,H,smooth9__narrow_w16_b8__wide_search__closest_anchor,narrow,16,8,wide_search,0,74,closest_anchor,32,5月3日,24,40,CP002,2,117.66006026042568,13.0,1.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-3,32,C02_030_048
smooth9,W045,H,smooth9__narrow_w16_b8__wide_search__max_overlap,narrow,16,8,wide_search,0,74,max_overlap,32,5月3日,24,40,CP002,2,117.66006026042568,13.0,1.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-3,32,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__narrow_search__baseline_rule,baseline,20,10,narrow_search,30,60,baseline_rule,43,5月14日,33,53,CP005,5,44.90420627061856,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,8,43,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__narrow_search__max_score,baseline,20,10,narrow_search,30,60,max_score,31,5月2日,21,41,CP001,1,136.24079212778938,14.0,2.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-4,31,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__narrow_search__closest_anchor,baseline,20,10,narrow_search,30,60,closest_anchor,43,5月14日,33,53,CP005,5,44.90420627061856,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,8,43,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__narrow_search__max_overlap,baseline,20,10,narrow_search,30,60,max_overlap,43,5月14日,33,53,CP005,5,44.90420627061856,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,8,43,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__baseline_search__baseline_rule,baseline,20,10,baseline_search,0,69,baseline_rule,35,5月6日,25,45,CP002,2,10.10918859242761,10.0,6.0,candidate_window,front_or_early,v9_original_candidates,True,35,0,35,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__baseline_search__max_score,baseline,20,10,baseline_search,0,69,max_score,19,4月20日,9,29,CP001,1,156.81421165995815,26.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,35,-16,19,C01_017_019
smooth9,W045,H,smooth9__baseline_w20_b10__baseline_search__closest_anchor,baseline,20,10,baseline_search,0,69,closest_anchor,37,5月8日,27,47,CP005,5,105.83511487559116,8.0,8.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,2,37,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__baseline_search__max_overlap,baseline,20,10,baseline_search,0,69,max_overlap,37,5月8日,27,47,CP005,5,105.83511487559116,8.0,8.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,2,37,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__wide_search__baseline_rule,baseline,20,10,wide_search,0,74,baseline_rule,31,5月2日,21,41,CP002,2,136.24079212778938,14.0,2.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-4,31,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__wide_search__max_score,baseline,20,10,wide_search,0,74,max_score,19,4月20日,9,29,CP001,1,156.81421165995815,26.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,35,-16,19,C01_017_019
smooth9,W045,H,smooth9__baseline_w20_b10__wide_search__closest_anchor,baseline,20,10,wide_search,0,74,closest_anchor,31,5月2日,21,41,CP002,2,136.24079212778938,14.0,2.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-4,31,C02_030_048
smooth9,W045,H,smooth9__baseline_w20_b10__wide_search__max_overlap,baseline,20,10,wide_search,0,74,max_overlap,31,5月2日,21,41,CP002,2,136.24079212778938,14.0,2.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-4,31,C02_030_048
smooth9,W045,H,smooth9__wide_w24_b12__narrow_search__baseline_rule,wide,24,12,narrow_search,30,60,baseline_rule,42,5月13日,30,54,CP005,5,71.01729517470953,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,7,42,C02_030_048
smooth9,W045,H,smooth9__wide_w24_b12__narrow_search__max_score,wide,24,12,narrow_search,30,60,max_score,30,5月1日,18,42,CP001,1,156.86342039502395,15.0,3.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-5,30,C02_030_048
smooth9,W045,H,smooth9__wide_w24_b12__narrow_search__closest_anchor,wide,24,12,narrow_search,30,60,closest_anchor,42,5月13日,30,54,CP005,5,71.01729517470953,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,7,42,C02_030_048
smooth9,W045,H,smooth9__wide_w24_b12__narrow_search__max_overlap,wide,24,12,narrow_search,30,60,max_overlap,36,5月7日,24,48,CP002,2,128.70173943956823,9.0,9.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,1,36,C02_030_048
