window_id,object,cluster_pair,cluster_1,cluster_2,day_gap,amplitude_relative_difference,centroid_difference,spread_difference,shape_distance,distinctness_score,distinctness_status,interpretation_allowed,unavailable_reason
W045,H,C01_017_019__vs__C02_030_048,C01_017_019,C02_030_048,20.0,0.003736645810199729,0.018223151570886387,0.0011033220643144048,0.004878269903223769,0,NOT_DISTINCT,False,
W045,Jw,C01_041_043__vs__C02_048_049,C01_041_043,C02_048_049,5.0,0.0008414698920301867,0.24997181690821435,0.12521616917022094,0.062434847128264546,0,NOT_DISTINCT,False,
