window_id,object,config_id,search_mode,search_start,search_end,selected_day,cluster_id,distance_to_anchor,distance_to_left_boundary,distance_to_right_boundary,boundary_risk_flag,outside_core_window_flag,outside_system_window_flag
W045,H,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow_search,30.0,60.0,48.0,C02_030_048,3.0,18.0,12.0,False,True,False
W045,H,smooth9__narrow_w16_b8__narrow_search__max_score,narrow_search,30.0,60.0,32.0,C02_030_048,13.0,2.0,28.0,True,True,True
W045,H,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow_search,30.0,60.0,48.0,C02_030_048,3.0,18.0,12.0,False,True,False
W045,H,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow_search,30.0,60.0,48.0,C02_030_048,3.0,18.0,12.0,False,True,False
W045,H,smooth9__narrow_w16_b8__baseline_search__baseline_rule,baseline_search,0.0,69.0,38.0,C02_030_048,7.0,38.0,31.0,False,True,True
W045,H,smooth9__narrow_w16_b8__baseline_search__max_score,baseline_search,0.0,69.0,18.0,C01_017_019,27.0,18.0,51.0,False,True,True
W045,H,smooth9__narrow_w16_b8__baseline_search__closest_anchor,baseline_search,0.0,69.0,38.0,C02_030_048,7.0,38.0,31.0,False,True,True
W045,H,smooth9__narrow_w16_b8__baseline_search__max_overlap,baseline_search,0.0,69.0,38.0,C02_030_048,7.0,38.0,31.0,False,True,True
W045,H,smooth9__narrow_w16_b8__wide_search__baseline_rule,wide_search,0.0,74.0,32.0,C02_030_048,13.0,32.0,42.0,False,True,True
W045,H,smooth9__narrow_w16_b8__wide_search__max_score,wide_search,0.0,74.0,18.0,C01_017_019,27.0,18.0,56.0,False,True,True
W045,H,smooth9__narrow_w16_b8__wide_search__closest_anchor,wide_search,0.0,74.0,32.0,C02_030_048,13.0,32.0,42.0,False,True,True
W045,H,smooth9__narrow_w16_b8__wide_search__max_overlap,wide_search,0.0,74.0,32.0,C02_030_048,13.0,32.0,42.0,False,True,True
W045,H,smooth9__baseline_w20_b10__narrow_search__baseline_rule,narrow_search,30.0,60.0,43.0,C02_030_048,2.0,13.0,17.0,False,False,False
W045,H,smooth9__baseline_w20_b10__narrow_search__max_score,narrow_search,30.0,60.0,31.0,C02_030_048,14.0,1.0,29.0,True,True,True
W045,H,smooth9__baseline_w20_b10__narrow_search__closest_anchor,narrow_search,30.0,60.0,43.0,C02_030_048,2.0,13.0,17.0,False,False,False
W045,H,smooth9__baseline_w20_b10__narrow_search__max_overlap,narrow_search,30.0,60.0,43.0,C02_030_048,2.0,13.0,17.0,False,False,False
W045,H,smooth9__baseline_w20_b10__baseline_search__baseline_rule,baseline_search,0.0,69.0,35.0,C02_030_048,10.0,35.0,34.0,False,True,True
W045,H,smooth9__baseline_w20_b10__baseline_search__max_score,baseline_search,0.0,69.0,19.0,C01_017_019,26.0,19.0,50.0,False,True,True
W045,H,smooth9__baseline_w20_b10__baseline_search__closest_anchor,baseline_search,0.0,69.0,37.0,C02_030_048,8.0,37.0,32.0,False,True,True
W045,H,smooth9__baseline_w20_b10__baseline_search__max_overlap,baseline_search,0.0,69.0,37.0,C02_030_048,8.0,37.0,32.0,False,True,True
W045,H,smooth9__baseline_w20_b10__wide_search__baseline_rule,wide_search,0.0,74.0,31.0,C02_030_048,14.0,31.0,43.0,False,True,True
W045,H,smooth9__baseline_w20_b10__wide_search__max_score,wide_search,0.0,74.0,19.0,C01_017_019,26.0,19.0,55.0,False,True,True
W045,H,smooth9__baseline_w20_b10__wide_search__closest_anchor,wide_search,0.0,74.0,31.0,C02_030_048,14.0,31.0,43.0,False,True,True
W045,H,smooth9__baseline_w20_b10__wide_search__max_overlap,wide_search,0.0,74.0,31.0,C02_030_048,14.0,31.0,43.0,False,True,True
W045,H,smooth9__wide_w24_b12__narrow_search__baseline_rule,narrow_search,30.0,60.0,42.0,C02_030_048,3.0,12.0,18.0,False,False,False
W045,H,smooth9__wide_w24_b12__narrow_search__max_score,narrow_search,30.0,60.0,30.0,C02_030_048,15.0,0.0,30.0,True,True,True
W045,H,smooth9__wide_w24_b12__narrow_search__closest_anchor,narrow_search,30.0,60.0,42.0,C02_030_048,3.0,12.0,18.0,False,False,False
W045,H,smooth9__wide_w24_b12__narrow_search__max_overlap,narrow_search,30.0,60.0,36.0,C02_030_048,9.0,6.0,24.0,False,True,True
W045,H,smooth9__wide_w24_b12__baseline_search__baseline_rule,baseline_search,0.0,69.0,37.0,C02_030_048,8.0,37.0,32.0,False,True,True
W045,H,smooth9__wide_w24_b12__baseline_search__max_score,baseline_search,0.0,69.0,19.0,C01_017_019,26.0,19.0,50.0,False,True,True
W045,H,smooth9__wide_w24_b12__baseline_search__closest_anchor,baseline_search,0.0,69.0,37.0,C02_030_048,8.0,37.0,32.0,False,True,True
W045,H,smooth9__wide_w24_b12__baseline_search__max_overlap,baseline_search,0.0,69.0,37.0,C02_030_048,8.0,37.0,32.0,False,True,True
W045,H,smooth9__wide_w24_b12__wide_search__baseline_rule,wide_search,0.0,74.0,31.0,C02_030_048,14.0,31.0,43.0,False,True,True
W045,H,smooth9__wide_w24_b12__wide_search__max_score,wide_search,0.0,74.0,19.0,C01_017_019,26.0,19.0,55.0,False,True,True
W045,H,smooth9__wide_w24_b12__wide_search__closest_anchor,wide_search,0.0,74.0,31.0,C02_030_048,14.0,31.0,43.0,False,True,True
W045,H,smooth9__wide_w24_b12__wide_search__max_overlap,wide_search,0.0,74.0,31.0,C02_030_048,14.0,31.0,43.0,False,True,True
W045,H,smooth5__narrow_w16_b8__narrow_search__baseline_rule,narrow_search,30.0,60.0,46.0,C02_030_048,1.0,16.0,14.0,False,True,False
W045,H,smooth5__narrow_w16_b8__narrow_search__max_score,narrow_search,30.0,60.0,33.0,C02_030_048,12.0,3.0,27.0,False,True,True
W045,H,smooth5__narrow_w16_b8__narrow_search__closest_anchor,narrow_search,30.0,60.0,46.0,C02_030_048,1.0,16.0,14.0,False,True,False
W045,H,smooth5__narrow_w16_b8__narrow_search__max_overlap,narrow_search,30.0,60.0,46.0,C02_030_048,1.0,16.0,14.0,False,True,False
W045,H,smooth5__narrow_w16_b8__baseline_search__baseline_rule,baseline_search,0.0,69.0,39.0,C02_030_048,6.0,39.0,30.0,False,True,True
W045,H,smooth5__narrow_w16_b8__baseline_search__max_score,baseline_search,0.0,69.0,17.0,C01_017_019,28.0,17.0,52.0,False,True,True
W045,H,smooth5__narrow_w16_b8__baseline_search__closest_anchor,baseline_search,0.0,69.0,39.0,C02_030_048,6.0,39.0,30.0,False,True,True
W045,H,smooth5__narrow_w16_b8__baseline_search__max_overlap,baseline_search,0.0,69.0,39.0,C02_030_048,6.0,39.0,30.0,False,True,True
W045,H,smooth5__narrow_w16_b8__wide_search__baseline_rule,wide_search,0.0,74.0,39.0,C02_030_048,6.0,39.0,35.0,False,True,True
W045,H,smooth5__narrow_w16_b8__wide_search__max_score,wide_search,0.0,74.0,17.0,C01_017_019,28.0,17.0,57.0,False,True,True
W045,H,smooth5__narrow_w16_b8__wide_search__closest_anchor,wide_search,0.0,74.0,39.0,C02_030_048,6.0,39.0,35.0,False,True,True
W045,H,smooth5__narrow_w16_b8__wide_search__max_overlap,wide_search,0.0,74.0,39.0,C02_030_048,6.0,39.0,35.0,False,True,True
W045,H,smooth5__baseline_w20_b10__narrow_search__baseline_rule,narrow_search,30.0,60.0,48.0,C02_030_048,3.0,18.0,12.0,False,True,False
W045,H,smooth5__baseline_w20_b10__narrow_search__max_score,narrow_search,30.0,60.0,32.0,C02_030_048,13.0,2.0,28.0,True,True,True
W045,H,smooth5__baseline_w20_b10__narrow_search__closest_anchor,narrow_search,30.0,60.0,48.0,C02_030_048,3.0,18.0,12.0,False,True,False
W045,H,smooth5__baseline_w20_b10__narrow_search__max_overlap,narrow_search,30.0,60.0,38.0,C02_030_048,7.0,8.0,22.0,False,True,True
W045,H,smooth5__baseline_w20_b10__baseline_search__baseline_rule,baseline_search,0.0,69.0,38.0,C02_030_048,7.0,38.0,31.0,False,True,True
W045,H,smooth5__baseline_w20_b10__baseline_search__max_score,baseline_search,0.0,69.0,17.0,C01_017_019,28.0,17.0,52.0,False,True,True
W045,H,smooth5__baseline_w20_b10__baseline_search__closest_anchor,baseline_search,0.0,69.0,38.0,C02_030_048,7.0,38.0,31.0,False,True,True
W045,H,smooth5__baseline_w20_b10__baseline_search__max_overlap,baseline_search,0.0,69.0,38.0,C02_030_048,7.0,38.0,31.0,False,True,True
W045,H,smooth5__baseline_w20_b10__wide_search__baseline_rule,wide_search,0.0,74.0,38.0,C02_030_048,7.0,38.0,36.0,False,True,True
W045,H,smooth5__baseline_w20_b10__wide_search__max_score,wide_search,0.0,74.0,17.0,C01_017_019,28.0,17.0,57.0,False,True,True
W045,H,smooth5__baseline_w20_b10__wide_search__closest_anchor,wide_search,0.0,74.0,38.0,C02_030_048,7.0,38.0,36.0,False,True,True
W045,H,smooth5__baseline_w20_b10__wide_search__max_overlap,wide_search,0.0,74.0,38.0,C02_030_048,7.0,38.0,36.0,False,True,True
W045,H,smooth5__wide_w24_b12__narrow_search__baseline_rule,narrow_search,30.0,60.0,42.0,C02_030_048,3.0,12.0,18.0,False,False,False
W045,H,smooth5__wide_w24_b12__narrow_search__max_score,narrow_search,30.0,60.0,30.0,C02_030_048,15.0,0.0,30.0,True,True,True
W045,H,smooth5__wide_w24_b12__narrow_search__closest_anchor,narrow_search,30.0,60.0,42.0,C02_030_048,3.0,12.0,18.0,False,False,False
W045,H,smooth5__wide_w24_b12__narrow_search__max_overlap,narrow_search,30.0,60.0,36.0,C02_030_048,9.0,6.0,24.0,False,True,True
W045,H,smooth5__wide_w24_b12__baseline_search__baseline_rule,baseline_search,0.0,69.0,36.0,C02_030_048,9.0,36.0,33.0,False,True,True
W045,H,smooth5__wide_w24_b12__baseline_search__max_score,baseline_search,0.0,69.0,17.0,C01_017_019,28.0,17.0,52.0,False,True,True
W045,H,smooth5__wide_w24_b12__baseline_search__closest_anchor,baseline_search,0.0,69.0,36.0,C02_030_048,9.0,36.0,33.0,False,True,True
W045,H,smooth5__wide_w24_b12__baseline_search__max_overlap,baseline_search,0.0,69.0,36.0,C02_030_048,9.0,36.0,33.0,False,True,True
W045,H,smooth5__wide_w24_b12__wide_search__baseline_rule,wide_search,0.0,74.0,36.0,C02_030_048,9.0,36.0,38.0,False,True,True
W045,H,smooth5__wide_w24_b12__wide_search__max_score,wide_search,0.0,74.0,17.0,C01_017_019,28.0,17.0,57.0,False,True,True
W045,H,smooth5__wide_w24_b12__wide_search__closest_anchor,wide_search,0.0,74.0,36.0,C02_030_048,9.0,36.0,38.0,False,True,True
W045,H,smooth5__wide_w24_b12__wide_search__max_overlap,wide_search,0.0,74.0,36.0,C02_030_048,9.0,36.0,38.0,False,True,True
W045,Jw,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow_search,30.0,60.0,43.0,C01_041_043,2.0,13.0,17.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__narrow_search__max_score,narrow_search,30.0,60.0,49.0,C02_048_049,4.0,19.0,11.0,False,True,True
W045,Jw,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow_search,30.0,60.0,43.0,C01_041_043,2.0,13.0,17.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow_search,30.0,60.0,43.0,C01_041_043,2.0,13.0,17.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__baseline_search__baseline_rule,baseline_search,0.0,69.0,43.0,C01_041_043,2.0,43.0,26.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__baseline_search__max_score,baseline_search,0.0,69.0,69.0,C03_069_069,24.0,69.0,0.0,True,True,True
W045,Jw,smooth9__narrow_w16_b8__baseline_search__closest_anchor,baseline_search,0.0,69.0,43.0,C01_041_043,2.0,43.0,26.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__baseline_search__max_overlap,baseline_search,0.0,69.0,43.0,C01_041_043,2.0,43.0,26.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__wide_search__baseline_rule,wide_search,0.0,74.0,43.0,C01_041_043,2.0,43.0,31.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__wide_search__max_score,wide_search,0.0,74.0,74.0,C04_074_074,29.0,74.0,0.0,True,True,True
W045,Jw,smooth9__narrow_w16_b8__wide_search__closest_anchor,wide_search,0.0,74.0,43.0,C01_041_043,2.0,43.0,31.0,False,False,False
W045,Jw,smooth9__narrow_w16_b8__wide_search__max_overlap,wide_search,0.0,74.0,43.0,C01_041_043,2.0,43.0,31.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__narrow_search__baseline_rule,narrow_search,30.0,60.0,43.0,C01_041_043,2.0,13.0,17.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__narrow_search__max_score,narrow_search,30.0,60.0,49.0,C02_048_049,4.0,19.0,11.0,False,True,True
W045,Jw,smooth9__baseline_w20_b10__narrow_search__closest_anchor,narrow_search,30.0,60.0,43.0,C01_041_043,2.0,13.0,17.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__narrow_search__max_overlap,narrow_search,30.0,60.0,49.0,C02_048_049,4.0,19.0,11.0,False,True,True
W045,Jw,smooth9__baseline_w20_b10__baseline_search__baseline_rule,baseline_search,0.0,69.0,41.0,C01_041_043,4.0,41.0,28.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__baseline_search__max_score,baseline_search,0.0,69.0,69.0,C03_069_069,24.0,69.0,0.0,True,True,True
W045,Jw,smooth9__baseline_w20_b10__baseline_search__closest_anchor,baseline_search,0.0,69.0,43.0,C01_041_043,2.0,43.0,26.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__baseline_search__max_overlap,baseline_search,0.0,69.0,49.0,C02_048_049,4.0,49.0,20.0,False,True,True
W045,Jw,smooth9__baseline_w20_b10__wide_search__baseline_rule,wide_search,0.0,74.0,43.0,C01_041_043,2.0,43.0,31.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__wide_search__max_score,wide_search,0.0,74.0,74.0,C04_074_074,29.0,74.0,0.0,True,True,True
W045,Jw,smooth9__baseline_w20_b10__wide_search__closest_anchor,wide_search,0.0,74.0,43.0,C01_041_043,2.0,43.0,31.0,False,False,False
W045,Jw,smooth9__baseline_w20_b10__wide_search__max_overlap,wide_search,0.0,74.0,49.0,C02_048_049,4.0,49.0,25.0,False,True,True
W045,Jw,smooth9__wide_w24_b12__narrow_search__baseline_rule,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__narrow_search__max_score,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__narrow_search__closest_anchor,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__narrow_search__max_overlap,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__baseline_search__baseline_rule,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__baseline_search__max_score,baseline_search,0.0,69.0,69.0,C03_069_069,24.0,69.0,0.0,True,True,True
W045,Jw,smooth9__wide_w24_b12__baseline_search__closest_anchor,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__baseline_search__max_overlap,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__wide_search__baseline_rule,wide_search,0.0,74.0,48.0,C02_048_049,3.0,48.0,26.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__wide_search__max_score,wide_search,0.0,74.0,74.0,C04_074_074,29.0,74.0,0.0,True,True,True
W045,Jw,smooth9__wide_w24_b12__wide_search__closest_anchor,wide_search,0.0,74.0,48.0,C02_048_049,3.0,48.0,26.0,False,True,False
W045,Jw,smooth9__wide_w24_b12__wide_search__max_overlap,wide_search,0.0,74.0,48.0,C02_048_049,3.0,48.0,26.0,False,True,False
W045,Jw,smooth5__narrow_w16_b8__narrow_search__baseline_rule,narrow_search,30.0,60.0,42.0,C01_041_043,3.0,12.0,18.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__narrow_search__max_score,narrow_search,30.0,60.0,49.0,C02_048_049,4.0,19.0,11.0,False,True,True
W045,Jw,smooth5__narrow_w16_b8__narrow_search__closest_anchor,narrow_search,30.0,60.0,42.0,C01_041_043,3.0,12.0,18.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__narrow_search__max_overlap,narrow_search,30.0,60.0,42.0,C01_041_043,3.0,12.0,18.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__baseline_search__baseline_rule,baseline_search,0.0,69.0,42.0,C01_041_043,3.0,42.0,27.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__baseline_search__max_score,baseline_search,0.0,69.0,49.0,C02_048_049,4.0,49.0,20.0,False,True,True
W045,Jw,smooth5__narrow_w16_b8__baseline_search__closest_anchor,baseline_search,0.0,69.0,42.0,C01_041_043,3.0,42.0,27.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__baseline_search__max_overlap,baseline_search,0.0,69.0,42.0,C01_041_043,3.0,42.0,27.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__wide_search__baseline_rule,wide_search,0.0,74.0,42.0,C01_041_043,3.0,42.0,32.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__wide_search__max_score,wide_search,0.0,74.0,74.0,C04_074_074,29.0,74.0,0.0,True,True,True
W045,Jw,smooth5__narrow_w16_b8__wide_search__closest_anchor,wide_search,0.0,74.0,42.0,C01_041_043,3.0,42.0,32.0,False,False,False
W045,Jw,smooth5__narrow_w16_b8__wide_search__max_overlap,wide_search,0.0,74.0,42.0,C01_041_043,3.0,42.0,32.0,False,False,False
W045,Jw,smooth5__baseline_w20_b10__narrow_search__baseline_rule,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__narrow_search__max_score,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__narrow_search__closest_anchor,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__narrow_search__max_overlap,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__baseline_search__baseline_rule,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__baseline_search__max_score,baseline_search,0.0,69.0,69.0,C03_069_069,24.0,69.0,0.0,True,True,True
W045,Jw,smooth5__baseline_w20_b10__baseline_search__closest_anchor,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__baseline_search__max_overlap,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__wide_search__baseline_rule,wide_search,0.0,74.0,48.0,C02_048_049,3.0,48.0,26.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__wide_search__max_score,wide_search,0.0,74.0,74.0,C04_074_074,29.0,74.0,0.0,True,True,True
W045,Jw,smooth5__baseline_w20_b10__wide_search__closest_anchor,wide_search,0.0,74.0,48.0,C02_048_049,3.0,48.0,26.0,False,True,False
W045,Jw,smooth5__baseline_w20_b10__wide_search__max_overlap,wide_search,0.0,74.0,48.0,C02_048_049,3.0,48.0,26.0,False,True,False
W045,Jw,smooth5__wide_w24_b12__narrow_search__baseline_rule,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__wide_w24_b12__narrow_search__max_score,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__wide_w24_b12__narrow_search__closest_anchor,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__wide_w24_b12__narrow_search__max_overlap,narrow_search,30.0,60.0,48.0,C02_048_049,3.0,18.0,12.0,False,True,False
W045,Jw,smooth5__wide_w24_b12__baseline_search__baseline_rule,baseline_search,0.0,69.0,48.0,C02_048_049,3.0,48.0,21.0,False,True,False
