window_id,object,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,search_start_day,search_end_day,n_local_peaks,top1_day,top1_score,top2_day,top2_score,top1_top2_gap,top1_top2_relative_gap,score_plateau_width,boundary_peak_flag,landscape_type,unavailable_reason
W045,H,smooth9__narrow_w16_b8__narrow_search__baseline_rule,smooth9,16,8,narrow_search,baseline_rule,30,60,3,32,117.66006026042568,54,68.35734874106167,49.30271151936401,0.41902674034195364,5,True,EDGE_PEAK,
W045,Jw,smooth9__narrow_w16_b8__narrow_search__baseline_rule,smooth9,16,8,narrow_search,baseline_rule,30,60,3,49,28.93165550628509,60,20.805430289568037,8.126225216717053,0.28087660641997203,4,False,SHARP_SINGLE_PEAK,
W045,H,smooth9__narrow_w16_b8__narrow_search__max_score,smooth9,16,8,narrow_search,max_score,30,60,3,32,117.66006026042568,54,68.35734874106167,49.30271151936401,0.41902674034195364,5,True,EDGE_PEAK,
W045,Jw,smooth9__narrow_w16_b8__narrow_search__max_score,smooth9,16,8,narrow_search,max_score,30,60,3,49,28.93165550628509,60,20.805430289568037,8.126225216717053,0.28087660641997203,4,False,SHARP_SINGLE_PEAK,
W045,H,smooth9__narrow_w16_b8__narrow_search__closest_anchor,smooth9,16,8,narrow_search,closest_anchor,30,60,3,32,117.66006026042568,54,68.35734874106167,49.30271151936401,0.41902674034195364,5,True,EDGE_PEAK,
W045,Jw,smooth9__narrow_w16_b8__narrow_search__closest_anchor,smooth9,16,8,narrow_search,closest_anchor,30,60,3,49,28.93165550628509,60,20.805430289568037,8.126225216717053,0.28087660641997203,4,False,SHARP_SINGLE_PEAK,
W045,H,smooth9__narrow_w16_b8__narrow_search__max_overlap,smooth9,16,8,narrow_search,max_overlap,30,60,3,32,117.66006026042568,54,68.35734874106167,49.30271151936401,0.41902674034195364,5,True,EDGE_PEAK,
W045,Jw,smooth9__narrow_w16_b8__narrow_search__max_overlap,smooth9,16,8,narrow_search,max_overlap,30,60,3,49,28.93165550628509,60,20.805430289568037,8.126225216717053,0.28087660641997203,4,False,SHARP_SINGLE_PEAK,
W045,H,smooth9__narrow_w16_b8__baseline_search__baseline_rule,smooth9,16,8,baseline_search,baseline_rule,0,69,5,18,138.65485903747563,32,117.66006026042568,20.99479877704995,0.15141769226692212,4,False,MULTI_LOCAL_PEAK,
W045,Jw,smooth9__narrow_w16_b8__baseline_search__baseline_rule,smooth9,16,8,baseline_search,baseline_rule,0,69,4,69,30.27731467141755,49,28.93165550628509,1.34565916513246,0.04444446872967872,3,True,EDGE_PEAK,
W045,H,smooth9__narrow_w16_b8__baseline_search__max_score,smooth9,16,8,baseline_search,max_score,0,69,5,18,138.65485903747563,32,117.66006026042568,20.99479877704995,0.15141769226692212,4,False,MULTI_LOCAL_PEAK,
W045,Jw,smooth9__narrow_w16_b8__baseline_search__max_score,smooth9,16,8,baseline_search,max_score,0,69,4,69,30.27731467141755,49,28.93165550628509,1.34565916513246,0.04444446872967872,3,True,EDGE_PEAK,
