window_id,object,factor,factor_level,cluster_id,n_configs,fraction_within_factor_level,fraction_within_cluster
W045,Jw,search_mode,wide_search,C03_069_069,0,0.0,0.0
W045,Jw,search_mode,wide_search,C04_074_074,6,0.25,1.0
W045,Jw,selection_rule,baseline_rule,C01_041_043,9,0.5,0.375
W045,Jw,selection_rule,baseline_rule,C02_048_049,9,0.5,0.24324324324324326
W045,Jw,selection_rule,baseline_rule,C03_069_069,0,0.0,0.0
W045,Jw,selection_rule,baseline_rule,C04_074_074,0,0.0,0.0
W045,Jw,selection_rule,closest_anchor,C01_041_043,9,0.5,0.375
W045,Jw,selection_rule,closest_anchor,C02_048_049,9,0.5,0.24324324324324326
W045,Jw,selection_rule,closest_anchor,C03_069_069,0,0.0,0.0
W045,Jw,selection_rule,closest_anchor,C04_074_074,0,0.0,0.0
W045,Jw,selection_rule,max_overlap,C01_041_043,6,0.3333333333333333,0.25
W045,Jw,selection_rule,max_overlap,C02_048_049,12,0.6666666666666666,0.32432432432432434
W045,Jw,selection_rule,max_overlap,C03_069_069,0,0.0,0.0
W045,Jw,selection_rule,max_overlap,C04_074_074,0,0.0,0.0
W045,Jw,selection_rule,max_score,C01_041_043,0,0.0,0.0
W045,Jw,selection_rule,max_score,C02_048_049,7,0.3888888888888889,0.1891891891891892
W045,Jw,selection_rule,max_score,C03_069_069,5,0.2777777777777778,1.0
W045,Jw,selection_rule,max_score,C04_074_074,6,0.3333333333333333,1.0
