window_id,mode,pc_phase,object,selected_peak_day,selected_candidate_id,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,detector_status,peak_source,has_missing_peak,has_non_ok_detector_status,has_excluded_candidates,has_early_secondary_candidates,has_late_secondary_candidates,quality_flag,excluded_candidates,early_secondary_candidates,late_secondary_candidates
W045,1,high,H,38,CP001,28,48,front_or_early,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,False,False,usable_with_candidate_complexity,CP002@50:unstable_window,,
W045,1,high,Je,44,CP003,34,54,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP001@26:unstable_window;CP002@15:unstable_window;CP004@52:unstable_window,CP001@26:unstable_window;CP002@15:unstable_window,
W045,1,high,Jw,45,CP001,35,55,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,True,usable_with_candidate_complexity,CP002@58:unstable_window;CP003@20:unstable_window;CP004@35:unstable_window,CP003@20:unstable_window,CP002@58:unstable_window
W045,1,high,P,48,CP001,38,58,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,False,False,usable_with_candidate_complexity,CP002@31:unstable_window,,
W045,1,high,V,47,CP001,37,57,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP002@30:unstable_window;CP003@15:unstable_window,CP003@15:unstable_window,
W045,1,low,H,33,CP002,23,43,front_or_early,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP001@20:unstable_window,CP001@20:unstable_window,
W045,1,low,Je,46,CP001,36,56,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP002@34:unstable_window;CP003@23:unstable_window,CP003@23:unstable_window,
W045,1,low,Jw,41,CP001,31,51,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,True,usable_with_candidate_complexity,CP002@55:unstable_window;CP003@28:unstable_window,CP003@28:unstable_window,CP002@55:unstable_window
W045,1,low,P,45,CP001,35,55,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP002@52:unstable_window;CP003@23:unstable_window;CP004@35:unstable_window,CP003@23:unstable_window,
W045,1,low,V,43,CP002,33,53,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,False,False,usable_with_candidate_complexity,CP001@52:unstable_window;CP003@30:unstable_window,,
W045,2,high,H,47,CP002,37,57,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP001@20:unstable_window,CP001@20:unstable_window,
W045,2,high,Je,45,CP001,35,55,within_system_window,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,True,False,usable_with_candidate_complexity,CP002@27:unstable_window,CP002@27:unstable_window,
W045,2,high,Jw,39,CP001,29,49,front_or_early,unstable_window,system_relevant_first,ok,v7_detector_zero_bootstrap,False,False,True,False,True,usable_with_candidate_complexity,CP002@56:unstable_window,,CP002@56:unstable_window
