window_id,mode,pc_phase,tau_sync_primary_used,n_objects_with_peak,sequence_string,object_peak_days,n_years_in_group,years_in_group
W045,1,high,3.0,5,H(38) -> Je(44)/Jw(45)/V(47)/P(48),H:38;Je:44;Jw:45;P:48;V:47,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,low,3.0,5,H(33) -> Jw(41)/V(43)/P(45)/Je(46),H:33;Je:46;Jw:41;P:45;V:43,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013
W045,2,high,3.0,5,Jw(39) -> Je(45)/V(46)/H(47)/P(47),H:47;Je:45;Jw:39;P:47;V:46,15,1990;2005;2004;1981;2011;1988;1982;2020;2003;2002;1993;1985;1992;1998;1997
W045,2,low,3.0,5,H(44)/V(44)/P(47) -> Jw(49)/Je(50),H:44;Je:50;Jw:49;P:47;V:44,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012
W045,3,high,3.0,5,H(31) -> Jw(40)/P(42) -> V(46)/Je(48),H:31;Je:48;Jw:40;P:42;V:46,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020
W045,3,low,3.0,5,V(37)/P(39)/Jw(41) -> H(43) -> Je(49),H:43;Je:49;Jw:41;P:39;V:37,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019
W081,1,high,4.0,5,Je(69) -> H(83)/Jw(83)/V(85) -> P(88),H:83;Je:69;Jw:83;P:88;V:85,15,1996;1999;1988;2011;1987;2015;1980;2023;1998;2020;2018;2013;2016;1991;2021
W081,1,low,4.0,5,Je(73)/H(75)/V(75)/P(78) -> Jw(86),H:75;Je:73;Jw:86;P:78;V:75,15,1992;1982;1997;1979;1985;2002;1986;2003;1993;2012;2004;1983;2008;2007;1984
W081,2,high,4.0,5,V(70) -> Jw(79)/Je(82)/H(83)/P(83),H:83;Je:82;Jw:79;P:83;V:70,15,2010;2016;1980;2023;1993;2021;1987;1995;1991;2014;1982;1992;2020;2019;1983
W081,2,low,4.0,5,H(75)/Je(76)/P(78)/V(80) -> Jw(83),H:75;Je:76;Jw:83;P:78;V:80,15,1984;1981;2001;2000;2018;1994;2011;1985;2013;2008;2022;2012;2006;1990;2009
W081,3,high,4.0,5,Je(69)/Jw(73) -> H(76)/P(80)/V(80),H:76;Je:69;Jw:73;P:80;V:80,15,1981;2001;2003;1994;1993;1990;1996;2016;1979;2022;1997;2010;2017;2020;1998
W081,3,low,4.0,5,H(76)/V(76)/Je(79)/Jw(81)/P(82),H:76;Je:79;Jw:81;P:82;V:76,15,1987;1982;2004;2014;1991;1985;2018;1995;1986;2013;2015;2009;1983;1999;2000
W113,1,high,3.0,5,Jw(108)/V(108)/Je(111) -> P(113)/H(114),H:114;Je:111;Jw:108;P:113;V:108,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,low,3.0,5,Jw(103) -> Je(109) -> P(113)/V(114)/H(116),H:116;Je:109;Jw:103;P:113;V:114,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,2,high,3.0,5,Jw(101)/V(101)/P(104) -> H(109) -> Je(118),H:109;Je:118;Jw:101;P:104;V:101,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022
W113,2,low,3.0,5,V(105) -> P(112)/Jw(113)/Je(113) -> H(118),H:118;Je:113;Jw:113;P:112;V:105,15,1983;2015;1982;1980;1992;1987;1986;1993;1979;2002;2019;1999;2014;2004;1991
W113,3,high,3.0,5,Jw(104)/Je(104) -> H(109)/V(110) -> P(118),H:109;Je:104;Jw:104;P:118;V:110,15,2005;1989;1987;1981;1998;1988;2000;2017;1993;2015;1994;2014;1999;1980;2021
W113,3,low,3.0,5,Jw(113)/V(114)/Je(115)/P(116)/H(117),H:117;Je:115;Jw:113;P:116;V:114,15,2022;2016;1983;1979;2007;1992;2013;2020;2006;1986;2019;1985;1982;2010;1984
W160,1,high,4.0,5,Jw(148)/V(148) -> P(154) -> Je(165)/H(167),H:167;Je:165;Jw:148;P:154;V:148,15,1995;2005;1980;2023;1987;2009;1993;2014;2020;2003;2022;2010;2017;2021;1998
W160,1,low,4.0,5,H(153) -> Je(159)/P(160)/V(161)/Jw(163),H:153;Je:159;Jw:163;P:160;V:161,15,1986;1984;2000;1989;1981;1985;1990;1982;2012;2016;1997;2006;1992;1979;1991
W160,2,high,4.0,5,Je(155)/H(157)/P(158)/V(158) -> Jw(166),H:157;Je:155;Jw:166;P:158;V:158,15,1981;1988;1991;1996;2000;1997;2002;2009;1995;1982;1993;2015;2014;1987;1980
W160,2,low,4.0,5,Jw(151) -> H(157) -> V(162)/Je(165)/P(165),H:157;Je:165;Jw:151;P:165;V:162,15,2022;2010;2007;2016;2013;2023;2018;2006;1985;2012;2020;2005;2019;2003;1979
W160,3,high,4.0,5,V(155)/Jw(157)/P(159)/H(160) -> Je(166),H:160;Je:166;Jw:157;P:159;V:155,15,1998;1993;2023;1980;2016;2004;2015;2005;2007;1983;1999;2001;1989;2008;1988
W160,3,low,4.0,5,Jw(149) -> H(156) -> Je(161)/P(161)/V(165),H:156;Je:161;Jw:149;P:161;V:165,15,1995;1997;1994;2002;1990;2020;2009;2022;2011;2003;2012;1996;1992;2019;1987
