window_id,mode,object_A,object_B,peak_A_high,peak_B_high,delta_high,order_high,peak_A_low,peak_B_low,delta_low,order_low,delta_shift_high_minus_low,order_changed_flag,order_contrast_type
W045,1,H,Je,38.0,44.0,6.0,A_earlier,33.0,46.0,13.0,A_earlier,-7.0,False,lead_lag_strengthened_in_low
W045,1,H,Jw,38.0,45.0,7.0,A_earlier,33.0,41.0,8.0,A_earlier,-1.0,False,no_clear_order_change
W045,1,Je,Jw,44.0,45.0,1.0,same_day_or_near,46.0,41.0,-5.0,B_earlier,6.0,True,synchrony_or_order_shift
W045,1,P,H,48.0,38.0,-10.0,B_earlier,45.0,33.0,-12.0,B_earlier,2.0,False,lead_lag_strengthened_in_low
W045,1,P,Je,48.0,44.0,-4.0,B_earlier,45.0,46.0,1.0,same_day_or_near,-5.0,True,synchrony_or_order_shift
W045,1,P,Jw,48.0,45.0,-3.0,same_day_or_near,45.0,41.0,-4.0,B_earlier,1.0,True,synchrony_or_order_shift
W045,1,P,V,48.0,47.0,-1.0,same_day_or_near,45.0,43.0,-2.0,same_day_or_near,1.0,False,no_clear_order_change
W045,1,V,H,47.0,38.0,-9.0,B_earlier,43.0,33.0,-10.0,B_earlier,1.0,False,no_clear_order_change
W045,1,V,Je,47.0,44.0,-3.0,same_day_or_near,43.0,46.0,3.0,same_day_or_near,-6.0,False,no_clear_order_change
W045,1,V,Jw,47.0,45.0,-2.0,same_day_or_near,43.0,41.0,-2.0,same_day_or_near,0.0,False,no_clear_order_change
W045,2,H,Je,47.0,45.0,-2.0,same_day_or_near,44.0,50.0,6.0,A_earlier,-8.0,True,synchrony_or_order_shift
W045,2,H,Jw,47.0,39.0,-8.0,B_earlier,44.0,49.0,5.0,A_earlier,-13.0,True,reversal_like
W045,2,Je,Jw,45.0,39.0,-6.0,B_earlier,50.0,49.0,-1.0,same_day_or_near,-5.0,True,synchrony_or_order_shift
W045,2,P,H,47.0,47.0,0.0,same_day_or_near,47.0,44.0,-3.0,same_day_or_near,3.0,False,lead_lag_strengthened_in_low
W045,2,P,Je,47.0,45.0,-2.0,same_day_or_near,47.0,50.0,3.0,same_day_or_near,-5.0,False,no_clear_order_change
W045,2,P,Jw,47.0,39.0,-8.0,B_earlier,47.0,49.0,2.0,same_day_or_near,-10.0,True,synchrony_or_order_shift
W045,2,P,V,47.0,46.0,-1.0,same_day_or_near,47.0,44.0,-3.0,same_day_or_near,2.0,False,lead_lag_strengthened_in_low
W045,2,V,H,46.0,47.0,1.0,same_day_or_near,44.0,44.0,0.0,same_day_or_near,1.0,False,no_clear_order_change
W045,2,V,Je,46.0,45.0,-1.0,same_day_or_near,44.0,50.0,6.0,A_earlier,-7.0,True,synchrony_or_order_shift
W045,2,V,Jw,46.0,39.0,-7.0,B_earlier,44.0,49.0,5.0,A_earlier,-12.0,True,reversal_like
W045,3,H,Je,31.0,48.0,17.0,A_earlier,43.0,49.0,6.0,A_earlier,11.0,False,lead_lag_strengthened_in_high
W045,3,H,Jw,31.0,40.0,9.0,A_earlier,43.0,41.0,-2.0,same_day_or_near,11.0,True,synchrony_or_order_shift
W045,3,Je,Jw,48.0,40.0,-8.0,B_earlier,49.0,41.0,-8.0,B_earlier,0.0,False,no_clear_order_change
W045,3,P,H,42.0,31.0,-11.0,B_earlier,39.0,43.0,4.0,A_earlier,-15.0,True,reversal_like
W045,3,P,Je,42.0,48.0,6.0,A_earlier,39.0,49.0,10.0,A_earlier,-4.0,False,lead_lag_strengthened_in_low
