window_id,mode,pc_phase,year,pc_score,pc_score_z,pc_rank_low_to_high
W045,1,low,1984,-0.9573821103815888,-1.463041727379364,1
W045,1,low,2000,-0.9386748309059244,-1.4344538415374866,2
W045,1,low,1996,-0.9181666631226978,-1.4031138938889989,3
W045,1,low,2009,-0.8212827214597175,-1.255058851049905,4
W045,1,low,1992,-0.8154814655424587,-1.24619355120137,5
W045,1,low,1982,-0.7399382699279978,-1.1307507763625062,6
W045,1,low,1997,-0.67312916263455,-1.0286551651333382,7
W045,1,low,2008,-0.6577772081139552,-1.0051947831010186,8
W045,1,low,1989,-0.644023171057173,-0.9841762891101772,9
W045,1,low,1985,-0.625542595016625,-0.9559348444454628,10
W045,1,low,1981,-0.5611477703380362,-0.8575286652298275,11
W045,1,low,1979,-0.51642893740304,-0.7891907279797477,12
W045,1,low,2007,-0.505618162541993,-0.7726700362355584,13
W045,1,low,1999,-0.4255471389187615,-0.6503079746882893,14
W045,1,low,2013,-0.4105094003782537,-0.6273277677974224,15
W045,1,mid,2011,-0.3809423915854952,-0.5821443795258818,16
W045,1,mid,2012,-0.3674387428251818,-0.5615085211847032,17
W045,1,mid,1993,-0.3538641824078584,-0.5407642978427184,18
W045,1,mid,1990,-0.2812160928893426,-0.4297457345883699,19
W045,1,mid,2001,-0.2755815481872644,-0.4211351976621691,20
W045,1,mid,1986,-0.1447678215851546,-0.2212297069938708,21
W045,1,mid,1988,-0.0412238925702724,-0.0629970774900674,22
W045,1,mid,2022,-0.0274499748528762,-0.0419482024886234,23
W045,1,mid,2006,-0.0164666417523075,-0.0251638125803619,24
W045,1,mid,2014,-0.0003717151508997,-0.000568043595727,25
W045,1,mid,2005,0.0836396004409155,0.1278154502569756,26
W045,1,mid,2020,0.1011314360999663,0.1545459324543645,27
W045,1,mid,2004,0.1368293927077281,0.2090984455345563,28
W045,1,mid,2002,0.196159093697828,0.2997642594036497,29
W045,1,mid,2017,0.2470209418300691,0.3774897624626548,30
W045,1,high,1994,0.2757352436053986,0.4213700702460602,31
W045,1,high,2003,0.3335735591959636,0.5097567950790589,32
W045,1,high,1980,0.386847819150076,0.59116887126362,33
W045,1,high,1995,0.4521129300140612,0.6909049949081201,34
W045,1,high,2010,0.4848980711337872,0.7410062334585897,35
W045,1,high,2019,0.5088655057477877,0.7776325256759605,36
W045,1,high,2015,0.6040530161963138,0.9230951348070692,37
W045,1,high,2021,0.6627628795986474,1.0128137320473298,38
W045,1,high,1987,0.6661605479522842,1.0180059437288136,39
W045,1,high,2023,0.8420239473522311,1.2867549508920595,40
W045,1,high,1983,0.9779216734691828,1.494429652360867,41
W045,1,high,1991,1.0392426058795423,1.588138404493709,42
W045,1,high,2018,1.1576971712019417,1.7691570071874445,43
W045,1,high,2016,1.3854267864775178,2.1171663611280773,44
W045,1,high,1998,1.5578703897981976,2.3806893417039854,45
W045,2,low,1991,-1.2395247667860507,-2.054682888394716,1
W045,2,low,1999,-1.139710268378012,-1.8892266204861148,2
W045,2,low,1995,-1.1090638488532003,-1.8384259624633896,3
W045,2,low,2000,-1.0816038130030343,-1.7929071739019184,4
W045,2,low,2013,-0.7963039302296183,-1.3199833543032913,5
W045,2,low,2014,-0.5383793300847075,-0.892437833137218,6
W045,2,low,2008,-0.4776010235951665,-0.7916894256217557,7
W045,2,low,1996,-0.3899830548980461,-0.646450584235256,8
W045,2,low,2019,-0.3767652746454399,-0.6245402943924723,9
W045,2,low,2023,-0.3487769004887607,-0.5781457123763117,10
W045,2,low,1986,-0.3261343999964804,-0.5406126516754863,11
W045,2,low,1984,-0.3121337870913014,-0.5174047089750766,12
W045,2,low,1994,-0.3113979535328443,-0.5161849635841163,13
W045,2,low,1989,-0.3077932675534853,-0.5102097004846708,14
W045,2,low,2012,-0.2805753822335061,-0.4650923097525309,15
W045,2,mid,2007,-0.2773179824732909,-0.4596927213559801,16
W045,2,mid,2021,-0.1917411272599113,-0.3178373064734852,17
