source,target,source_family,target_family
P_main_band_share,V_strength,P,V
P_main_band_share,V_pos_centroid_lat,P,V
P_main_band_share,V_NS_diff,P,V
P_main_band_share,H_strength,P,H
P_main_band_share,H_centroid_lat,P,H
P_main_band_share,H_west_extent_lon,P,H
P_main_band_share,H_zonal_width,P,H
P_main_band_share,Je_strength,P,Je
P_main_band_share,Je_axis_lat,P,Je
P_main_band_share,Je_meridional_width,P,Je
P_main_band_share,Jw_strength,P,Jw
P_main_band_share,Jw_axis_lat,P,Jw
P_main_band_share,Jw_meridional_width,P,Jw
P_south_band_share_18_24,V_strength,P,V
P_south_band_share_18_24,V_pos_centroid_lat,P,V
P_south_band_share_18_24,V_NS_diff,P,V
P_south_band_share_18_24,H_strength,P,H
P_south_band_share_18_24,H_centroid_lat,P,H
P_south_band_share_18_24,H_west_extent_lon,P,H
P_south_band_share_18_24,H_zonal_width,P,H
P_south_band_share_18_24,Je_strength,P,Je
P_south_band_share_18_24,Je_axis_lat,P,Je
P_south_band_share_18_24,Je_meridional_width,P,Je
P_south_band_share_18_24,Jw_strength,P,Jw
P_south_band_share_18_24,Jw_axis_lat,P,Jw
P_south_band_share_18_24,Jw_meridional_width,P,Jw
P_main_minus_south,V_strength,P,V
P_main_minus_south,V_pos_centroid_lat,P,V
P_main_minus_south,V_NS_diff,P,V
P_main_minus_south,H_strength,P,H
P_main_minus_south,H_centroid_lat,P,H
P_main_minus_south,H_west_extent_lon,P,H
P_main_minus_south,H_zonal_width,P,H
P_main_minus_south,Je_strength,P,Je
P_main_minus_south,Je_axis_lat,P,Je
P_main_minus_south,Je_meridional_width,P,Je
P_main_minus_south,Jw_strength,P,Jw
P_main_minus_south,Jw_axis_lat,P,Jw
P_main_minus_south,Jw_meridional_width,P,Jw
P_spread_lat,V_strength,P,V
P_spread_lat,V_pos_centroid_lat,P,V
P_spread_lat,V_NS_diff,P,V
P_spread_lat,H_strength,P,H
P_spread_lat,H_centroid_lat,P,H
P_spread_lat,H_west_extent_lon,P,H
P_spread_lat,H_zonal_width,P,H
P_spread_lat,Je_strength,P,Je
P_spread_lat,Je_axis_lat,P,Je
P_spread_lat,Je_meridional_width,P,Je
P_spread_lat,Jw_strength,P,Jw
P_spread_lat,Jw_axis_lat,P,Jw
P_spread_lat,Jw_meridional_width,P,Jw
P_north_band_share_35_45,V_strength,P,V
P_north_band_share_35_45,V_pos_centroid_lat,P,V
P_north_band_share_35_45,V_NS_diff,P,V
P_north_band_share_35_45,H_strength,P,H
P_north_band_share_35_45,H_centroid_lat,P,H
P_north_band_share_35_45,H_west_extent_lon,P,H
P_north_band_share_35_45,H_zonal_width,P,H
P_north_band_share_35_45,Je_strength,P,Je
P_north_band_share_35_45,Je_axis_lat,P,Je
P_north_band_share_35_45,Je_meridional_width,P,Je
P_north_band_share_35_45,Jw_strength,P,Jw
P_north_band_share_35_45,Jw_axis_lat,P,Jw
P_north_band_share_35_45,Jw_meridional_width,P,Jw
P_north_minus_main_35_45,V_strength,P,V
P_north_minus_main_35_45,V_pos_centroid_lat,P,V
P_north_minus_main_35_45,V_NS_diff,P,V
P_north_minus_main_35_45,H_strength,P,H
P_north_minus_main_35_45,H_centroid_lat,P,H
P_north_minus_main_35_45,H_west_extent_lon,P,H
P_north_minus_main_35_45,H_zonal_width,P,H
P_north_minus_main_35_45,Je_strength,P,Je
P_north_minus_main_35_45,Je_axis_lat,P,Je
P_north_minus_main_35_45,Je_meridional_width,P,Je
P_north_minus_main_35_45,Jw_strength,P,Jw
P_north_minus_main_35_45,Jw_axis_lat,P,Jw
P_north_minus_main_35_45,Jw_meridional_width,P,Jw
P_total_centroid_lat_10_50,V_strength,P,V
P_total_centroid_lat_10_50,V_pos_centroid_lat,P,V
P_total_centroid_lat_10_50,V_NS_diff,P,V
P_total_centroid_lat_10_50,H_strength,P,H
P_total_centroid_lat_10_50,H_centroid_lat,P,H
P_total_centroid_lat_10_50,H_west_extent_lon,P,H
P_total_centroid_lat_10_50,H_zonal_width,P,H
P_total_centroid_lat_10_50,Je_strength,P,Je
P_total_centroid_lat_10_50,Je_axis_lat,P,Je
P_total_centroid_lat_10_50,Je_meridional_width,P,Je
P_total_centroid_lat_10_50,Jw_strength,P,Jw
P_total_centroid_lat_10_50,Jw_axis_lat,P,Jw
P_total_centroid_lat_10_50,Jw_meridional_width,P,Jw
V_strength,P_main_band_share,V,P
V_strength,P_south_band_share_18_24,V,P
V_strength,P_main_minus_south,V,P
V_strength,P_spread_lat,V,P
V_strength,P_north_band_share_35_45,V,P
V_strength,P_north_minus_main_35_45,V,P
V_strength,P_total_centroid_lat_10_50,V,P
V_strength,H_strength,V,H
V_strength,H_centroid_lat,V,H
V_strength,H_west_extent_lon,V,H
V_strength,H_zonal_width,V,H
V_strength,Je_strength,V,Je
V_strength,Je_axis_lat,V,Je
V_strength,Je_meridional_width,V,Je
V_strength,Jw_strength,V,Jw
V_strength,Jw_axis_lat,V,Jw
V_strength,Jw_meridional_width,V,Jw
V_pos_centroid_lat,P_main_band_share,V,P
V_pos_centroid_lat,P_south_band_share_18_24,V,P
V_pos_centroid_lat,P_main_minus_south,V,P
V_pos_centroid_lat,P_spread_lat,V,P
V_pos_centroid_lat,P_north_band_share_35_45,V,P
V_pos_centroid_lat,P_north_minus_main_35_45,V,P
V_pos_centroid_lat,P_total_centroid_lat_10_50,V,P
V_pos_centroid_lat,H_strength,V,H
V_pos_centroid_lat,H_centroid_lat,V,H
V_pos_centroid_lat,H_west_extent_lon,V,H
V_pos_centroid_lat,H_zonal_width,V,H
V_pos_centroid_lat,Je_strength,V,Je
V_pos_centroid_lat,Je_axis_lat,V,Je
V_pos_centroid_lat,Je_meridional_width,V,Je
V_pos_centroid_lat,Jw_strength,V,Jw
V_pos_centroid_lat,Jw_axis_lat,V,Jw
V_pos_centroid_lat,Jw_meridional_width,V,Jw
V_NS_diff,P_main_band_share,V,P
V_NS_diff,P_south_band_share_18_24,V,P
V_NS_diff,P_main_minus_south,V,P
V_NS_diff,P_spread_lat,V,P
V_NS_diff,P_north_band_share_35_45,V,P
V_NS_diff,P_north_minus_main_35_45,V,P
V_NS_diff,P_total_centroid_lat_10_50,V,P
V_NS_diff,H_strength,V,H
V_NS_diff,H_centroid_lat,V,H
V_NS_diff,H_west_extent_lon,V,H
V_NS_diff,H_zonal_width,V,H
V_NS_diff,Je_strength,V,Je
V_NS_diff,Je_axis_lat,V,Je
V_NS_diff,Je_meridional_width,V,Je
V_NS_diff,Jw_strength,V,Jw
V_NS_diff,Jw_axis_lat,V,Jw
V_NS_diff,Jw_meridional_width,V,Jw
H_strength,P_main_band_share,H,P
H_strength,P_south_band_share_18_24,H,P
H_strength,P_main_minus_south,H,P
H_strength,P_spread_lat,H,P
H_strength,P_north_band_share_35_45,H,P
H_strength,P_north_minus_main_35_45,H,P
