window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule,abs_val_matrix,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,lag0_signed_r,lag0_abs_r,evidence_tier,recommended_usage,failure_reason,risk_note,suggested_reverse_direction,pair_phi_risk,v1_lead_lag_yes,v1_available,pcmci_plus_any_supported_1to5,pcmci_plus_supported_tau,exact_lag_agreement,lag_band_agreement,agreement_band
S1,H_strength,P_south_band_share_18_24,H,P,False,4,,False,0.04509014822662577,0.07796985684921647,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04509014822662577,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,1,-0.1185605322929384,0.1185605322929384,-0.1035043160928605,0.1035043160928605,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,moderate,False,True,False,,False,False,neither_supported
S1,H_strength,P_spread_lat,H,P,False,3,,False,-0.03354247004098636,0.19062256572475178,lagged_direct_edge_control,source(t-tau)->target(t),0.5858279028576608,False,graph_selected_and_window_BH_q_le_alpha,0.03354247004098636,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,4,-0.3547483127063911,0.3547483127063911,-0.2383283699741371,0.2383283699741371,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,moderate,True,True,False,,False,False,V1_only
S1,H_strength,P_total_centroid_lat_10_50,H,P,False,4,,False,0.0402825651853256,0.11537258895184577,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.0402825651853256,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,bidirectional_close,True,2,0.2877861548980071,0.2877861548980071,0.2748543094672191,0.2748543094672191,Tier4a_ambiguous_bidirectional_close,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,moderate,False,True,False,,False,False,neither_supported
S1,H_strength,V_NS_diff,H,V,False,3,,False,-0.04217838053279328,0.09954958802620686,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04217838053279328,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.3572137476099728,0.3572137476099728,0.3297329807782614,0.3297329807782614,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,moderate,True,True,False,,False,False,V1_only
S1,H_strength,V_pos_centroid_lat,H,V,False,3,,False,0.04387106532313144,0.08626283824179584,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04387106532313144,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,1,0.0624435641271376,0.0624435641271376,0.0560907918401192,0.0560907918401192,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,moderate,False,True,False,,False,False,neither_supported
S1,H_strength,V_strength,H,V,False,1,-->,True,-0.07543582607986536,0.0033350799006049464,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.07543582607986536,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,2,0.3183656451424766,0.3183656451424766,0.2969565108050688,0.2969565108050688,Tier1b_audit_stable_with_same_day,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,moderate,True,True,False,,False,False,V1_only
S1,H_west_extent_lon,Je_axis_lat,H,Je,False,5,,False,0.043203128051921585,0.0912665524817124,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.043203128051921585,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,5,0.1197544714744334,0.1197544714744334,-0.0007387005443462,0.0007387005443462,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,Je_meridional_width,H,Je,False,3,,False,0.04591594284807827,0.07266911905307961,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04591594284807827,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,4,0.0614336430336341,0.0614336430336341,-0.0014179331153554,0.0014179331153554,Tier5a_no_not_supported,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,Je_strength,H,Je,False,3,,False,0.047958828572333786,0.060728660315267295,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.047958828572333786,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,1,0.1750325934823949,0.1750325934823949,0.2434041056877285,0.2434041056877285,Tier5b_no_reverse_dominant,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,Je_strength -> H_west_extent_lon,none,False,True,False,,False,False,neither_supported
S1,H_west_extent_lon,Jw_axis_lat,H,Jw,False,3,,False,-0.04012172952351997,0.11707313420866212,lagged_direct_edge_control,source(t-tau)->target(t),0.5761612552511544,False,graph_selected_and_window_BH_q_le_alpha,0.04012172952351997,lead_lag_ambiguous_direction_uncertain,lead_lag_ambiguous,direction_uncertain,False,3,0.1683229858437658,0.1683229858437658,0.0535759746809988,0.0535759746809988,Tier4c_ambiguous_direction_uncertain,expanded temporal risk pool only; useful for feedback/same-day/transition audit,direction_difference_not_stable,direction_uncertain,,none,False,True,False,,False,False,neither_supported
