window,status,started_at,output_tag,n_lagged_tests,n_lagged_supported,n_tau0_tests,n_tau0_supported,elapsed_seconds,finished_at
S1,completed,2026-04-27T22:24:07,pcmci_plus_smooth5_v2_a,1540,3,308,10,89.56338405609131,2026-04-27T22:25:37
T1,completed,2026-04-27T22:25:37,pcmci_plus_smooth5_v2_a,1540,0,308,4,12.276285409927368,2026-04-27T22:25:49
S2,completed,2026-04-27T22:25:49,pcmci_plus_smooth5_v2_a,1540,0,308,20,79.09141397476196,2026-04-27T22:27:08
T2,completed,2026-04-27T22:27:08,pcmci_plus_smooth5_v2_a,1540,0,308,10,17.853583335876465,2026-04-27T22:27:26
S3,completed,2026-04-27T22:27:26,pcmci_plus_smooth5_v2_a,1540,2,308,2,28.12125325202942,2026-04-27T22:27:54
T3,completed,2026-04-27T22:27:54,pcmci_plus_smooth5_v2_a,1540,0,308,0,11.115406274795532,2026-04-27T22:28:05
S4,completed,2026-04-27T22:28:05,pcmci_plus_smooth5_v2_a,1540,2,308,16,78.86791658401489,2026-04-27T22:29:24
T4,completed,2026-04-27T22:29:24,pcmci_plus_smooth5_v2_a,1540,1,308,0,10.981291770935059,2026-04-27T22:29:35
S5,completed,2026-04-27T22:29:35,pcmci_plus_smooth5_v2_a,1540,2,308,26,66.51580548286438,2026-04-27T22:30:42
