point_id,replicate_id,replicate_kind,point_day,nearest_peak_day,day_offset
LP006,1,bootstrap,132,133.0,1.0
LP006,2,bootstrap,132,132.0,0.0
LP006,8,bootstrap,132,136.0,4.0
LP006,11,bootstrap,132,135.0,3.0
LP006,15,bootstrap,132,131.0,-1.0
LP006,18,bootstrap,132,135.0,3.0
LP006,19,bootstrap,132,136.0,4.0
LP006,21,bootstrap,132,132.0,0.0
LP006,22,bootstrap,132,132.0,0.0
LP006,24,bootstrap,132,132.0,0.0
LP006,27,bootstrap,132,135.0,3.0
LP006,28,bootstrap,132,129.0,-3.0
LP006,31,bootstrap,132,131.0,-1.0
LP006,32,bootstrap,132,129.0,-3.0
LP006,33,bootstrap,132,135.0,3.0
LP006,38,bootstrap,132,133.0,1.0
LP006,40,bootstrap,132,134.0,2.0
LP006,41,bootstrap,132,136.0,4.0
LP006,42,bootstrap,132,133.0,1.0
LP006,46,bootstrap,132,135.0,3.0
LP006,47,bootstrap,132,128.0,-4.0
LP006,49,bootstrap,132,128.0,-4.0
LP006,50,bootstrap,132,132.0,0.0
LP006,51,bootstrap,132,132.0,0.0
LP006,53,bootstrap,132,131.0,-1.0
LP006,55,bootstrap,132,131.0,-1.0
LP006,56,bootstrap,132,132.0,0.0
LP006,57,bootstrap,132,135.0,3.0
LP006,58,bootstrap,132,131.0,-1.0
LP006,61,bootstrap,132,132.0,0.0
LP006,63,bootstrap,132,136.0,4.0
LP006,64,bootstrap,132,130.0,-2.0
LP006,65,bootstrap,132,135.0,3.0
LP006,66,bootstrap,132,136.0,4.0
LP006,68,bootstrap,132,131.0,-1.0
LP006,71,bootstrap,132,133.0,1.0
LP006,72,bootstrap,132,136.0,4.0
LP006,73,bootstrap,132,133.0,1.0
LP006,74,bootstrap,132,135.0,3.0
LP006,75,bootstrap,132,136.0,4.0
LP006,76,bootstrap,132,129.0,-3.0
LP006,80,bootstrap,132,131.0,-1.0
LP006,83,bootstrap,132,132.0,0.0
LP006,84,bootstrap,132,132.0,0.0
LP006,85,bootstrap,132,133.0,1.0
LP006,87,bootstrap,132,132.0,0.0
LP006,89,bootstrap,132,133.0,1.0
LP006,91,bootstrap,132,131.0,-1.0
LP006,92,bootstrap,132,136.0,4.0
LP006,93,bootstrap,132,131.0,-1.0
LP006,95,bootstrap,132,136.0,4.0
LP006,96,bootstrap,132,135.0,3.0
LP006,97,bootstrap,132,134.0,2.0
LP006,98,bootstrap,132,136.0,4.0
LP006,99,bootstrap,132,130.0,-2.0
LP006,102,bootstrap,132,136.0,4.0
LP006,103,bootstrap,132,132.0,0.0
LP006,104,bootstrap,132,131.0,-1.0
LP006,105,bootstrap,132,134.0,2.0
LP006,107,bootstrap,132,134.0,2.0
LP006,113,bootstrap,132,129.0,-3.0
LP006,114,bootstrap,132,136.0,4.0
LP006,115,bootstrap,132,129.0,-3.0
LP006,116,bootstrap,132,135.0,3.0
LP006,118,bootstrap,132,133.0,1.0
LP006,119,bootstrap,132,129.0,-3.0
LP006,120,bootstrap,132,131.0,-1.0
LP006,122,bootstrap,132,135.0,3.0
LP006,125,bootstrap,132,134.0,2.0
LP006,127,bootstrap,132,132.0,0.0
LP006,128,bootstrap,132,132.0,0.0
LP006,129,bootstrap,132,130.0,-2.0
LP006,130,bootstrap,132,132.0,0.0
LP006,132,bootstrap,132,132.0,0.0
LP006,133,bootstrap,132,134.0,2.0
LP006,134,bootstrap,132,129.0,-3.0
LP006,136,bootstrap,132,133.0,1.0
LP006,138,bootstrap,132,134.0,2.0
LP006,140,bootstrap,132,130.0,-2.0
LP006,141,bootstrap,132,136.0,4.0
LP006,142,bootstrap,132,134.0,2.0
LP006,143,bootstrap,132,136.0,4.0
LP006,144,bootstrap,132,136.0,4.0
LP006,146,bootstrap,132,136.0,4.0
LP006,147,bootstrap,132,131.0,-1.0
LP006,149,bootstrap,132,134.0,2.0
LP006,150,bootstrap,132,131.0,-1.0
LP006,151,bootstrap,132,129.0,-3.0
LP006,152,bootstrap,132,134.0,2.0
LP006,154,bootstrap,132,133.0,1.0
LP006,155,bootstrap,132,135.0,3.0
LP006,158,bootstrap,132,132.0,0.0
LP006,159,bootstrap,132,130.0,-2.0
LP006,160,bootstrap,132,132.0,0.0
LP006,161,bootstrap,132,136.0,4.0
LP006,162,bootstrap,132,129.0,-3.0
LP006,164,bootstrap,132,131.0,-1.0
LP006,165,bootstrap,132,131.0,-1.0
LP006,167,bootstrap,132,131.0,-1.0
LP006,171,bootstrap,132,132.0,0.0
LP006,172,bootstrap,132,136.0,4.0
LP006,174,bootstrap,132,132.0,0.0
LP006,177,bootstrap,132,130.0,-2.0
LP006,178,bootstrap,132,131.0,-1.0
LP006,179,bootstrap,132,131.0,-1.0
LP006,180,bootstrap,132,135.0,3.0
LP006,181,bootstrap,132,136.0,4.0
LP006,183,bootstrap,132,129.0,-3.0
LP006,184,bootstrap,132,130.0,-2.0
LP006,186,bootstrap,132,135.0,3.0
LP006,187,bootstrap,132,134.0,2.0
LP006,188,bootstrap,132,136.0,4.0
LP006,189,bootstrap,132,136.0,4.0
