window_id,object,feature_start_col,feature_end_col,source_days,n_source_features
W081,P,0,766,49-107,767
W081,V,767,1415,49-107,649
W081,H,1416,2064,49-107,649
W081,Je,2065,2713,49-107,649
W081,Jw,2714,3362,49-107,649
