window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W081,V,Je,12.0,6.0,12.0,16.0,-4.0,-6.0,-23.0,16.0,0.3473895582329317,0.6827309236947792,0.8493975903614458,synchrony_indeterminate,broad_resolution_warning,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Jw,12.0,6.0,12.0,16.0,17.0,0.5,-16.0,19.0,0.562,0.734,0.898,synchrony_indeterminate,broad_resolution_warning,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Je,12.0,6.0,12.0,16.0,-17.0,-5.0,-21.575,12.574999999999989,0.4538152610441767,0.7650602409638554,0.8975903614457831,synchrony_indeterminate,broad_resolution_warning,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Jw,12.0,6.0,12.0,16.0,4.0,1.0,-14.0,15.0,0.52,0.83,0.98,synchrony_tendency,broad_resolution_warning,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,12.0,6.0,12.0,16.0,21.0,6.0,-11.0,22.0,0.3855421686746988,0.7369477911646586,0.8353413654618473,synchrony_indeterminate,broad_resolution_warning,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,V,3.0,1.0,3.0,6.0,-1.0,-1.0,-5.524999999999999,3.0,0.556,0.914,0.982,synchrony_tendency,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,H,3.0,1.0,3.0,6.0,-2.0,-2.0,-6.0,4.524999999999977,0.33,0.756,0.964,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Je,3.0,1.0,3.0,6.0,-4.0,-3.0,-7.0,5.0,0.288,0.564,0.928,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Jw,3.0,1.0,3.0,6.0,6.0,3.0,-12.625,11.0,0.17943548387096775,0.40725806451612906,0.6754032258064516,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,H,3.0,1.0,3.0,6.0,-1.0,-1.0,-6.0,5.0,0.518,0.854,0.97,synchrony_tendency,normal,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
