window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,target_name,phase_group,phase_group_size,years_in_phase_group,group_role,targeted_best_direction,targeted_best_prob,targeted_order_level
W081,V,Je,70.0,66.0,-4.0,-6.0,-23.0,16.0,0.3032128514056225,0.6666666666666666,0.030120481927710843,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,70.0,87.0,17.0,0.5,-16.0,19.0,0.5,0.428,0.072,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Je,83.0,66.0,-17.0,-5.0,-21.575,12.574999999999989,0.28714859437751006,0.6706827309236948,0.04216867469879518,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,83.0,87.0,4.0,1.0,-14.0,15.0,0.542,0.394,0.064,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,66.0,87.0,21.0,6.0,-11.0,22.0,0.6907630522088354,0.29116465863453816,0.018072289156626505,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_low,15,1981;1987;1989;1992;1993;1995;1996;1998;1999;2008;2009;2013;2016;2020;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,V,80.0,79.0,-1.0,-1.0,-5.524999999999999,3.0,0.164,0.636,0.2,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,80.0,78.0,-2.0,-2.0,-6.0,4.524999999999977,0.118,0.774,0.108,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,80.0,76.0,-4.0,-3.0,-7.0,5.0,0.156,0.766,0.078,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Jw,80.0,86.0,6.0,3.0,-12.625,11.0,0.6592741935483871,0.2782258064516129,0.0625,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,H,79.0,78.0,-1.0,-1.0,-6.0,5.0,0.238,0.554,0.208,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Je,79.0,76.0,-3.0,-2.0,-7.0,6.0,0.286,0.592,0.122,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,79.0,86.0,7.0,3.0,-11.0,11.0,0.7681451612903226,0.19959677419354838,0.03225806451612903,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_mid,15,1979;1983;1984;1985;1990;1994;2001;2002;2003;2005;2007;2014;2017;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
