event,phase,lat,profile_value
day33_shape_peak,before,25.0,-1.067262934327655
day33_shape_peak,before,27.0,-0.3927765013818581
day33_shape_peak,before,29.0,0.19758281263901542
day33_shape_peak,before,31.0,0.6366174448906005
day33_shape_peak,before,33.0,0.8332506194320972
day33_shape_peak,before,35.0,0.7813264661439421
day33_shape_peak,before,37.0,0.5526005378618862
day33_shape_peak,before,39.0,0.23852123004844708
day33_shape_peak,before,41.0,-0.15974710140549953
day33_shape_peak,before,43.0,-0.6118985498810696
day33_shape_peak,before,45.0,-1.0698944736418072
day33_shape_peak,after,25.0,-1.4600033193182307
day33_shape_peak,after,27.0,-0.7968085457895109
day33_shape_peak,after,29.0,-0.18745257211279867
day33_shape_peak,after,31.0,0.31572554061236846
day33_shape_peak,after,33.0,0.676238982196545
day33_shape_peak,after,35.0,0.838237111353652
day33_shape_peak,after,37.0,0.8020757211367133
day33_shape_peak,after,39.0,0.6006189686809356
day33_shape_peak,after,41.0,0.25224562217607405
day33_shape_peak,after,43.0,-0.2218391436439754
day33_shape_peak,after,45.0,-0.7475200041530612
day33_shape_peak,after_minus_before,25.0,-0.39274038499057573
day33_shape_peak,after_minus_before,27.0,-0.4040320444076528
day33_shape_peak,after_minus_before,29.0,-0.3850353847518141
day33_shape_peak,after_minus_before,31.0,-0.320891904278232
day33_shape_peak,after_minus_before,33.0,-0.15701163723555223
day33_shape_peak,after_minus_before,35.0,0.0569106452097099
day33_shape_peak,after_minus_before,37.0,0.2494751832748271
day33_shape_peak,after_minus_before,39.0,0.3620977386324885
day33_shape_peak,after_minus_before,41.0,0.41199272358157357
day33_shape_peak,after_minus_before,43.0,0.39005940623709423
day33_shape_peak,after_minus_before,45.0,0.32237446948874604
day46_raw_peak,before,25.0,-1.52934353745058
day46_raw_peak,before,27.0,-0.8947541772865785
day46_raw_peak,before,29.0,-0.26959623802352234
day46_raw_peak,before,31.0,0.2928325097615234
day46_raw_peak,before,33.0,0.721420755546147
day46_raw_peak,before,35.0,0.9462257866326139
day46_raw_peak,before,37.0,0.9235630993034873
day46_raw_peak,before,39.0,0.65468685144059
day46_raw_peak,before,41.0,0.23967587240509836
day46_raw_peak,before,43.0,-0.2465501006249117
day46_raw_peak,before,45.0,-0.7556208961803862
day46_raw_peak,after,25.0,-1.565330804476555
day46_raw_peak,after,27.0,-0.8354469055888954
day46_raw_peak,after,29.0,-0.1326502622231285
day46_raw_peak,after,31.0,0.47876071035845796
day46_raw_peak,after,33.0,0.906308597269914
day46_raw_peak,after,35.0,1.0415358576376244
day46_raw_peak,after,37.0,0.8927527005997239
day46_raw_peak,after,39.0,0.5221219669147831
day46_raw_peak,after,41.0,0.044810000711062614
day46_raw_peak,after,43.0,-0.4367678249240646
day46_raw_peak,after,45.0,-0.8759165620683128
day46_raw_peak,after_minus_before,25.0,-0.0359872670259751
day46_raw_peak,after_minus_before,27.0,0.05930727169768302
day46_raw_peak,after_minus_before,29.0,0.13694597580039383
day46_raw_peak,after_minus_before,31.0,0.18592820059693455
day46_raw_peak,after_minus_before,33.0,0.18488784172376693
day46_raw_peak,after_minus_before,35.0,0.09531007100501043
day46_raw_peak,after_minus_before,37.0,-0.030810398703763453
day46_raw_peak,after_minus_before,39.0,-0.13256488452580695
day46_raw_peak,after_minus_before,41.0,-0.19486587169403574
day46_raw_peak,after_minus_before,43.0,-0.19021772429915287
day46_raw_peak,after_minus_before,45.0,-0.12029566588792662
