bootstrap_id,raw_profile_return_day,raw_matched,shape_pattern_return_day,shape_matched,delta_raw_minus_shape,both_matched
0,44.0,True,34.0,True,10.0,True
1,47.0,True,38.0,True,9.0,True
2,47.0,True,34.0,True,13.0,True
3,44.0,True,32.0,True,12.0,True
4,50.0,True,36.0,True,14.0,True
5,,False,,False,,False
6,45.0,True,34.0,True,11.0,True
7,48.0,True,33.0,True,15.0,True
8,46.0,True,34.0,True,12.0,True
9,46.0,True,34.0,True,12.0,True
10,46.0,True,34.0,True,12.0,True
11,46.0,True,33.0,True,13.0,True
12,44.0,True,33.0,True,11.0,True
13,44.0,True,33.0,True,11.0,True
14,47.0,True,34.0,True,13.0,True
15,47.0,True,28.0,True,19.0,True
16,46.0,True,33.0,True,13.0,True
17,46.0,True,33.0,True,13.0,True
18,48.0,True,35.0,True,13.0,True
19,46.0,True,34.0,True,12.0,True
20,45.0,True,28.0,True,17.0,True
21,47.0,True,31.0,True,16.0,True
22,44.0,True,34.0,True,10.0,True
23,45.0,True,33.0,True,12.0,True
24,44.0,True,33.0,True,11.0,True
25,44.0,True,32.0,True,12.0,True
26,46.0,True,33.0,True,13.0,True
27,46.0,True,34.0,True,12.0,True
28,50.0,True,33.0,True,17.0,True
29,46.0,True,33.0,True,13.0,True
30,46.0,True,33.0,True,13.0,True
31,47.0,True,33.0,True,14.0,True
32,46.0,True,32.0,True,14.0,True
33,45.0,True,33.0,True,12.0,True
34,49.0,True,33.0,True,16.0,True
35,46.0,True,33.0,True,13.0,True
36,46.0,True,32.0,True,14.0,True
37,46.0,True,30.0,True,16.0,True
38,43.0,True,32.0,True,11.0,True
39,48.0,True,33.0,True,15.0,True
40,47.0,True,33.0,True,14.0,True
41,47.0,True,30.0,True,17.0,True
42,45.0,True,32.0,True,13.0,True
43,45.0,True,33.0,True,12.0,True
44,44.0,True,32.0,True,12.0,True
45,47.0,True,,False,,False
46,46.0,True,34.0,True,12.0,True
47,45.0,True,33.0,True,12.0,True
48,51.0,True,33.0,True,18.0,True
49,46.0,True,32.0,True,14.0,True
50,47.0,True,34.0,True,13.0,True
51,45.0,True,34.0,True,11.0,True
52,45.0,True,,False,,False
53,48.0,True,33.0,True,15.0,True
54,45.0,True,33.0,True,12.0,True
55,46.0,True,33.0,True,13.0,True
56,46.0,True,31.0,True,15.0,True
57,47.0,True,34.0,True,13.0,True
58,48.0,True,33.0,True,15.0,True
59,46.0,True,33.0,True,13.0,True
60,46.0,True,33.0,True,13.0,True
61,44.0,True,32.0,True,12.0,True
62,47.0,True,34.0,True,13.0,True
63,46.0,True,34.0,True,12.0,True
64,46.0,True,33.0,True,13.0,True
65,46.0,True,36.0,True,10.0,True
66,44.0,True,34.0,True,10.0,True
67,48.0,True,38.0,True,10.0,True
68,47.0,True,34.0,True,13.0,True
69,42.0,True,33.0,True,9.0,True
70,46.0,True,35.0,True,11.0,True
71,48.0,True,33.0,True,15.0,True
72,44.0,True,,False,,False
73,46.0,True,34.0,True,12.0,True
74,46.0,True,33.0,True,13.0,True
75,47.0,True,34.0,True,13.0,True
76,47.0,True,33.0,True,14.0,True
77,46.0,True,33.0,True,13.0,True
78,46.0,True,34.0,True,12.0,True
79,47.0,True,32.0,True,15.0,True
80,46.0,True,33.0,True,13.0,True
81,47.0,True,38.0,True,9.0,True
82,44.0,True,32.0,True,12.0,True
83,45.0,True,33.0,True,12.0,True
84,47.0,True,34.0,True,13.0,True
85,48.0,True,33.0,True,15.0,True
86,47.0,True,33.0,True,14.0,True
87,45.0,True,31.0,True,14.0,True
88,46.0,True,33.0,True,13.0,True
89,45.0,True,33.0,True,12.0,True
90,47.0,True,33.0,True,14.0,True
91,44.0,True,31.0,True,13.0,True
92,45.0,True,33.0,True,12.0,True
93,47.0,True,34.0,True,13.0,True
94,47.0,True,33.0,True,14.0,True
95,48.0,True,34.0,True,14.0,True
96,45.0,True,34.0,True,11.0,True
97,47.0,True,31.0,True,16.0,True
98,47.0,True,33.0,True,14.0,True
99,47.0,True,32.0,True,15.0,True
100,46.0,True,33.0,True,13.0,True
101,,False,33.0,True,,False
102,46.0,True,31.0,True,15.0,True
103,45.0,True,32.0,True,13.0,True
104,44.0,True,32.0,True,12.0,True
105,46.0,True,32.0,True,14.0,True
106,48.0,True,28.0,True,20.0,True
107,47.0,True,34.0,True,13.0,True
108,44.0,True,32.0,True,12.0,True
109,47.0,True,34.0,True,13.0,True
110,46.0,True,34.0,True,12.0,True
111,45.0,True,34.0,True,11.0,True
112,46.0,True,33.0,True,13.0,True
113,51.0,True,34.0,True,17.0,True
114,46.0,True,33.0,True,13.0,True
115,45.0,True,33.0,True,12.0,True
116,46.0,True,34.0,True,12.0,True
117,44.0,True,33.0,True,11.0,True
118,48.0,True,33.0,True,15.0,True
119,46.0,True,33.0,True,13.0,True
120,46.0,True,34.0,True,12.0,True
121,46.0,True,28.0,True,18.0,True
122,46.0,True,31.0,True,15.0,True
123,47.0,True,32.0,True,15.0,True
124,46.0,True,33.0,True,13.0,True
125,46.0,True,34.0,True,12.0,True
126,44.0,True,31.0,True,13.0,True
127,45.0,True,31.0,True,14.0,True
128,46.0,True,31.0,True,15.0,True
129,46.0,True,32.0,True,14.0,True
130,46.0,True,31.0,True,15.0,True
131,47.0,True,34.0,True,13.0,True
132,47.0,True,33.0,True,14.0,True
133,46.0,True,32.0,True,14.0,True
134,47.0,True,31.0,True,16.0,True
135,49.0,True,34.0,True,15.0,True
136,47.0,True,31.0,True,16.0,True
137,48.0,True,34.0,True,14.0,True
138,47.0,True,34.0,True,13.0,True
139,45.0,True,33.0,True,12.0,True
140,47.0,True,33.0,True,14.0,True
141,46.0,True,33.0,True,13.0,True
142,48.0,True,33.0,True,15.0,True
143,46.0,True,35.0,True,11.0,True
144,47.0,True,34.0,True,13.0,True
145,46.0,True,34.0,True,12.0,True
146,45.0,True,33.0,True,12.0,True
147,47.0,True,33.0,True,14.0,True
148,48.0,True,37.0,True,11.0,True
149,46.0,True,,False,,False
150,46.0,True,33.0,True,13.0,True
151,44.0,True,32.0,True,12.0,True
152,45.0,True,,False,,False
153,49.0,True,35.0,True,14.0,True
154,46.0,True,34.0,True,12.0,True
155,48.0,True,33.0,True,15.0,True
156,46.0,True,33.0,True,13.0,True
157,46.0,True,33.0,True,13.0,True
158,46.0,True,34.0,True,12.0,True
159,46.0,True,33.0,True,13.0,True
160,46.0,True,32.0,True,14.0,True
161,46.0,True,33.0,True,13.0,True
162,47.0,True,33.0,True,14.0,True
163,49.0,True,33.0,True,16.0,True
164,47.0,True,34.0,True,13.0,True
165,46.0,True,32.0,True,14.0,True
166,47.0,True,34.0,True,13.0,True
167,46.0,True,34.0,True,12.0,True
168,45.0,True,33.0,True,12.0,True
169,45.0,True,33.0,True,12.0,True
170,45.0,True,34.0,True,11.0,True
171,46.0,True,33.0,True,13.0,True
172,43.0,True,31.0,True,12.0,True
173,45.0,True,34.0,True,11.0,True
174,45.0,True,32.0,True,13.0,True
175,46.0,True,33.0,True,13.0,True
176,44.0,True,30.0,True,14.0,True
177,44.0,True,31.0,True,13.0,True
178,45.0,True,,False,,False
179,46.0,True,33.0,True,13.0,True
180,46.0,True,34.0,True,12.0,True
181,46.0,True,28.0,True,18.0,True
182,47.0,True,32.0,True,15.0,True
183,44.0,True,32.0,True,12.0,True
184,44.0,True,29.0,True,15.0,True
185,47.0,True,33.0,True,14.0,True
186,48.0,True,34.0,True,14.0,True
187,47.0,True,34.0,True,13.0,True
188,46.0,True,34.0,True,12.0,True
189,45.0,True,34.0,True,11.0,True
190,47.0,True,31.0,True,16.0,True
191,47.0,True,33.0,True,14.0,True
192,47.0,True,34.0,True,13.0,True
193,44.0,True,32.0,True,12.0,True
194,45.0,True,28.0,True,17.0,True
195,44.0,True,,False,,False
196,49.0,True,34.0,True,15.0,True
197,47.0,True,34.0,True,13.0,True
198,44.0,True,31.0,True,13.0,True
199,46.0,True,34.0,True,12.0,True
200,48.0,True,33.0,True,15.0,True
201,44.0,True,33.0,True,11.0,True
202,49.0,True,31.0,True,18.0,True
203,45.0,True,34.0,True,11.0,True
204,44.0,True,32.0,True,12.0,True
205,45.0,True,36.0,True,9.0,True
206,45.0,True,33.0,True,12.0,True
207,46.0,True,34.0,True,12.0,True
208,44.0,True,33.0,True,11.0,True
209,45.0,True,33.0,True,12.0,True
210,47.0,True,34.0,True,13.0,True
211,44.0,True,33.0,True,11.0,True
212,46.0,True,33.0,True,13.0,True
213,44.0,True,,False,,False
214,44.0,True,33.0,True,11.0,True
215,46.0,True,33.0,True,13.0,True
216,46.0,True,32.0,True,14.0,True
217,43.0,True,33.0,True,10.0,True
218,46.0,True,32.0,True,14.0,True
219,43.0,True,32.0,True,11.0,True
220,,False,32.0,True,,False
221,48.0,True,33.0,True,15.0,True
222,46.0,True,33.0,True,13.0,True
223,46.0,True,33.0,True,13.0,True
224,45.0,True,29.0,True,16.0,True
225,43.0,True,31.0,True,12.0,True
226,46.0,True,33.0,True,13.0,True
227,46.0,True,34.0,True,12.0,True
228,46.0,True,33.0,True,13.0,True
229,45.0,True,32.0,True,13.0,True
230,48.0,True,35.0,True,13.0,True
231,47.0,True,31.0,True,16.0,True
232,46.0,True,33.0,True,13.0,True
233,42.0,True,31.0,True,11.0,True
234,47.0,True,34.0,True,13.0,True
235,47.0,True,33.0,True,14.0,True
236,46.0,True,33.0,True,13.0,True
237,45.0,True,32.0,True,13.0,True
238,45.0,True,31.0,True,14.0,True
239,46.0,True,33.0,True,13.0,True
240,48.0,True,35.0,True,13.0,True
241,46.0,True,33.0,True,13.0,True
242,46.0,True,35.0,True,11.0,True
243,47.0,True,33.0,True,14.0,True
244,46.0,True,34.0,True,12.0,True
245,44.0,True,33.0,True,11.0,True
246,51.0,True,32.0,True,19.0,True
247,48.0,True,34.0,True,14.0,True
248,46.0,True,31.0,True,15.0,True
249,45.0,True,33.0,True,12.0,True
250,46.0,True,34.0,True,12.0,True
251,45.0,True,32.0,True,13.0,True
252,47.0,True,31.0,True,16.0,True
253,47.0,True,34.0,True,13.0,True
254,48.0,True,34.0,True,14.0,True
