day,date_mmdd,lat,shape_profile_value
0,04-01,25.0,
0,04-01,27.0,
0,04-01,29.0,
0,04-01,31.0,
0,04-01,33.0,
0,04-01,35.0,
0,04-01,37.0,
0,04-01,39.0,
0,04-01,41.0,
0,04-01,43.0,
0,04-01,45.0,
1,04-02,25.0,
1,04-02,27.0,
1,04-02,29.0,
1,04-02,31.0,
1,04-02,33.0,
1,04-02,35.0,
1,04-02,37.0,
1,04-02,39.0,
1,04-02,41.0,
1,04-02,43.0,
1,04-02,45.0,
2,04-03,25.0,
2,04-03,27.0,
2,04-03,29.0,
2,04-03,31.0,
2,04-03,33.0,
2,04-03,35.0,
2,04-03,37.0,
2,04-03,39.0,
2,04-03,41.0,
2,04-03,43.0,
2,04-03,45.0,
3,04-04,25.0,
3,04-04,27.0,
3,04-04,29.0,
3,04-04,31.0,
3,04-04,33.0,
3,04-04,35.0,
3,04-04,37.0,
3,04-04,39.0,
3,04-04,41.0,
3,04-04,43.0,
3,04-04,45.0,
4,04-05,25.0,-0.43278526400168077
4,04-05,27.0,0.26023616915176095
4,04-05,29.0,0.7257084400152569
4,04-05,31.0,0.9100434833526935
4,04-05,33.0,0.842774075036341
4,04-05,35.0,0.6051441551656126
4,04-05,37.0,0.2513852659413859
4,04-05,39.0,-0.15751212710036683
4,04-05,41.0,-0.5993555470667518
4,04-05,43.0,-1.0768858696853039
4,04-05,45.0,-1.568020173727195
5,04-06,25.0,-0.4192007785969882
5,04-06,27.0,0.27289149857135153
5,04-06,29.0,0.7256293376697017
5,04-06,31.0,0.8981019452260772
5,04-06,33.0,0.8265474152743928
5,04-06,35.0,0.58280206196292
5,04-06,37.0,0.23582768145352043
5,04-06,39.0,-0.1572356973810237
5,04-06,41.0,-0.5795321439206937
5,04-06,43.0,-1.0542107039429116
5,04-06,45.0,-1.5699472216462034
6,04-07,25.0,-0.48148448055696
6,04-07,27.0,0.21922686762021817
6,04-07,29.0,0.6795728609635648
