day,raw_profile_detector_score,shape_pattern_detector_score,raw_peak_flag,shape_peak_flag,system_W45_flag
14,3.1315916424411308,1.6851774786612204,False,False,False
15,3.274745660215383,2.1153811644529865,False,False,False
16,3.4842999953967704,2.404469859530911,False,False,False
17,3.728576877184414,2.6174971862247727,False,False,False
18,3.993478589130883,2.7756235197222607,False,False,False
19,4.257481048761578,2.8979109821558384,False,False,False
20,4.480060974315028,2.921014376083699,False,False,False
21,4.68035780099184,2.699803152196467,False,False,False
22,4.929902486558975,2.3807867329784784,False,False,False
23,5.270180460892664,2.1137026546598534,False,False,False
24,5.652687245532948,2.048829576246779,False,False,False
25,5.952954722422097,2.220090978435744,False,False,False
26,6.0665828732930125,2.54909143984791,False,False,False
27,5.923800405139695,3.058773835356179,False,False,False
28,5.584828880162088,3.7591063521306856,False,False,False
29,5.212964065254532,4.571532492240886,False,False,False
30,5.013734327150961,5.532024009167625,False,False,False
31,5.075214153576109,6.4823461786235725,False,False,False
32,5.267809092366989,7.208634247772422,False,False,False
33,5.442389697096082,7.550033871833324,False,True,False
34,5.437637546724202,7.217110523317602,False,False,False
35,5.1003605335904645,6.247805793768683,False,False,False
36,4.404149915695158,5.038476529494467,False,False,False
37,3.490009075697399,3.716201133002948,False,False,False
38,2.798517569703481,2.437946157809264,False,False,False
39,2.726614186275543,1.469130539657164,False,False,False
40,3.4589868024456614,0.8846215124594914,False,False,True
41,4.801122903972567,0.6333074391038354,False,False,True
42,6.548734272628787,0.6452846765648401,False,False,True
43,8.58232030548438,0.8356142653251584,False,False,True
44,10.463693053711149,1.0529209154721444,False,False,True
45,11.768001191895458,1.1331629578350275,False,False,True
46,12.201986759874025,0.992525296519616,True,False,True
47,11.643310819387192,0.7433301342351781,False,False,True
48,10.47138719644,0.4893125879663608,False,False,True
49,9.077913943782736,0.290727549405303,False,False,False
50,7.703613262227702,0.15153191905729,False,False,False
51,6.622660341222669,0.0760094460309732,False,False,False
52,5.687902402331844,0.0377416998964629,False,False,False
53,4.839926726732725,0.0241740330446889,False,False,False
54,4.258982436034235,0.0344620522396688,False,False,False
55,3.935697728731873,0.0498555522124434,False,False,False
56,3.7887063604158535,0.0592521613239631,False,False,False
57,3.698898807735408,0.0867008606285905,False,False,False
58,3.577743668351641,0.1448495343431407,False,False,False
59,3.4123555287578826,0.2442912045943258,False,False,False
60,3.245639177189866,0.3966410488373156,False,False,False
